N	2gram	Losev_Vlad_2	Narrotol
1	не только	12	32
2	может быть	7	25
3	но и	8	23
4	в качестве	1	21
5	и не	18	20
6	то есть	7	19
7	и в	30	19
8	в том	18	18
9	в этом	20	17
10	в частности	2	14
11	не в	9	14
12	том что	12	14
13	а не	7	12
14	своего рода	1	12
15	а в	11	11
16	то что	20	11
17	не может	9	10
18	точки зрения	7	10
19	так и	5	9
20	в его	11	9
21	со стороны	4	9
22	при этом	5	9
23	в себе	6	8
24	все же	9	7
25	еще не	1	7
26	как и	5	7
27	времени и	1	7
28	к тому	2	7
29	такого рода	2	7
30	а также	10	7
31	как в	3	7
32	как это	7	6
33	но не	3	6
34	в себя	1	6
35	в той	2	6
36	но в	8	6
37	именно в	4	6
38	о том	4	6
39	то в	5	6
40	том числе	1	6
41	что он	13	6
42	точка зрения	1	6
43	с его	4	6
44	можно сказать	4	5
45	к нему	2	5
46	казалось что	1	5
47	по себе	5	5
48	между двумя	1	5
49	отличие от	3	5
50	и его	6	5
51	не все	1	5
52	тому же	1	5
53	уже не	3	5
54	в этой	4	5
55	далеко не	1	5
56	в отличие	3	5
57	себя в	2	5
58	и как	3	5
59	в данном	3	5
60	не мог	8	4
61	и с	14	4
62	же время	3	4
63	данном случае	2	4
64	прежде всего	6	4
65	здесь не	4	4
66	за собой	1	4
67	хотя бы	3	4
68	те же	3	4
69	если не	2	4
70	но все	2	4
71	то же	4	4
72	что не	2	4
73	пока еще	1	4
74	да и	3	4
75	только в	6	4
76	не столько	3	4
77	и тем	1	4
78	у него	19	4
79	связи с	8	4
80	же в	2	4
81	было бы	9	4
82	перед нами	1	4
83	о нем	2	4
84	за границей	1	4
85	как бы	5	4
86	сказать что	11	4
87	в нем	4	4
88	во втором	1	4
89	может не	1	3
90	жизни и	6	3
91	не есть	4	3
92	бы то	1	3
93	на том	1	3
94	что они	1	3
95	даже не	1	3
96	не будет	1	3
97	не менее	7	3
98	в прошлом	1	3
99	в произведении	1	3
100	и самого	1	3
101	будто бы	2	3
102	если в	1	3
103	и он	4	3
104	сводится к	1	3
105	жизни в	2	3
106	по мысли	1	3
107	что в	12	3
108	особенно в	1	3
109	никогда не	7	3
110	хотя и	6	3
111	не с	1	3
112	на него	1	3
113	как мы	11	3
114	истории в	1	3
115	то ни	1	3
116	в то	9	3
117	в сущности	2	3
118	что это	4	3
119	ни в	7	3
120	свою очередь	2	3
121	тем что	1	3
122	тем не	6	3
123	не о	2	3
124	когда он	1	3
125	этом отношении	1	3
126	и на	4	3
127	он не	4	3
128	бытия в	2	3
129	в ней	4	3
130	уже в	3	3
131	как будто	2	3
132	а именно	6	3
133	из них	1	3
134	из этих	3	3
135	или иначе	3	3
136	жизни как	1	3
137	и даже	10	3
138	как говорит	1	3
139	в свою	3	3
140	все эти	5	2
141	что по	1	2
142	одним из	1	2
143	когда мы	3	2
144	в связи	8	2
145	от всех	1	2
146	говорить о	1	2
147	что нет	1	2
148	в литературе	1	2
