N	3gram	Tiupa_Hudo_2	Literetu
1	то же время	4	9
2	в то же	4	9
3	не может быть	3	7
4	с одной стороны	3	6
5	в конечном счете	3	5
6	в том что	11	5
7	состоит в том	2	4
8	едва ли не	1	4
9	с другой стороны	1	4
10	с точки зрения	2	3
11	в этом отношении	1	3
12	в данном случае	2	3
13	между я и	1	3
14	по отношению к	7	3
15	но с другой	1	3
16	на наш взгляд	4	3
17	о том что	7	2
18	присутствия в мире	1	2
19	подобно тому как	4	2
20	в этом случае	1	2
21	и т п	2	2
22	в разговоре с	1	2
23	в том числе	1	2
24	тем не менее	3	2
25	себя в другом	1	1
26	том что в	3	1
27	без другого не	1	1
28	нет и не	1	1
29	без другого я	1	1
30	собою без другого	1	1
31	мы имеем дело	1	1
32	но то что	1	1
33	где в каждой	1	1
34	в соответствии с	3	1
35	то же самое	2	1
36	обойтись без другого	1	1
37	стать самим собою	1	1
38	что он не	1	1
39	бы то ни	1	1
40	ни с какой	1	1
41	том числе и	1	1
42	можно было бы	2	1
43	о себе в	1	1
44	то что было	2	1
45	не могу обойтись	1	1
46	в другом найдя	1	1
47	и то что	1	1
48	места для личной	1	1
49	и в то	2	1
50	я должен найти	1	1
51	не для себя	1	1
52	в самом начале	1	1
53	тейяра де шардена	1	1
54	во взаимоотражении во	1	1
55	для себя а	1	1
56	но и его	1	1
57	взаимоотражении во взаимоприятии	1	1
58	в своего рода	1	1
59	другого в себе	1	1
60	как писал а	1	1
61	могу стать самим	1	1
62	не более чем	2	1
63	и не было	1	1
64	на этом свете	1	1
65	имеем дело с	1	1
66	в соединении с	1	1
67	приводит к тому	1	1
68	не могу стать	1	1
69	как нам представляется	1	1
70	должен найти себя	1	1
71	я не могу	1	1
72	в себе во	1	1
73	найти себя в	1	1
74	самим собою без	1	1
75	тогда как сам	1	1
76	личности с ее	1	1
77	одна из ключевых	1	1
78	однако это не	1	1
79	а в том	1	1
80	другого я должен	1	1
81	могу обойтись без	1	1
82	для общего блага	1	1
83	не случайно в	2	1
84	в одном из	1	1
85	не только не	2	1
86	той или иной	1	1
87	найдя другого в	1	1
88	после того как	1	1
89	а с другой	1	1
90	себе во взаимоотражении	1	1
91	в художественном мире	1	1
92	к тому что	4	1
93	для того чтобы	3	1
94	и эта новая	1	1
95	другого не могу	1	1
96	себя а для	1	1
97	другом найдя другого	1	1
