N	3gram	Tiupa_Lite_3	DiskursI
1	в отличие от	5	12
2	в данном случае	4	6
3	в том что	4	6
4	то же время	7	5
5	по отношению к	4	4
6	в этом отношении	5	4
7	в то же	7	4
8	с одной стороны	4	4
9	не может быть	3	3
10	о том что	4	3
11	той или иной	2	3
12	одной стороны и	2	2
13	присутствия в мире	6	2
14	состоит в том	2	2
15	как и всякое	1	2
16	подобно тому как	2	2
17	в соответствии с	3	2
18	с точки зрения	3	2
19	под собою не	1	2
20	в первую очередь	1	2
21	и то что	1	2
22	на мой взгляд	1	2
23	содержит в себе	1	2
24	в такого рода	2	2
25	в сочетании с	1	2
26	но при этом	1	2
27	на первый взгляд	1	2
28	я в мире	1	2
29	не чуя страны	1	2
30	в мире и	1	2
31	собою не чуя	1	2
32	причастности к жизни	2	2
33	легко может быть	1	2
34	по большей части	2	2
35	с лирическим героем	1	2
36	при этом в	1	2
37	в другом месте	1	1
38	в той или	1	1
39	себя в другом	2	1
40	и другого в	2	1
41	к себе самому	2	1
42	своего другого как	1	1
43	по мысли мандельштама	1	1
44	в самом деле	2	1
45	коммуникативного события как	1	1
46	живем под собою	1	1
47	и там где	1	1
48	друг от друга	1	1
49	с другой стороны	2	1
50	одних и тех	1	1
51	оказались своего рода	1	1
52	бы то ни	2	1
53	было в том	1	1
54	генетически восходит к	1	1
55	данном случае не	1	1
56	тому как в	1	1
57	то что в	1	1
58	по аналогии с	1	1
59	в другом и	1	1
60	при этом не	1	1
61	но это не	1	1
62	добровольного отказа от	1	1
63	днем и ночью	1	1
64	личности при этом	1	1
65	именно в этом	1	1
66	прежде всего отметим	1	1
67	субъекта объекта и	1	1
68	в рамках же	1	1
69	и тех же	1	1
70	тогда как другое	1	1
71	и в частности	2	1
72	в целом и	2	1
73	в значительной степени	1	1
74	с ней в	1	1
75	мы живем под	1	1
76	между автором и	1	1
77	в своего рода	2	1
78	например в стихотворении	1	1
79	то ни было	2	1
80	говоря уже о	3	1
81	нет дела до	1	1
82	в себе как	1	1
83	лирический герой мандельштама	2	1
84	как будто бы	1	1
85	а не как	2	1
86	я и ты	3	1
87	автором и читателем	1	1
88	ивана иваныча из	1	1
89	объекта и адресата	1	1
90	человеческого присутствия в	2	1
91	которое может быть	1	1
92	оказывается своего рода	1	1
93	и т.п здесь	1	1
94	между тем как	1	1
95	обратим внимание на	2	1
96	между я и	1	1
97	не идет о	1	1
98	все же остается	1	1
99	при этом и	1	1
100	в одном из	2	1
101	другом и другого	1	1
102	другого в себе	2	1
103	лирического героя мандельштама	1	1
104	в конечном счете	1	1
105	тем что он	2	1
106	в коммуникативное событие	1	1
107	речь не идет	1	1
108	для русской литературы	1	1
109	сближает его с	1	1
110	или иной мере	1	1
111	человека в мире	1	1
112	в том числе	3	1
113	в силу своей	1	1
114	а со стороны	2	1
115	тем не менее	1	1
116	может позволить себе	1	1
117	героя никогда не	1	1
118	который не знает	1	1
119	том числе и	2	1
120	не говоря уже	4	1
