N	2gram	Tiupa_Lite_3	Otkroven
1	у него	1	22
2	и в	16	19
3	но и	14	13
4	и не	22	13
5	в этом	14	12
6	человека в	2	11
7	не в	10	11
8	не только	14	11
9	может быть	12	11
10	а не	12	11
11	вопрос о	2	10
12	в нем	2	10
13	и все	1	10
14	прежде всего	3	9
15	к человеку	1	9
16	не было	1	9
17	в человеке	1	9
18	никогда не	4	9
19	потому что	3	9
20	он был	1	8
21	и он	1	8
22	в его	6	7
23	он не	1	7
24	в глубине	2	7
25	лишь в	5	7
26	до конца	4	7
27	ни с	2	7
28	нет ничего	1	7
29	но он	1	7
30	человеческой личности	1	6
31	как и	5	6
32	все это	1	6
33	до самого	1	5
34	отношение к	2	5
35	в том	12	5
36	в самом	3	5
37	в этой	8	5
38	для него	2	5
39	в россии	1	5
40	а в	5	5
41	то что	12	5
42	человеку и	1	5
43	он сам	1	4
44	с его	6	4
45	в самую	1	4
46	что не	2	4
47	человеческих отношений	1	4
48	не может	8	4
49	того чтобы	2	4
50	человек и	1	4
51	и его	6	4
52	что в	2	4
53	и есть	1	3
54	быть может	2	3
55	о том	6	3
56	еще не	6	3
57	во имя	1	3
58	к нему	1	3
59	было бы	2	3
60	того что	9	3
61	когда он	2	3
62	что он	5	3
63	и ее	2	3
64	в себе	6	3
65	о природе	2	3
66	человеческого духа	3	3
67	и вот	2	3
68	для того	2	3
69	это не	5	3
70	только одно	1	3
71	в экстазе	1	3
72	о христе	1	3
73	мысли и	1	3
74	как бы	8	3
75	в русской	1	3
76	и от	1	3
77	в этих	1	3
78	хотя бы	1	3
79	в своих	2	3
80	и с	2	2
81	и то	1	2
82	в ее	5	2
83	от самого	1	2
84	что у	2	2
85	так и	9	2
86	его не	1	2
87	и о	1	2
88	по себе	2	2
89	и на	2	2
90	что и	2	2
91	самого конца	1	2
92	что они	1	2
93	в истории	1	2
94	в своем	1	2
95	все же	2	2
96	героев достоевского	1	2
97	человека всегда	1	2
98	и к	3	2
99	в этот	1	2
100	и потому	2	2
101	он в	2	2
102	так что	1	2
103	уже в	1	2
104	в единстве	3	2
105	о которой	2	2
106	что для	1	2
107	одно из	4	2
108	так как	1	2
109	тем что	2	2
110	момент в	1	2
111	в другом	6	2
112	его в	2	2
113	сказать что	1	2
114	с тем	1	2
115	чем в	1	2
116	должно быть	4	2
117	него не	2	2
118	том что	8	2
119	ко всем	1	2
120	к этому	2	2
121	и там	1	2
122	свобода и	1	2
123	своей жизни	2	2
124	с которой	2	2
125	не имеет	1	2
126	и для	4	2
127	природы в	1	2
128	потребность в	1	2
129	не есть	1	2
130	жизни в	4	2
131	в своей	7	2
132	свободы и	2	2
133	к этой	1	2
134	хотя и	4	2
135	ее в	2	2
136	все еще	3	2
137	но в	3	2
138	в духовную	1	1
139	отношения к	3	1
140	например в	3	1
141	с образом	2	1
142	и действительно	1	1
143	в виду	1	1
144	с кем	1	1
145	людей в	1	1
146	не могу	2	1
147	на самом	1	1
148	с каким	1	1
149	свои силы	1	1
150	между двумя	1	1
151	из самых	1	1
152	и до	1	1
153	природе своей	1	1
154	всей ее	1	1
155	не с	2	1
156	есть не	1	1
157	в борьбе	1	1
158	том как	1	1
159	если бы	2	1
160	не вполне	2	1
161	его пути	1	1
162	жизни как	2	1
163	о нем	2	1
164	другом месте	1	1
165	в ней	1	1
166	с того	1	1
167	человеческие отношения	1	1
168	нет у	1	1
169	во внешнем	1	1
170	самом деле	3	1
171	человеку он	1	1
172	которого не	1	1
173	но не	4	1
174	у вл	1	1
175	к богу	1	1
176	нуждается в	1	1
177	себе и	1	1
178	чем и	1	1
179	все время	3	1
180	и я	1	1
181	человека как	1	1
182	которой в	1	1
183	в центре	1	1
184	как в	5	1
185	и мир	1	1
186	своей и	1	1
187	как например	2	1
188	в частности	11	1
189	один из	2	1
190	его собственная	1	1
191	сознания в	1	1
192	и как	3	1
193	с ними	2	1
194	жизнь их	1	1
195	самом начале	1	1
196	о пушкине	1	1
197	не идет	1	1
198	то в	3	1
199	человеком в	1	1
200	за собой	1	1
201	духа в	1	1
202	который в	1	1
203	светом и	1	1
204	бы и	3	1
205	от бога	1	1
206	представляет собой	2	1
207	не оставляет	1	1
208	со всеми	2	1
209	в эти	1	1
210	к которой	1	1
211	откровения и	1	1
212	уже не	3	1
213	ее как	1	1
214	вы так	1	1
215	на то	2	1
216	больше всего	1	1
217	после которого	1	1
218	и других	1	1
219	из них	4	1
220	ключ к	1	1
221	свой собственный	1	1
222	был бы	1	1
223	человека не	1	1
224	в силу	1	1
225	в корне	1	1
226	в одном	4	1
227	нужна была	1	1
228	вовсе не	1	1
229	и сам	2	1
230	уж тут	1	1
231	и влечет	1	1
232	и человеческого	1	1
233	людей и	1	1
234	этом отношении	5	1
235	лишь один	1	1
236	в каждом	1	1
237	в совершенно	2	1
238	к солнцу	1	1
239	и даже	2	1
240	со стороны	7	1
241	для художника	1	1
242	самим собой	3	1
243	как у	4	1
244	жизни нет	1	1
245	делает в	1	1
246	в глазах	3	1
247	понял что	1	1
248	а именно	5	1
249	лишь на	2	1
250	и кто	1	1
251	всякого человека	1	1
252	в жизни	8	1
253	кажется что	1	1
254	на поверхности	1	1
255	которой нет	1	1
256	в них	1	1
257	жизни их	1	1
258	вл соловьева	1	1
259	она и	2	1
260	а с	1	1
