N	3gram	Tiupa_Teor_1	formyVre
1	с точки зрения	3	8
2	для того чтобы	1	7
3	в связи с	1	7
4	в этом мире	2	6
5	в то же	5	4
6	то же время	5	4
7	в том числе	2	3
8	в большинстве случаев	1	3
9	точки зрения не	1	3
10	и в то	1	3
11	имеем в виду	3	3
12	в том что	8	3
13	может быть и	2	2
14	мы имеем в	3	2
15	то же самое	1	2
16	том числе и	1	2
17	друг от друга	1	2
18	о том что	1	1
19	и в сущности	1	1
20	можно говорить о	1	1
21	каждой из них	1	1
22	на свое место	1	1
23	здесь как бы	1	1
24	с одной стороны	2	1
25	но в то	1	1
26	значении этого слова	2	1
27	как и в	2	1
28	в виду что	1	1
29	с самим собою	1	1
30	на каждом из	1	1
31	с другой стороны	5	1
32	таким образом и	1	1
33	в данном отношении	1	1
34	можно сказать что	2	1
35	человека и его	1	1
36	больше и больше	1	1
37	к тому что	2	1
38	точки зрения в	1	1
39	и того же	3	1
40	определенного смысла и	1	1
41	это имеет место	1	1
42	тот или иной	2	1
43	в особенности в	1	1
44	как бы в	1	1
45	в то время	1	1
46	он ни был	1	1
47	но он не	1	1
48	в соседстве со	1	1
49	чего еще нет	1	1
50	одного и того	3	1
51	то есть как	1	1
52	в частности с	1	1
53	той или иной	1	1
54	и для других	1	1
55	и в пространстве	1	1
56	в себе самом	1	1
57	не может быть	4	1
58	пространственных и временных	1	1
59	со всех сторон	1	1
60	в данном случае	5	1
61	по существу является	1	1
62	в отличие от	6	1
63	каждая из этих	1	1
64	в той или	1	1
65	и то же	1	1
66	на первый взгляд	1	1
67	в это утро	1	1
68	что в основе	2	1
69	в свою очередь	2	1
70	одно и то	1	1
