1	вместе с тем	3	5
2	и в самом	3	3
3	что он не	2	2
4	и не может	1	2
5	отношение к человеку	1	2
6	то время как	2	2
7	для того чтобы	6	2
8	по отношению к	3	2
9	в то время	2	2
10	в конце концов	2	2
11	с тем он	1	2
12	до сих пор	9	2
13	лишь средством для	1	1
14	утра до вечера	1	1
15	к человеку и	1	1
16	трудно было бы	1	1
17	и т п	3	1
18	в отличие от	1	1
19	выходят за пределы	1	1
20	в себе самом	1	1
21	и речи о	3	1
22	в отношении к	1	1
23	в зависимости от	1	1
24	по сравнению с	2	1
25	потому что он	1	1
26	имеем в виду	1	1
27	он должен быть	1	1
28	во всяком случае	3	1
29	не выдержала испытания	1	1
30	мы имеем в	1	1
31	не без основания	1	1
32	так и не	1	1
33	в том что	9	1
34	его в своем	1	1
35	к ней в	1	1
36	с утра до	1	1
37	в самом деле	6	1
38	что и в	2	1
39	как бы в	1	1
40	самого бога и	1	1
41	ставит нас перед	1	1
42	о том что	4	1
43	своего дома и	1	1
44	ко всем и	1	1
45	и никогда не	1	1
46	в этот момент	1	1
47	одной из сторон	1	1
48	сам не знает	1	1
