N	3gram	Propp_Isto_6	NovoeSre
1	не может быть	3	4
2	подобно тому как	1	3
3	со всех сторон	1	3
4	не значит что	1	3
5	лицом к лицу	1	3
6	что в нем	2	2
7	вместе с тем	3	2
8	так же как	1	2
9	с одной стороны	7	2
10	это не значит	1	2
11	с другой стороны	8	2
12	между небом и	1	1
13	в ней нет	2	1
14	только потому что	1	1
15	то время как	3	1
16	в том числе	1	1
17	играют большую роль	1	1
18	же как и	1	1
19	до сих пор	4	1
20	и не может	1	1
21	в зависимости от	1	1
22	в жизни народа	1	1
23	и формы жизни	1	1
24	в свою противоположность	1	1
25	наряду с этим	1	1
26	но и в	2	1
27	том числе и	1	1
28	можно было бы	2	1
29	этого мира не	1	1
30	вообще не существует	1	1
31	не только в	4	1
32	что в эту	1	1
33	и к образованию	1	1
34	во всяком случае	2	1
35	к единству и	1	1
36	есть вместе с	1	1
37	о том что	4	1
38	в то время	3	1
39	для борьбы со	1	1
40	и вместе с	1	1
41	это значит что	1	1
42	должны помнить что	1	1
43	в том смысле	1	1
44	помнить что в	1	1
45	в том что	5	1
46	как и в	2	1
