N	2gram	Tiupa_Lite_3	VLabPisa
1	в этом	14	26
2	и в	16	25
3	и т	1	24
4	не только	14	22
5	творческого процесса	1	22
6	может быть	12	21
7	хотя бы	1	20
8	и не	22	19
9	художественного творчества	2	18
10	не может	8	17
11	в его	6	15
12	в процессе	1	14
13	этом отношении	5	13
14	в том	12	13
15	прежде всего	3	13
16	в частности	11	12
17	как это	3	12
18	все это	1	12
19	в силу	1	11
20	с другой	6	11
21	из них	4	11
22	в художественном	1	10
23	в качестве	5	10
24	о том	6	10
25	то же	9	9
26	что в	2	9
27	для него	2	9
28	т п	1	9
29	но и	14	9
30	к этому	2	9
31	в своем	1	8
32	по словам	1	8
33	другой стороны	2	8
34	в году	5	7
35	во всех	2	7
36	по отношению	4	7
37	он пишет	1	7
38	было бы	2	7
39	как и	5	7
40	том что	8	7
41	произведения в	3	7
42	в конечном	1	7
43	творчества в	1	7
44	не было	1	7
45	а не	12	7
46	вместе с	5	7
47	же в	2	7
48	отношению к	4	7
49	художественного произведения	2	6
50	это и	1	6
51	работе над	1	6
52	более или	1	6
53	в себе	6	6
54	в нем	2	6
55	это не	5	6
56	или менее	1	6
57	и его	6	6
58	в то	9	6
59	художественное творчество	2	6
60	так и	9	6
61	между тем	3	6
62	бы и	3	6
63	у него	1	6
64	то что	12	6
65	одним из	4	5
66	и есть	1	5
67	в их	1	5
68	конечном счете	1	5
69	очевидно что	1	5
70	все же	2	5
71	и при	2	5
72	не в	10	5
73	тому что	1	5
74	же время	7	5
75	связи с	2	5
76	один из	2	5
77	художника и	2	5
78	для художника	1	5
79	как бы	8	5
80	сказать что	1	5
81	только в	7	5
82	в искусстве	1	5
83	с его	6	4
84	в этой	8	4
85	перед нами	1	4
86	когда он	2	4
87	в самом	3	4
88	в целом	5	4
89	в них	1	4
90	не удивительно	2	4
91	даже в	4	4
92	никогда не	4	4
93	художника в	4	4
94	к тому	6	4
95	для его	3	4
96	в ее	5	4
97	познания и	1	4
98	можно сказать	2	4
99	с ними	2	4
100	что он	5	4
101	в единстве	3	4
102	в одном	4	4
103	как раз	2	4
104	в связи	1	4
105	художественное произведение	2	4
106	всего произведения	1	4
107	в романе	3	4
108	в своей	7	4
109	например в	3	3
110	в котором	1	3
111	из его	1	3
112	всего лишь	5	3
113	его не	1	3
114	и он	1	3
115	нет и	1	3
116	что они	1	3
117	с этим	1	3
118	и как	3	3
119	и к	3	3
120	в противоположность	2	3
121	что без	1	3
122	удивительно что	2	3
123	в работе	2	3
124	его в	2	3
125	далеко не	2	3
126	что не	2	3
127	с тем	1	3
128	в слове	3	3
129	как целого	1	3
130	во время	1	3
131	точки зрения	7	3
132	и ее	2	3
133	одном из	2	3
134	как о	2	3
135	шел в	1	3
136	не столь	1	3
137	своего творчества	1	3
138	у нас	2	3
139	она не	1	3
140	том как	1	3
141	в виду	1	3
142	в значительной	1	3
143	что и	2	3
144	вслед за	3	3
145	и мир	1	3
146	того что	9	3
147	и их	1	3
148	момент в	1	3
149	в конце	2	3
150	именно в	5	3
151	что художник	2	3
152	так же	2	3
153	о работе	1	3
154	некоторые из	1	3
155	этого типа	1	3
156	всех других	1	3
157	по существу	4	3
158	писал в	1	3
159	и от	1	3
160	бы в	1	3
161	жизни и	3	3
162	как на	3	3
163	ее в	2	3
164	как известно	1	2
165	по его	1	2
166	из своих	1	2
167	говорить о	1	2
168	то это	2	2
169	в ней	1	2
170	еще не	6	2
171	в чем	1	2
172	бы не	1	2
173	но не	4	2
174	если в	1	2
175	в общем	1	2
176	том числе	3	2
177	органической связи	1	2
178	отнюдь не	3	2
179	стороны и	2	2
180	хотя и	4	2
181	но в	3	2
182	он в	2	2
183	у каждого	1	2
184	ни одна	1	2
185	ее как	1	2
186	как он	1	2
187	он не	1	2
188	том чтобы	2	2
189	в творческом	2	2
190	подобно тому	2	2
191	человека в	2	2
192	в каждом	1	2
193	а затем	3	2
194	им как	1	2
195	в другом	6	2
196	нам остается	1	2
197	льва толстого	1	2
198	с другими	1	2
199	своего творческого	1	2
200	в жизни	8	2
201	который по	1	2
202	не всегда	2	2
203	он и	2	2
204	и для	4	2
205	что такое	1	2
206	не столько	1	2
207	действительность в	1	2
208	если бы	2	2
209	как от	1	2
210	по себе	2	2
211	не менее	2	2
212	тогда когда	1	2
213	не по	1	2
214	того чтобы	2	2
215	только не	1	2
