N	3gram	Bakhtin_fo_1	UchenyiS
1	не может быть	3	4
2	то же время	9	3
3	в то же	6	3
4	не могут быть	1	2
5	в самом деле	1	2
6	до сих пор	3	2
7	в этом отношении	3	2
8	в том что	2	2
9	и в частности	2	2
10	для всех этих	1	1
11	и в различных	1	1
12	равно как и	2	1
13	имеем в виду	1	1
14	в точном смысле	2	1
15	в значительной мере	1	1
16	в этом случае	1	1
17	в широком смысле	2	1
18	и не только	2	1
19	на первый план	1	1
20	но по существу	2	1
21	и в то	5	1
22	в той же	1	1
23	не входит в	1	1
24	с тем что	1	1
25	и прежде всего	2	1
26	но конечно не	1	1
27	не о чем	1	1
28	мы имеем в	1	1
29	в частности с	1	1
30	друг с другом	1	1
31	в буквальном смысле	2	1
32	что мы и	1	1
33	в данном случае	1	1
34	но в то	1	1
35	не только в	2	1
36	с одной стороны	2	1
