N	4gram	Tiupa_Disk_1	Vvedenie
1	в то же время	3	6
2	с одной стороны и	2	3
3	заключается в том что	1	2
4	дело в том что	1	2
5	состоит в том что	1	2
6	одно и то же	1	1
7	в том что с	1	1
8	как уже было сказано	1	1
9	большей или меньшей степени	1	1
10	в том или ином	1	1
11	в соответствии с правилами	1	1
12	не говоря уже о	2	1
13	в большей или меньшей	1	1
14	мы имеем дело с	1	1
15	это как будто бы	1	1
16	в том что не	1	1
17	одного и того же	2	1
18	не только в том	1	1
19	в принципе не может	1	1
20	с данной точки зрения	1	1
