N	2gram	Voloshinov_1	BTomashe
1	у нас	1	3
2	и не	4	2
3	в ней	1	2
4	можно было	1	2
5	все это	4	2
6	говорить о	2	1
7	со всем	1	1
8	во всяком	3	1
9	с другой	1	1
10	вопрос о	1	1
11	совершенно не	8	1
12	как всякий	1	1
13	в своей	2	1
14	по крайней	3	1
15	между ними	3	1
16	всяком случае	3	1
17	и о	2	1
18	в области	3	1
19	и ее	4	1
20	точно и	1	1
21	в эпоху	1	1
22	оно сплошь	1	1
23	и в	16	1
24	так и	4	1
25	как часть	1	1
26	за пределы	2	1
27	крайней мере	3	1
28	почти совершенно	2	1
29	было бы	2	1
30	отнюдь не	4	1
31	и потому	3	1
32	в пределах	2	1
33	говорить об	1	1
34	уничтожается это	1	1
35	чем на	1	1
36	все же	1	1
37	его не	1	1
38	прежде всего	9	1
39	творчества и	1	1
40	что в	3	1
41	таким образом	9	1
42	еще не	5	1
43	не только	7	1
44	в данном	1	1
45	не следует	1	1
46	и на	4	1
47	на самом	4	1
48	а не	1	1
