N	3gram	Losev_Vlad_2	Vvedenie
1	и т д	1	36
2	для того чтобы	1	20
3	в том что	9	12
4	о том что	3	12
5	в этом смысле	1	8
6	не может быть	1	8
7	тем не менее	6	8
8	до сих пор	1	6
9	в самом деле	1	6
10	то же время	3	6
11	к выводу что	1	6
12	в то же	3	6
13	в том чтобы	2	5
14	что иное как	1	4
15	в этом случае	1	4
16	в этом отношении	1	4
17	можно было бы	2	4
18	на этот вопрос	1	4
19	по крайней мере	4	4
20	в данном случае	2	4
21	не только в	2	4
22	не только как	1	4
23	так или иначе	3	4
24	во всяком случае	6	4
25	само по себе	2	4
26	не что иное	1	4
27	также и в	1	3
28	в собственном смысле	1	3
29	вместе с тем	1	3
30	и тем не	1	3
31	но в то	1	3
32	и в том	1	3
33	заключается в том	2	3
34	можно сказать что	1	3
35	но все же	1	3
36	как мы видели	2	3
37	в свое время	1	3
38	что несмотря на	1	2
39	что в этом	1	2
40	на котором он	1	2
41	дело в том	3	2
42	не говоря уже	2	2
43	во второй половине	2	2
44	что же касается	5	2
45	с точки зрения	3	2
46	что даже и	1	2
47	что в нем	1	2
48	точно так же	3	2
49	может быть и	1	2
50	имеет дело с	1	2
51	в конце концов	3	2
52	не в том	3	2
53	или иначе но	1	2
54	в связи с	8	2
55	но вместе с	1	2
56	со стороны своих	1	2
57	а также и	1	2
58	к этому времени	2	2
59	как мы уже	1	2
60	по этому поводу	1	2
61	это не только	1	2
62	может быть в	1	2
63	что можно назвать	1	1
64	и в конце	1	1
65	не может не	1	1
66	а это в	1	1
67	по себе не	1	1
68	тех пор пока	1	1
69	сказать что в	2	1
70	он был в	1	1
71	совсем не то	1	1
72	потому что в	1	1
73	может быть названа	1	1
74	более или менее	3	1
75	ответа на свои	1	1
76	в настоящее время	2	1
77	это впрочем не	1	1
78	это в свою	1	1
79	во многих случаях	1	1
80	никак не может	1	1
81	в том же	2	1
82	на свои вопросы	1	1
83	словаря брокгауза и	1	1
84	в своей работе	1	1
85	не менее не	1	1
86	говоря уже о	2	1
87	брокгауза и ефрона	1	1
88	сам по себе	2	1
89	до него в	1	1
90	в отличие от	3	1
91	также и то	1	1
92	но в общем	1	1
93	уже после смерти	1	1
94	не было бы	1	1
95	только то что	1	1
96	отчет в том	1	1
97	единого и цельного	1	1
98	и не в	1	1
99	не то что	2	1
100	все же это	1	1
101	и то что	5	1
102	уже потому что	1	1
103	энциклопедического словаря брокгауза	1	1
104	на эту тему	2	1
105	точки зрения совершенно	1	1
106	признаки и свойства	1	1
107	а кроме того	1	1
108	себе отчет в	1	1
109	сообщение о том	1	1
110	в том как	1	1
111	то что можно	1	1
112	приходит к выводу	1	1
113	большой интерес представляет	1	1
114	бы то ни	1	1
115	уже и в	1	1
116	собственном смысле слова	1	1
117	хотя бы на	1	1
118	в целом но	1	1
119	а в том	2	1
120	нужно было бы	1	1
121	у него в	3	1
122	до тех пор	1	1
123	как уже сказано	1	1
124	имел в виду	1	1
125	в подлинном смысле	1	1
126	его отношение к	1	1
127	в котором можно	1	1
128	в свою очередь	2	1
129	связи с этим	1	1
130	с самого начала	1	1
131	нужно сказать что	1	1
132	и прежде всего	1	1
133	также и с	1	1
134	в разной степени	1	1
135	с этой стороны	1	1
136	только тогда когда	1	1
137	вместе с ростом	1	1
138	выводу что и	1	1
139	после того как	2	1
140	уже не только	1	1
141	но во всяком	1	1
142	по вопросу о	1	1
143	в сравнении с	1	1
144	было бы с	1	1
145	а именно в	1	1
146	как мы знаем	4	1
