N	3gram	Losev_Vesc_1	Poddanst
1	в то же	1	7
2	не только в	4	4
3	в том что	4	4
4	с точки зрения	3	3
5	сами по себе	3	3
6	с одной стороны	3	3
7	в настоящий момент	1	3
8	и как раз	1	2
9	одной стороны и	1	2
10	и не только	4	2
11	в ней не	1	2
12	заключается в том	1	2
13	не только это	3	2
14	как она есть	3	1
15	есть как бы	3	1
16	что это значит?	2	1
17	более или менее	1	1
18	т е наличие	1	1
19	такою как она	1	1
20	есть прежде всего	2	1
21	и движение и	1	1
22	или хотя бы	1	1
23	тот или иной	1	1
24	можно говорить о	2	1
25	в собственном смысле	2	1
26	вместе с тем	1	1
27	и то что	3	1
28	и в частности	1	1
29	в применении к	1	1
30	так же как	1	1
31	для тех кто	1	1
32	только в виде	1	1
33	а в с	1	1
34	по сравнению с	6	1
35	значило бы что	2	1
36	не в том	1	1
37	во всяком случае	2	1
38	с другой стороны	2	1
39	не может быть	6	1
40	что то же	1	1
41	или что то	1	1
42	само по себе	1	1
43	вобрать в себя	1	1
44	в последние годы	2	1
45	ясно что если	1	1
46	друг с другом	1	1
47	для того чтобы	2	1
48	тех кто не	1	1
49	она может и	1	1
50	только мы не	1	1
51	в отрыве от	2	1
52	и т д	19	1
53	в отдельности и	2	1
54	не только мы	1	1
