N	2gram	Vygotskiy__2	FransuaR
1	и в	15	41
2	и т.п	7	19
3	мы уже	6	18
4	во всех	2	17
5	таким образом	14	17
6	в нем	1	16
7	и с	4	16
8	и его	4	13
9	но и	10	13
10	в этом	19	12
11	как мы	6	12
12	все эти	3	11
13	уже говорили	3	11
14	все это	4	11
15	в самом	11	10
16	не только	15	10
17	так как	4	10
18	и др	5	10
19	прежде всего	4	10
20	то что	20	10
21	и на	1	9
22	во время	3	9
23	о том	9	9
24	здесь в	1	9
25	и все	3	9
26	здесь и	3	8
27	в сущности	9	8
28	но в	6	8
29	в этой	6	8
30	никогда не	8	8
31	и до	3	7
32	в них	4	7
33	как и	6	7
34	том что	27	7
35	в его	2	7
36	вовсе не	6	7
37	у него	2	7
38	в особенности	1	7
39	связаны с	1	7
40	как бы	7	7
41	что в	14	7
42	также и	2	6
43	один из	1	6
44	мы видим	4	6
45	с помощью	5	6
46	вместе с	6	6
47	или в	3	6
48	сказать что	6	6
49	что он	12	6
50	и он	1	5
51	с его	4	5
52	в ее	1	5
53	в своем	9	5
54	что это	6	5
55	в себе	2	5
56	то же	5	5
57	той же	2	5
58	рядом с	1	5
59	во всем	2	5
60	тем что	2	5
61	так и	8	5
62	и что	8	5
63	а также	2	5
64	из них	3	5
65	в одном	2	5
66	там где	6	5
67	так же	4	5
68	в той	1	5
69	того же	3	4
70	самом деле	6	4
71	в ней	1	4
72	он был	1	4
73	как в	4	4
74	и как	2	4
75	и наконец	1	4
76	та же	1	4
77	а затем	1	4
78	в другом	2	4
79	не в	8	4
80	даже в	4	4
81	в основе	3	4
82	того чтобы	12	4
83	все же	4	4
84	у нас	1	4
85	и вообще	2	4
86	с ним	3	4
87	другом месте	2	4
88	все время	3	4
89	тот же	7	4
90	с одной	7	4
91	именно на	1	4
92	уже в	5	4
93	в результате	3	4
94	земли и	1	4
95	в котором	2	4
96	и даже	5	4
97	с другой	6	4
98	именно в	2	4
99	одной стороны	7	4
100	более того	1	4
101	и от	1	4
102	о котором	1	4
103	а в	4	4
104	не может	9	4
105	из этого	1	4
106	все что	5	4
107	вместо того	1	3
108	т.п но	1	3
109	он сам	3	3
110	первый план	1	3
111	в чем	1	3
112	как у	2	3
113	мы будем	3	3
114	с этим	3	3
115	перед нами	2	3
116	при этом	3	3
117	и сам	3	3
118	на все	2	3
119	с другими	3	3
120	было бы	10	3
121	на первый	1	3
122	и их	5	3
123	нас не	1	3
124	тесно связаны	1	3
125	носит и	1	3
126	к этим	1	3
127	когда они	1	3
128	потому что	7	3
129	только с	1	3
130	этом отношении	3	3
131	говорили что	1	3
132	те же	3	3
133	до сих	1	3
134	к нему	1	3
135	существенную роль	1	3
136	того что	17	3
137	одной из	3	3
138	мы увидим	2	3
139	только в	4	3
140	конечно не	1	3
141	в начале	4	3
142	характер носит	1	3
143	в целях	1	3
144	что не	1	3
145	связано с	1	3
146	и самый	2	3
147	не были	1	3
148	и особенно	3	3
149	в данном	3	3
150	в первой	2	3
151	и не	7	3
152	с этой	2	3
153	сих пор	1	3
154	но это	1	3
155	в книге	2	3
156	и для	2	3
157	в третьем	1	3
158	между ними	1	3
159	они не	3	3
160	как известно	6	2
161	связана с	4	2
162	и то	1	2
163	тех же	1	2
164	это и	1	2
165	с точки	18	2
166	том какое	1	2
167	мы не	10	2
168	тела с	1	2
169	не будем	1	2
170	есть нечто	2	2
171	говорить о	2	2
172	а для	1	2
173	из того	4	2
174	но не	3	2
175	то он	2	2
176	за пределы	2	2
177	что они	3	2
178	в истории	6	2
179	точки зрения	26	2
180	что именно	3	2
181	стороны и	2	2
182	и различные	2	2
183	он в	3	2
184	раз в	2	2
185	и тот	1	2
186	помощью которых	1	2
187	как он	6	2
188	так сказать	1	2
189	он не	7	2
190	на этом	1	2
191	как они	1	2
192	что все	4	2
193	значение в	3	2
194	лишь в	3	2
195	это было	1	2
196	заключается в	8	2
197	он является	2	2
198	и само	2	2
199	мы видели	6	2
200	в развитии	26	2
201	был бы	1	2
202	из этих	4	2
203	но если	2	2
204	в своей	4	2
205	представление о	5	2
206	страх и	1	2
207	из области	1	2
208	мы находим	6	2
209	но эта	3	2
210	их в	4	2
211	для этого	3	2
212	в таких	1	2
213	как о	1	2
214	тогда когда	5	2
215	одной плоскости	1	2
216	что их	1	2
217	у кого	1	2
218	только его	2	2
219	для всего	2	2
220	так что	1	2
221	как она	1	2
222	связи с	9	2
223	один раз	1	2
224	к себе	2	2
225	не могут	2	2
226	этой книги	1	2
227	в области	1	2
228	должен быть	2	2
229	данном случае	3	2
230	в дальнейшем	1	2
231	но здесь	1	2
232	связанной с	1	2
233	между тем	1	2
234	и во	1	2
235	говорит он	12	2
236	почти вовсе	1	2
237	тем более	3	2
238	а именно	1	2
239	на которой	2	2
240	но с	2	2
241	человека с	1	2
242	понятно что	2	2
243	переходит в	1	2
244	что если	2	2
245	никто не	1	2
246	ведь это	1	2
247	как его	1	2
248	может быть	9	2
249	как раз	4	2
250	человека и	3	2
251	если мы	6	2
252	до конца	1	2
253	а не	3	2
254	и вовсе	1	2
255	в частности	6	2
256	начиная с	1	2
257	все основные	1	2
258	и потому	1	2
259	как это	6	2
260	что мы	9	2
261	мира и	2	2
262	для нас	4	2
263	от него	1	2
264	в эту	4	2
265	бы в	1	2
266	в этих	2	2
267	еще более	1	2
268	для его	1	2
269	в том	33	2
270	это все	2	2
271	другой стороны	1	2
272	что даже	1	2
273	здесь же	1	2
274	всех тех	1	2
275	направленности на	1	1
276	и виды	1	1
277	от этой	1	1
278	ту же	2	1
279	в сфере	1	1
280	он о	1	1
281	до него	1	1
282	для выяснения	1	1
283	переходит к	1	1
284	достаточно вспомнить	2	1
285	ли оно	1	1
286	сам по	1	1
287	он показывает	2	1
288	роль играет	1	1
289	на самом	3	1
290	эта речь	1	1
291	ибо как	2	1
292	индивидуального и	1	1
293	есть причина	2	1
294	мировоззрения и	1	1
295	с таким	6	1
296	в зависимости	6	1
297	в их	2	1
298	полагает что	5	1
299	всего того	1	1
300	указав на	1	1
301	на первом	1	1
302	не во	1	1
303	по окончании	1	1
304	категорий и	2	1
305	что уже	1	1
306	из своих	1	1
307	еды и	1	1
308	он как	2	1
309	так чтобы	1	1
310	принадлежит к	2	1
311	эпохи в	1	1
312	почти исключительно	1	1
313	этим словом	1	1
314	в самих	1	1
315	то это	1	1
316	зависимости от	6	1
317	из ее	1	1
318	там нет	1	1
319	и много	1	1
320	между собой	1	1
321	далее в	1	1
322	сходство и	1	1
323	мысли и	1	1
324	это действительно	1	1
325	время в	1	1
326	что его	4	1
327	и мира	1	1
328	одним словом	1	1
329	друг к	1	1
330	видели что	5	1
331	его сознания	1	1
332	по отношению	6	1
333	менее всего	1	1
334	себе и	1	1
335	нет и	2	1
336	и речи	13	1
337	один и	1	1
338	стал бы	1	1
339	мы снова	1	1
340	чем же	1	1
341	как говорит	2	1
342	чем мы	1	1
343	дают и	1	1
344	нечто подобное	1	1
345	там же	1	1
346	в приведенном	1	1
347	в чрезвычайно	1	1
348	настаивает на	1	1
349	и к	6	1
350	самую существенную	1	1
351	более или	2	1
352	следующим образом	2	1
353	есть ли	2	1
354	со своей	1	1
355	в которой	4	1
356	точку зрения	6	1
357	в целом	10	1
358	к индивидуальному	1	1
359	в нашем	1	1
360	думать что	1	1
361	еще один	2	1
362	того факта	1	1
363	он делает	1	1
364	как основной	2	1
365	бы только	1	1
366	говорит не	1	1
367	имеет для	1	1
368	между этими	1	1
369	роли в	2	1
370	и если	1	1
371	связанные с	1	1
372	по самому	1	1
373	он должен	2	1
374	что еще	1	1
375	ими в	1	1
376	мы полагаем	1	1
377	и вот	1	1
378	из виду	2	1
379	и по	3	1
380	с собой	3	1
381	именно это	1	1
382	но все	2	1
383	котором говорит	1	1
384	для всех	4	1
385	за то	2	1
386	момент и	1	1
387	зрения на	1	1
388	значило бы	1	1
389	не позволяют	1	1
390	его в	1	1
391	и других	2	1
392	на протяжении	2	1
393	сейчас в	2	1
394	ли этот	1	1
395	падает на	1	1
396	должен был	1	1
397	нам по	1	1
398	и тем	2	1
399	в жизни	1	1
400	основания для	1	1
401	на основании	1	1
402	с тем	1	1
403	же самого	1	1
404	которой он	1	1
405	несмотря на	4	1
406	явления которые	1	1
407	чем в	2	1
408	обратимся к	1	1
409	и тогда	2	1
410	это очевидно	1	1
411	момента в	1	1
412	или менее	2	1
413	но до	1	1
414	с вещами	2	1
415	таким же	3	1
416	в следующем	3	1
417	вспомнить его	1	1
418	мышления он	1	1
419	оно отражает	1	1
420	место в	1	1
