N	2gram	Losev_Vlad_3	DiskursI
1	в качестве	3	34
2	не только	25	28
3	в том	18	23
4	а не	8	22
5	то есть	24	20
6	том что	18	19
7	может быть	8	17
8	как и	7	16
9	и в	40	16
10	в этом	16	15
11	еще не	4	14
12	но и	18	14
13	при этом	3	13
14	прежде всего	10	11
15	по своей	2	11
16	но не	4	11
17	и не	25	11
18	как в	1	10
19	далеко не	3	10
20	с другой	5	10
21	не может	14	9
22	в нем	3	9
23	одной стороны	3	9
24	с одной	3	9
25	в частности	1	9
26	так и	6	8
27	о том	11	8
28	но в	4	8
29	а также	8	8
30	отнюдь не	5	8
31	в себе	9	7
32	не было	5	7
33	не в	3	7
34	в основе	1	7
35	то же	4	7
36	в его	14	7
37	только в	13	7
38	со стороны	2	7
39	роль в	2	7
40	пока еще	1	6
41	и как	7	6
42	ни к	2	6
43	в своем	8	6
44	можно сказать	1	5
45	в своей	9	5
46	во всех	1	5
47	в их	2	5
48	сводится к	3	5
49	в себя	1	5
50	к тому	7	5
51	то что	28	5
52	и на	6	5
53	отличие от	3	5
54	в силу	2	5
55	тому же	5	5
56	а с	4	5
57	в котором	4	5
58	в отличие	3	5
59	в процессе	1	5
60	а в	7	5
61	в составе	1	5
62	или иной	1	5
63	как бы	3	5
64	в данном	5	5
65	же время	2	4
66	одной из	2	4
67	для себя	5	4
68	в сторону	2	4
69	в которых	1	4
70	что в	17	4
71	для него	8	4
72	потому что	11	4
73	и к	2	4
74	в целом	2	4
75	лишь в	1	4
76	и о	4	4
77	в истории	5	4
78	такого рода	4	4
79	уже не	9	4
80	в них	1	4
81	внимание на	1	4
82	не как	2	4
83	с его	2	4
84	связи с	2	4
85	по своим	1	4
86	что он	5	4
87	не является	2	4
88	все же	4	3
89	должны быть	1	3
90	того же	2	3
91	понятие о	2	3
92	таким образом	11	3
93	точки зрения	13	3
94	при всей	1	3
95	хотя бы	6	3
96	имеет свою	2	3
97	по себе	6	3
98	в то	7	3
99	в строгом	1	3
100	в ее	1	3
101	того что	7	3
102	как не	2	3
103	что и	7	3
104	он мог	3	3
105	или на	1	3
106	и даже	6	3
107	не с	4	3
108	с этим	2	3
109	один из	1	3
110	сказать что	12	3
111	и потому	10	3
112	тем что	5	3
113	перед нами	3	3
114	по своему	1	3
115	другой стороны	2	3
116	себе не	1	3
117	именно в	3	3
118	в самом	4	3
119	также и	17	3
120	значении этого	1	3
121	в действительности	1	3
122	в каждой	1	3
123	в своих	7	3
124	это не	3	3
125	заключается в	1	3
126	из них	2	3
127	той или	2	3
128	еще в	5	3
129	в свою	1	3
130	исходя из	1	2
131	данном случае	2	2
132	в другом	2	2
133	так сказать	1	2
134	и др	1	2
135	самому себе	1	2
136	в литературе	1	2
137	для своего	1	2
138	отличается от	3	2
139	может и	1	2
140	он всегда	2	2
141	об этом	6	2
142	не менее	9	2
143	и все	4	2
144	основе своей	1	2
145	говоря уже	1	2
146	строго говоря	1	2
147	в какой	2	2
148	было в	1	2
149	и во	1	2
150	и вообще	3	2
151	к которому	1	2
152	в тех	1	2
153	но обязательно	1	2
154	и без	1	2
155	здесь в	4	2
156	разного рода	3	2
157	и он	1	2
158	в одном	5	2
159	котором он	1	2
160	стороны и	2	2
161	литературы в	1	2
162	в виду	3	2
163	в году	10	2
164	в начале	2	2
165	оно не	3	2
166	что же	9	2
167	например в	1	2
168	что касается	2	2
169	во всяком	3	2
170	но зато	1	2
171	свидетельствует о	2	2
172	отношения к	5	2
173	поскольку в	3	2
174	он ни	2	2
175	но как	2	2
176	хотя и	7	2
177	для понимания	2	2
178	различие между	1	2
179	с позиций	1	2
180	что даже	2	2
181	они не	1	2
182	одного из	1	2
183	с ее	1	2
184	как мы	8	2
185	и его	10	2
186	не говоря	1	2
187	к его	2	2
188	сказать и	1	2
189	за рамки	1	2
190	в сущности	2	2
191	сознания в	1	2
192	что с	1	2
193	определяется не	1	2
194	никогда не	11	2
195	о чем	1	2
196	едва ли	11	2
197	не могло	1	2
198	заметить что	2	2
199	или менее	5	2
200	это было	3	2
201	мы имеем	3	2
202	однако и	4	2
203	а о	2	2
204	не всегда	1	2
205	и тем	3	2
206	в этой	8	2
207	будто бы	1	2
208	когда он	1	2
209	что делает	1	2
210	бы это	2	2
211	за пределы	3	2
212	возможно только	1	2
213	и что	8	2
214	в науке	1	2
215	в новом	1	2
216	же касается	5	2
217	том числе	1	2
218	и есть	1	2
219	к этому	2	2
220	на себя	2	2
221	точка зрения	1	2
222	уже в	3	2
223	а сам	1	2
224	указывает на	1	2
225	же самое	3	2
226	и по	2	2
227	более или	5	2
228	не есть	10	2
229	что каждый	2	1
230	войти в	1	1
231	о которых	2	1
232	не позволяет	1	1
233	они были	1	1
234	на более	2	1
235	этом он	1	1
236	с самого	1	1
237	когда мы	1	1
238	оно стремится	1	1
239	говорит не	1	1
240	не становясь	1	1
241	уверенность в	1	1
242	он пишет	1	1
243	их к	1	1
244	одно и	2	1
