N	2gram	Tiupa_Lite_3	VeschiIm
1	не есть	1	49
2	вещи есть	1	38
3	не может	8	33
4	не только	14	31
5	может быть	12	29
6	и не	22	28
7	и в	16	26
8	то что	12	24
9	и есть	1	23
10	это значит	1	22
11	и т	1	21
12	а не	12	20
13	не просто	1	18
14	есть только	1	17
15	что я	5	16
16	только в	7	14
17	по себе	2	13
18	того что	9	13
19	самой вещи	1	13
20	и то	1	12
21	есть не	1	12
22	все же	2	12
23	было бы	2	12
24	и ее	2	12
25	но и	14	12
26	сказать что	1	12
27	а и	2	11
28	то же	9	10
29	в ней	1	10
30	как бы	8	10
31	что такое	1	10
32	потому что	3	10
33	уже не	3	10
34	бы то	2	9
35	в самом	3	9
36	то ни	2	9
37	и с	2	9
38	в том	12	9
39	что не	2	9
40	еще и	2	9
41	прежде всего	3	9
42	ни было	2	9
43	что иное	1	8
44	с ее	3	8
45	иное как	1	8
46	в себе	6	8
47	на то	2	8
48	себя и	2	8
49	но это	1	8
50	не что	1	8
51	говорить о	1	7
52	в этом	14	7
53	его в	2	7
54	с другими	1	7
55	том что	8	7
56	в то	9	7
57	в свете	1	7
58	себя в	7	7
59	и их	1	7
60	так как	1	7
61	как раз	2	7
62	смысла и	1	7
63	совершенно не	3	7
64	есть и	1	7
65	данной вещи	1	6
66	с собою	1	6
67	со стороны	7	6
68	что они	1	6
69	и как	3	6
70	но в	3	6
71	бы и	3	6
72	точки зрения	7	6
73	ее не	1	6
74	она не	1	6
75	должно быть	4	6
76	и только	2	6
77	так что	1	6
78	ни с	2	6
79	для него	2	6
80	когда мы	1	6
81	быть только	2	6
82	жизни и	3	6
83	что в	2	6
84	того же	2	5
85	это и	1	5
86	и до	1	5
87	на себя	2	5
88	в чем	1	5
89	но не	4	5
90	отнюдь не	3	5
91	вообще не	1	5
92	содержит в	1	5
93	это не	5	5
94	с тем	1	5
95	не в	10	5
96	тем не	1	5
97	в отношении	1	5
98	не менее	2	5
99	у нас	2	5
100	для себя	2	5
101	свою очередь	1	5
102	в ее	5	5
103	тут мы	1	5
104	если бы	2	5
105	для этого	1	5
106	еще не	6	5
107	что для	1	5
108	с этой	2	5
109	и для	4	5
110	а в	5	5
111	в свою	2	5
112	так чтобы	2	4
113	я не	2	4
114	как я	1	4
115	то это	2	4
116	имя и	1	4
117	в их	1	4
118	во всех	2	4
119	нет и	1	4
120	независимо от	1	4
121	с этим	1	4
122	в своем	1	4
123	однако не	3	4
124	как и	5	4
125	с точки	3	4
126	и более	1	4
127	же время	7	4
128	точке зрения	1	4
129	и о	1	4
