N	4gram	Voloshinov_1	Problema
1	с одной стороны и	2	3
2	если бы не было	1	3
3	и в частности в	1	2
4	один и тот же	1	2
5	но тем не менее	2	1
6	мы имеем в виду	1	1
7	и с другой стороны	1	1
8	какой бы то ни	1	1
9	одной стороны и с	1	1
10	сих пор мы касались	1	1
11	и не может быть	1	1
12	бы мы ни анализировали	2	1
13	в то время как	1	1
14	на самом же деле	1	1
15	бы то ни было	3	1
16	все более и более	1	1
17	до сих пор мы	1	1
18	так же как и	1	1
19	в том что в	1	1
20	что до сих пор	1	1
21	одним и тем же	1	1
