N	4gram	Vygotskiy__4	Russkaja
1	в том случае если	1	3
2	во всяком случае одно	1	1
3	одного и того же	5	1
4	подлежит никакому сомнению что	1	1
5	но на самом деле	1	1
6	в том числе и	2	1
7	точно так же как	1	1
8	в самом деле для	1	1
9	друг с другом не	1	1
10	что с точки зрения	1	1
11	в том виде как	1	1
12	друг с другом как	1	1
13	бы то ни было	1	1
14	не подлежит никакому сомнению	2	1
15	одну и ту же	1	1
16	которая в свою очередь	1	1
17	не подлежит сомнению и	1	1
18	заключается в том что	13	1
19	о котором мы говорили	1	1
20	друг с другом в	1	1
21	свидетельствуют о том что	1	1
