N	2gram	Medvedev_B_1	Problema
1	и не	2	42
2	и в	1	38
3	отнюдь не	1	19
4	прежде всего	1	13
5	за пределы	1	12
6	художественного произведения	1	11
7	в области	1	11
8	таким образом	1	10
9	не только	1	9
10	было бы	1	8
11	еще не	1	7
12	с другой	1	7
13	совершенно не	1	7
14	в своей	1	7
15	что в	1	7
16	в пределах	1	6
17	по поэтике	1	6
18	все же	1	6
19	художественном произведении	1	5
20	далеко не	1	5
21	творчества и	1	5
22	так и	1	5
23	и о	1	5
24	а не	1	5
25	на самом	1	4
26	должна быть	1	4
27	в ней	2	4
28	в данном	1	4
29	значение слова	1	4
30	можно было	2	4
31	и потому	1	4
32	между ними	1	4
33	другой стороны	1	4
34	говорить о	1	3
35	кроме того	1	3
36	моментом в	1	3
37	почти совершенно	1	3
38	одной из	1	3
39	и на	1	3
40	все это	2	3
41	его не	1	2
42	не вполне	1	2
43	не все	1	2
44	не следует	1	2
45	и более	1	2
46	у нас	3	2
47	представляется нам	1	2
48	что все	1	2
49	словесного творчества	1	2
50	в значительной	1	2
51	и во	1	2
52	и ее	1	2
53	не было	1	2
54	о художественном	1	2
55	является изучение	1	1
56	как таковому	1	1
57	вопрос о	1	1
58	формализма и	1	1
59	бы только	1	1
60	поэтике если	1	1
61	эстетикой словесного	1	1
62	является только	1	1
63	быть эстетикой	1	1
64	значительной степени	1	1
65	в научном	1	1
66	по теории	1	1
67	говорить об	1	1
68	на которой	1	1
69	теорию литературы	1	1
70	не о	1	1
71	выходит за	1	1
72	а о	1	1
73	до конца	1	1
74	чем на	1	1
75	и исторической	1	1
