N	2gram	Berdyaev_N_1	Dialekti
1	не есть	3	40
2	и не	11	30
3	и есть	10	19
4	а не	17	18
5	может быть	7	17
6	то что	4	16
7	и в	16	15
8	не имеет	4	14
9	так как	1	14
10	по себе	1	13
11	это есть	7	13
12	это не	4	12
13	в этом	7	11
14	говорить о	1	11
15	в том	8	11
16	прежде всего	4	11
17	не может	16	11
18	и все	4	11
19	том что	2	10
20	в основе	3	10
21	потому что	4	10
22	с ее	5	10
23	это и	2	9
24	мы не	2	9
25	было бы	1	9
26	в виду	1	9
27	и что	2	9
28	уже не	2	9
29	и пр	3	9
30	значит что	4	9
31	все это	5	9
32	в чем	1	8
33	не в	6	8
34	в себе	2	8
35	не только	5	8
36	ни в	6	8
37	и это	2	8
38	это значит	1	8
39	должна быть	3	7
40	и мы	4	7
41	он есть	1	7
42	как и	7	7
43	и его	1	7
44	только в	1	7
45	что мы	1	7
46	что он	1	7
47	что в	9	7
48	хотя и	2	6
49	в то	2	6
50	и даже	2	6
51	нет ничего	1	6
52	сказать что	3	6
53	в сущности	1	5
54	и на	2	5
55	быть в	2	5
56	с его	6	5
57	в своем	1	5
58	что она	2	5
59	в нем	5	5
60	в жизни	5	5
61	что такое	3	5
62	в ней	5	5
63	того чтобы	2	5
64	я не	2	5
65	в каком	1	5
66	о том	4	5
67	так и	2	5
68	можно сказать	1	5
69	для того	1	5
70	в смысле	2	5
71	и для	4	5
72	но если	1	5
73	оно есть	1	4
74	хотя бы	2	4
75	в этой	1	4
76	с их	2	4
77	в силу	1	4
78	подобно тому	3	4
79	и с	2	4
80	этом смысле	2	4
81	с тем	3	4
82	бытия и	1	4
83	мир и	2	4
84	она не	3	4
85	что все	2	4
86	еще не	3	4
87	только так	1	4
88	в его	1	4
89	мы должны	1	4
90	есть в	2	4
91	так же	2	4
92	тому как	3	4
93	но это	6	4
94	или не	1	4
95	жизни и	8	4
96	но и	3	4
97	должны быть	1	4
98	только потому	1	3
99	и бытия	1	3
100	личности с	1	3
101	в истории	3	3
102	как в	3	3
103	с этим	2	3
104	и нет	1	3
105	но в	2	3
106	от этого	1	3
107	все эти	2	3
108	от нее	1	3
109	в одну	2	3
110	мы уже	1	3
111	не всегда	1	3
112	в своей	3	3
113	есть всегда	1	3
114	только для	1	3
115	нет никакого	1	3
116	и истории	1	3
117	есть прежде	1	3
118	свободы и	2	3
119	та или	1	3
120	нет ни	1	3
121	есть только	1	3
122	могут быть	2	3
123	более не	2	3
124	к жизни	3	3
125	и религии	1	3
126	вот почему	2	3
127	для всех	1	3
128	уже нет	1	3
129	в области	1	3
130	за пределы	3	3
131	в природе	2	3
132	себя и	1	3
133	что не	1	3
134	у нас	1	3
135	когда она	1	3
136	я называю	2	3
137	я уже	2	3
138	и потому	4	3
139	или нет	1	3
140	с ним	1	3
141	в свою	1	3
142	есть и	1	3
143	можно назвать	2	3
144	нем нет	2	2
145	человека и	3	2
146	мы говорим	2	2
147	ведь и	2	2
148	мир не	1	2
149	вопрос о	3	2
150	из ее	2	2
151	думаю что	1	2
152	на нем	1	2
153	во всех	3	2
154	есть по	1	2
155	себе и	1	2
156	нет и	2	2
157	в этот	1	2
158	в самом	1	2
159	в которой	1	2
160	из этих	1	2
161	тоже не	1	2
162	думать что	2	2
163	ни одна	2	2
164	а это	1	2
165	но все	1	2
166	не будет	7	2
167	в глубине	1	2
168	лишь в	6	2
169	это было	3	2
170	истории и	9	2
171	весь мир	1	2
172	в них	4	2
173	религиозного сознания	1	2
174	должно быть	4	2
175	в котором	1	2
176	если есть	1	2
177	есть еще	1	2
178	не могли	2	2
179	не менее	4	2
180	никогда не	6	2
181	или иная	1	2
182	она должна	1	2
183	во всем	1	2
184	как не	8	2
185	не по	1	2
186	как будто	2	2
187	не могут	1	2
188	символическая природа	1	2
189	всегда есть	1	2
190	в ее	3	2
191	не их	1	2
192	и когда	1	2
193	не значит	3	2
194	для этого	2	2
195	мы всегда	1	2
196	познания и	2	2
197	это должно	1	2
198	и во	1	2
199	я думаю	1	2
200	и только	1	2
201	совершенно невозможно	1	2
202	религия в	1	2
203	себя в	2	2
204	же и	1	2
205	конечно не	3	2
206	есть своя	1	2
207	из них	1	2
208	и их	1	2
209	отличие от	1	2
210	тем что	1	2
211	от того	1	2
212	не было	4	2
213	и из	1	2
214	другой стороны	2	2
215	вместе с	2	2
216	как это	2	2
217	и жизни	1	2
218	есть результат	1	2
219	быть не	1	2
220	но для	2	2
221	за его	1	2
222	тут мы	1	2
223	что этот	1	2
224	возможно лишь	1	2
225	равно как	2	2
226	природе и	2	2
227	оно не	1	2
228	я могу	1	2
229	во всяком	1	2
230	все что	1	2
231	смысле слова	3	1
232	же как	2	1
233	и через	1	1
234	он может	1	1
235	не уходит	1	1
236	переход от	1	1
237	жизни мы	1	1
238	который можно	1	1
239	живое и	1	1
240	и знание	1	1
241	в зависимости	1	1
242	и этот	1	1
243	жизни для	1	1
244	божьего и	1	1
245	религия не	1	1
246	но она	2	1
247	то это	1	1
248	жизни это	1	1
249	это время	1	1
250	и явления	1	1
251	в религии	2	1
252	на них	1	1
253	из сторон	1	1
254	к богу	2	1
255	значение и	1	1
256	в новом	2	1
257	что нет	1	1
258	помнить что	2	1
259	тут нет	1	1
260	в час	4	1
261	роль в	2	1
262	но ведь	1	1
263	дальше и	1	1
264	может уже	2	1
265	все ее	1	1
266	вообще не	1	1
267	имя но	1	1
268	религия и	1	1
269	она становится	1	1
270	человек не	1	1
271	он не	8	1
272	рационалистическая и	1	1
273	и еще	1	1
274	для бога	1	1
275	возвращение к	3	1
276	и более	1	1
277	и начинается	2	1
278	не ставится	1	1
279	отрицание и	1	1
280	людей и	1	1
281	в нее	1	1
282	и заключается	2	1
283	в основу	1	1
284	если нет	2	1
285	том случае	1	1
286	это я	1	1
287	нельзя мыслить	1	1
288	с другими	1	1
289	искусство не	1	1
290	делается в	1	1
291	может еще	1	1
292	к своим	1	1
293	хаос но	1	1
294	эта символическая	1	1
295	всю жизнь	1	1
296	и очень	1	1
297	нельзя будет	1	1
298	для чего	2	1
299	такой же	2	1
300	одного и	1	1
301	но я	2	1
302	нового адама	1	1
303	бы к	1	1
304	и процесс	1	1
305	с своими	1	1
306	место в	2	1
307	в отличие	1	1
308	но он	1	1
309	их в	1	1
310	жизни а	1	1
311	не должна	1	1
312	личность в	2	1
313	народов и	1	1
314	и вся	1	1
315	одна сторона	1	1
316	история так	1	1
317	она могла	1	1
318	и имеет	1	1
319	того и	1	1
320	который есть	1	1
321	самой жизни	2	1
322	одна из	2	1
323	в соприкосновение	1	1
324	и весь	2	1
325	всех своих	1	1
326	возможно было	1	1
327	это уже	1	1
328	день не	1	1
329	ему не	1	1
330	а в	2	1
331	бытия как	1	1
