N	3gram	Trubetskoy_1	Vladivir
1	в том что	15	10
2	тем не менее	4	9
3	о том что	4	8
4	с точки зрения	8	6
5	вместе с тем	2	6
6	не может быть	3	6
7	более или менее	7	5
8	что же касается	2	5
9	в конце концов	4	5
10	дело в том	1	5
11	к тому же	5	5
12	точно так же	1	4
13	и то что	3	4
14	у него в	1	4
15	в то время	2	4
16	в настоящее время	2	3
17	только в том	1	3
18	бы то ни	2	3
19	в том случае	4	3
20	во всяком случае	2	3
21	с одной стороны	2	3
22	в то же	2	3
23	также и то	1	3
24	как мы видели	1	3
25	что несмотря на	2	2
26	иметь в виду	1	2
27	при таких условиях	1	2
28	свидетельствует о том	1	2
29	для тех кто	1	2
30	независимо от того	1	2
31	совершенно так же	4	2
32	а с другой	2	2
33	том случае если	4	2
34	так же как	3	2
35	в данном случае	3	2
36	мы видели выше	1	2
37	то время как	1	2
38	так или иначе	5	2
39	в связи с	3	2
40	с другой стороны	4	2
41	и в том	2	2
42	как мы знаем	1	2
43	в себе и	1	2
44	то что это	2	2
45	то же время	2	2
46	ничего общего с	2	2
47	что это есть	1	2
48	на то что	7	2
49	в вопросе о	2	2
50	к тому что	1	2
51	не имели никакого	1	1
52	не может не	3	1
53	несмотря на все	1	1
54	а следовательно и	1	1
55	уже знаем что	1	1
56	но тут надо	1	1
57	точку зрения в	1	1
58	а потому и	1	1
59	это было бы	1	1
60	на все эти	1	1
61	в этом последнем	1	1
62	не только с	1	1
63	в том и	2	1
64	том что он	2	1
65	в том же	3	1
66	в этом случае	4	1
67	все та же	1	1
68	ничего такого что	1	1
69	на эти темы	1	1
70	о которой мы	2	1
71	с ярко выраженной	1	1
72	до сих пор	8	1
73	более высокой ступени	1	1
74	дело только в	1	1
75	при этом что	2	1
76	сих пор не	2	1
77	лишь при условии	2	1
78	а так как	1	1
79	только то что	2	1
80	ко всему этому	2	1
81	можно было бы	1	1
82	выше мы сказали	2	1
83	благодаря тому что	1	1
84	с тех пор	1	1
85	с этой точки	1	1
86	одно и то	1	1
87	по этому поводу	1	1
88	и в жизни	1	1
89	может быть и	4	1
90	понятно поэтому что	1	1
91	в этой области	4	1
92	то ни было	2	1
93	именно в этой	1	1
94	не говоря уже	1	1
95	и то же	1	1
96	и в нашем	1	1
97	у него с	2	1
98	хотя бы с	1	1
99	но и его	1	1
100	все же не	3	1
101	но вместе с	1	1
102	только с точки	1	1
103	потому не может	1	1
104	это есть не	1	1
105	о которых мы	3	1
106	все то что	1	1
107	этой точки зрения	1	1
108	если мы будем	1	1
109	то в ней	1	1
110	в одно целое	1	1
111	здесь дело только	1	1
112	видели выше есть	1	1
113	к которой он	1	1
114	надо сказать что	1	1
115	и что если	1	1
116	с самого начала	1	1
117	не только не	1	1
118	что если эта	1	1
119	между ними нет	1	1
120	и что все	1	1
121	и так как	1	1
122	в самом деле	5	1
123	мы знаем что	7	1
124	без которого немыслим	1	1
125	заключается в том	2	1
126	в том числе	1	1
127	мы видим что	1	1
128	важную роль в	1	1
129	самом деле ведь	1	1
130	по этому вопросу	1	1
131	мы уже знаем	1	1
132	и самого себя	1	1
133	быть и не	1	1
134	для того чтобы	7	1
135	нечего и говорить	3	1
136	лишь в том	5	1
137	те же самые	1	1
138	то же самое	1	1
139	мы только что	1	1
