1	в том что	6	11
2	о том что	3	7
3	по отношению к	4	7
4	даме с собачкой	1	6
5	в даме с	1	5
6	в то же	4	4
7	подобно тому как	2	4
8	то же время	5	4
9	но при этом	2	3
10	тем не менее	1	3
11	ни о чем	1	3
12	том что в	1	3
13	не может быть	3	3
14	в соответствии с	2	3
15	в родном углу	1	3
16	с одной стороны	4	3
17	в самом деле	1	3
18	в конечном счете	1	3
19	как и в	5	3
20	как будто бы	1	2
21	того или иного	1	2
22	если можно так	1	2
23	с точки зрения	2	2
24	человек в футляре	1	2
25	и в то	1	2
26	не более чем	2	2
27	можно так выразиться	1	2
28	в данном случае	6	2
29	состоит в том	2	2
30	между автором и	1	2
31	не было видно	1	1
32	в том числе	1	1
33	содержание рассказа в	1	1
34	присутствия в мире	2	1
35	мы ничего не	1	1
36	при переходе от	1	1
37	а с другой	1	1
38	дело в том	2	1
39	а не как	1	1
40	а также и	1	1
41	как в анекдоте	1	1
42	и то что	2	1
43	[...] а потом	1	1
44	о чем не	1	1
45	места времени и	1	1
46	строгом значении этого	2	1
47	это отнюдь не	1	1
48	в себе самом	1	1
49	жизни своего рода	1	1
50	в повседневную жизнь	1	1
51	из виду что	1	1
52	имеет своим истоком	1	1
53	в значительной степени	1	1
54	упускать из виду	1	1
55	такова же и	1	1
56	это своего рода	1	1
57	в одном из	1	1
58	что на этом	1	1
59	содержит в себе	2	1
60	как художественного целого	1	1
61	в это время	1	1
62	в этом случае	2	1
63	одних и тех	1	1
64	в этом отношении	4	1
65	двух или нескольких	1	1
66	несет в себе	2	1
67	значении этого термина	1	1
68	том числе и	1	1
69	и все же	3	1
70	внешнее и внутреннее	1	1
71	не в состоянии	1	1
72	перед нами своего	1	1
73	с самого начала	1	1
74	той или иной	3	1
75	можно сказать что	1	1
76	человека в футляре	1	1
77	жизни и смерти	1	1
78	в строгом значении	2	1
79	по сути дела	1	1
80	настоящего времени в	1	1
81	к чужому слову	1	1
82	в другом и	1	1
83	обратим внимание на	1	1
84	правильно поставленный вопрос	1	1
85	друг от друга	1	1
86	та или иная	1	1
87	пределах одного текста	1	1
88	бы то ни	1	1
89	мы имеем дело	1	1
90	между я и	1	1
91	на этом свете	1	1
92	с другой стороны	1	1
93	и т.п в	1	1
94	в немалой степени	1	1
95	нами своего рода	1	1
96	к этому ряду	1	1
97	между тем как	1	1
98	в пределах одного	1	1
99	в своего рода	1	1
100	себя в другом	1	1
101	на краткие мгновения	1	1
102	состава действующих лиц	1	1
103	дает себя знать	1	1
104	же из этих	1	1
105	и тех же	1	1
106	тем что он	1	1
107	другого в себе	1	1
108	дистанции между ними	1	1
109	что на деле	1	1
110	легко может быть	2	1
