N	2gram	Vygotskiy__7	Myslijsy
1	потому что	16	46
2	в слове	11	32
3	в том	18	32
4	и в	26	30
5	может быть	7	28
6	то же	8	23
7	не только	24	21
8	только в	8	21
9	для нас	2	20
10	но и	11	19
11	того что	14	18
12	том что	17	18
13	то что	24	18
14	не есть	4	17
15	что в	12	17
16	в себе	9	16
17	по себе	3	16
18	и не	18	15
19	не в	4	15
20	в сознании	6	15
21	а не	6	15
22	таким образом	23	14
23	что и	3	13
24	так как	14	13
25	если бы	5	12
26	вместе с	12	12
27	а в	2	12
28	точно так	2	12
29	так и	3	11
30	что оно	4	11
31	этого слова	3	11
32	как в	4	10
33	в этом	29	10
34	как и	15	10
35	в то	3	10
36	и что	6	10
37	мы не	7	9
38	только тогда	1	9
39	из этих	3	9
40	в нем	2	9
41	было бы	6	9
42	тогда когда	5	9
43	слово есть	1	9
44	между тем	1	9
45	для него	3	9
46	и то	7	8
47	в ней	3	8
48	в самом	9	8
49	от того	1	8
50	что не	2	8
51	что мы	9	8
52	только что	5	8
53	что слово	2	7
54	есть не	3	7
55	с одной	5	7
56	но не	3	7
57	с тем	5	7
58	и без	1	7
59	тем самым	8	7
60	тем что	9	7
61	как мы	14	7
62	так что	4	7
63	слова в	5	7
64	вовсе не	2	7
65	с другой	4	7
66	смысле этого	3	7
67	к тому	7	7
68	например в	1	6
69	с этим	2	6
70	с ним	3	6
71	не имеет	2	6
72	что он	8	6
73	то и	4	6
74	из них	1	6
75	и слово	3	6
76	но оно	1	6
77	не может	11	6
78	но это	3	6
79	есть представление	2	6
80	сам по	1	5
81	на деле	2	5
82	и т	1	5
83	слово не	2	5
84	еще не	4	5
85	по отношению	6	5
86	в своем	1	5
87	и как	1	5
88	думать что	1	5
89	заключает в	1	5
90	одно и	3	5
91	с другими	3	5
92	и тем	6	5
93	в них	1	5
94	что я	1	5
95	значение слова	13	5
96	к ней	2	5
97	слове и	1	5
98	как на	6	5
99	в каком	1	5
100	не могут	4	5
101	развития мысли	2	5
102	сравнительно с	1	5
103	не менее	4	5
104	мысль о	1	5
105	слово может	1	5
106	словом и	10	5
107	уже в	2	5
108	одно из	5	5
109	только по	3	5
110	очевидно что	3	5
111	есть только	2	5
112	тому как	1	5
113	отношению к	5	5
114	должно быть	2	5
115	слова и	10	5
116	сказать что	8	5
117	только как	1	5
118	в действительности	2	5
119	тем же	5	4
120	столь же	2	4
121	относится к	2	4
122	не было	1	4
123	что это	6	4
124	бы не	1	4
125	не обнаруживает	1	4
126	он не	3	4
127	перестает быть	1	4
128	не к	1	4
129	но вместе	1	4
130	одной и	2	4
131	и по	3	4
132	мы видели	3	4
133	в один	1	4
134	и при	2	4
135	в котором	4	4
136	на мысль	1	4
137	для меня	1	4
138	того как	2	4
139	это слово	1	4
140	и его	12	4
141	без слов	1	4
142	по поводу	1	4
143	для того	18	4
144	и это	1	4
145	то время	2	4
146	своей мысли	1	4
147	по мере	7	4
148	в его	4	4
149	один из	2	4
150	все равно	1	4
151	себя и	2	4
152	что для	2	4
153	если не	1	4
154	и потому	3	4
155	со словом	1	4
156	все это	3	4
157	в смысле	6	4
158	и от	4	4
159	мы должны	6	4
160	другой стороны	1	4
161	была бы	1	4
162	все что	6	4
163	только потому	3	3
164	и есть	2	3
165	в первом	3	3
166	действительности и	1	3
167	говорить о	1	3
168	оно есть	5	3
169	в чем	3	3
170	а только	1	3
171	ответ на	2	3
172	дает нам	1	3
173	мысль в	1	3
174	не можем	4	3
175	в целом	5	3
176	что она	8	3
177	при этом	1	3
178	смотреть как	1	3
179	в силу	5	3
180	возможно только	2	3
181	что все	2	3
182	и может	1	3
183	разница между	1	3
184	его в	2	3
185	этого не	1	3
186	оно имеет	2	3
187	и тогда	1	3
188	как бы	6	3
189	представить себе	3	3
190	одним и	2	3
191	место в	1	3
192	что при	2	3
193	тем не	3	3
194	тому что	9	3
195	на него	1	3
196	с и	1	3
197	образом в	2	3
198	того чтобы	19	3
199	заметить что	1	3
200	ни о	1	3
201	формы слова	1	3
202	могут быть	2	3
203	содержание в	1	3
204	слова с	4	3
205	для себя	24	3
206	свою очередь	2	3
207	из двух	3	3
208	или в	2	3
209	здесь как	2	3
210	слово и	9	3
211	быть может	1	3
212	в словах	1	3
213	и вообще	1	3
214	время в	2	3
215	никак не	5	3
216	можно сказать	5	3
217	то тем	1	3
218	это было	1	3
219	к нему	3	3
220	слова для	1	3
221	и следовательно	5	3
222	на которой	1	3
223	есть в	3	3
224	только на	3	3
225	в начале	5	3
226	за ним	1	3
227	к мысли	4	3
228	никто не	2	3
229	прежде всего	7	3
230	друг друга	4	3
231	мы можем	3	3
232	само по	1	3
233	и вместе	2	3
234	себе представить	1	3
235	до сих	3	3
236	нельзя сказать	1	3
237	именно в	6	3
238	одной стороны	5	3
239	только от	1	3
240	там где	1	3
241	в одно	1	3
242	связь с	1	3
243	так же	14	3
244	за тем	1	3
245	самого себя	1	3
246	то к	1	3
247	в ряду	1	3
248	одно только	1	3
249	слова есть	1	3
250	сих пор	3	3
251	и оно	1	3
252	каждой из	3	3
253	а к	1	3
254	и все	1	3
255	в свою	2	3
256	значение не	1	3
257	в которой	11	3
258	как слово	2	3
259	к этому	2	3
260	в таком	1	3
261	которого в	1	2
262	самом деле	6	2
263	это и	4	2
264	и до	2	2
265	собственном смысле	3	2
266	когда с	1	2
267	в их	2	2
268	живой речи	1	2
269	мы уже	3	2
270	той же	8	2
271	что уже	1	2
272	он как	1	2
273	его только	1	2
274	ему в	1	2
275	себе что	1	2
276	мы ее	1	2
277	мысль гумбольдта	1	2
278	одним словом	1	2
279	и предмета	1	2
280	и сказуемого	2	2
281	к слову	14	2
282	отношение к	2	2
283	за пределы	1	2
284	что они	10	2
285	сама по	1	2
286	о необходимости	1	2
287	что внутренняя	5	2
288	в предложении	2	2
289	акт мысли	1	2
290	все же	6	2
291	и той	2	2
292	и слова	6	2
293	целый ряд	4	2
294	что по	2	2
295	его к	2	2
296	та же	1	2
297	же слово	1	2
298	в этой	3	2
299	и тот	1	2
300	на то	4	2
301	не могла	2	2
302	так сказать	1	2
303	на его	2	2
304	не как	1	2
305	с таким	1	2
306	в понятии	1	2
307	подобно тому	1	2
308	прежде чем	2	2
309	но все	1	2
310	что мысль	1	2
311	на все	1	2
312	входит в	2	2
313	время и	1	2
314	отдельными словами	1	2
315	ни в	2	2
316	показывает что	2	2
317	несмотря на	2	2
318	есть такая	1	2
319	во время	2	2
320	точки зрения	28	2
321	в своей	3	2
322	что такое	1	2
323	а как	1	2
324	в мысли	3	2
325	между людьми	1	2
326	на первых	1	2
327	в которых	2	2
328	мысли и	11	2
329	бы мы	1	2
330	заставляет нас	1	2
331	их в	1	2
332	том же	2	2
333	даже в	2	2
334	что есть	1	2
335	что эта	6	2
336	она не	5	2
337	что с	5	2
338	на котором	3	2
339	но только	3	2
340	только не	11	2
341	первое слово	1	2
342	в разных	1	2
343	природы в	1	2
344	такая же	1	2
345	из того	3	2
346	этом отношении	3	2
347	в живой	1	2
348	деятельности и	3	2
349	от этого	1	2
350	для развития	1	2
351	его с	3	2
352	от нее	2	2
353	в области	4	2
354	так например	1	2
355	и самое	1	2
356	со значением	1	2
357	и о	3	2
358	это единство	2	2
359	в ее	6	2
360	языка и	1	2
361	в собственном	3	2
362	привести в	1	2
363	котором мы	2	2
364	свою мысль	1	2
365	и с	5	2
