N	2gram	Tiupa_Narr_1	FransuaR
1	и в	11	40
2	то есть	9	18
3	и его	10	17
4	прежде всего	4	16
5	в этом	12	15
6	в романе	2	15
7	мы уже	1	13
8	не только	31	13
9	в его	6	13
10	и не	23	13
11	что в	3	12
12	как и	13	11
13	но и	27	11
14	таким образом	1	10
15	как мы	2	10
16	и т.п	8	10
17	в сущности	2	9
18	он не	3	9
19	может быть	15	9
20	и все	3	9
21	и до	1	8
22	той же	1	8
23	и на	5	8
24	отношение к	1	8
25	и с	3	8
26	во время	1	8
27	в том	8	8
28	у него	7	8
29	но в	7	8
30	то же	8	7
31	в своем	3	7
32	он и	2	7
33	в виду	1	7
34	до нас	1	7
35	в одном	4	7
36	во всех	1	6
37	в самом	6	6
38	в этих	2	6
39	в то	4	6
40	же время	4	6
41	связи с	2	6
42	связь с	1	6
43	мы еще	1	6
44	до конца	2	6
45	в той	2	6
46	в своей	5	6
47	к этому	1	6
48	в году	2	5
49	в нем	4	5
50	со всеми	1	5
51	так сказать	2	5
52	вернемся к	1	5
53	и для	2	5
54	в особенности	2	5
55	начала и	3	5
56	в литературе	4	5
57	для него	4	5
58	то что	9	5
59	не было	3	5
60	а не	13	5
61	в связи	2	5
62	как раз	6	5
63	также и	3	4
64	жизни и	6	4
65	из всех	1	4
66	в ней	4	4
67	в нашем	3	4
68	в мире	4	4
69	еще вернемся	1	4
70	том что	7	4
71	в их	1	4
72	даже в	1	4
73	того чтобы	4	4
74	в области	2	4
75	у нас	3	4
76	о том	4	4
77	и о	3	4
78	так в	4	4
79	роль в	2	4
80	особенно в	2	4
81	и здесь	1	4
82	а также	6	4
83	один из	6	4
84	только на	2	4
85	из них	4	4
86	так как	1	4
87	и даже	2	4
88	до сих	2	4
89	и потому	1	4
90	в данном	11	4
91	сих пор	2	4
92	все это	1	4
93	в культуре	1	4
94	ни для	1	4
95	в мировой	1	4
96	еще более	1	4
97	самом деле	3	3
98	на самом	1	3
99	в приведенном	1	3
100	и есть	1	3
101	он был	1	3
102	с его	4	3
103	по отношению	3	3
104	отличие от	2	3
105	в этой	6	3
106	и как	3	3
107	и наконец	1	3
108	и к	1	3
109	шире и	1	3
110	в себе	6	3
111	но ведь	1	3
112	при этом	19	3
113	большей или	2	3
114	об этом	6	3
115	на протяжении	7	3
116	но именно	3	3
117	мировой литературы	1	3
118	мы видели	1	3
119	в отличие	2	3
120	не понимает	1	3
121	их в	3	3
122	для этого	1	3
123	я вас	1	3
124	вплоть до	4	3
125	дело не	2	3
126	одна из	4	3
127	во всем	1	3
128	и мысли	1	3
129	о нем	3	3
130	начиная с	3	3
131	но все	1	3
132	здесь не	2	3
133	в ее	1	3
134	не подлежит	2	3
135	еще в	3	3
136	если бы	7	3
137	в другом	1	3
138	никак не	2	3
139	в значительной	1	3
140	между тем	3	3
141	нуждается в	1	3
142	что и	1	3
143	или меньшей	1	3
144	еще не	4	3
145	только в	12	3
146	так и	5	3
147	в начале	3	3
148	в конце	2	3
149	тем что	1	3
150	для того	3	3
151	сказать что	2	3
152	там где	1	3
153	в частности	14	3
154	не может	8	3
155	вместе с	2	3
156	как в	4	3
157	такого рода	10	3
158	как бы	6	3
159	и смерти	1	3
160	в более	1	3
161	и от	2	3
162	но это	1	3
163	а в	13	3
164	между ними	2	3
165	к этой	1	3
166	они не	1	3
167	том числе	1	3
168	как известно	3	2
169	одним из	1	2
170	например в	1	2
171	того же	1	2
172	переход от	2	2
173	это и	1	2
174	тем же	2	2
175	мы не	3	2
176	перехода от	1	2
177	хотя бы	2	2
178	меньшей степени	2	2
179	быть в	1	2
180	в последних	1	2
181	но не	4	2
182	тут же	1	2
183	что он	3	2
184	все же	4	2
185	в которой	1	2
186	в целом	3	2
187	из этих	4	2
188	раз в	2	2
189	кухни и	1	2
190	как он	1	2
191	в первой	2	2
192	и еще	2	2
193	в корне	1	2
194	и вот	2	2
195	свидетельствует о	1	2
196	значительной степени	1	2
197	лишь в	3	2
198	это вовсе	1	2
199	далеко не	1	2
200	в один	1	2
201	точки зрения	5	2
202	в котором	1	2
203	своего рода	10	2
204	что было	1	2
205	нельзя понять	1	2
206	не менее	3	2
207	не раз	1	2
208	дело в	2	2
209	этом отношении	3	2
210	не слышит	2	2
211	ему не	1	2
212	числе и	1	2
213	той или	5	2
214	они и	2	2
215	момент в	1	2
216	данном случае	8	2
217	и сам	1	2
218	времени и	9	2
219	одного из	6	2
220	не исчерпывается	1	2
221	поэтому в	1	2
222	можно сказать	5	2
223	с другой	2	2
224	нас в	2	2
225	по лужам	1	2
226	это не	3	2
227	в большей	1	2
228	к нему	4	2
229	который в	2	2
230	но как	3	2
231	и ее	3	2
232	об их	1	2
233	вот этот	1	2
234	и у	1	2
235	уже в	1	2
236	и они	1	2
237	слова в	4	2
238	не находит	1	2
239	в форме	2	2
240	или иной	4	2
241	именно в	3	2
242	чем он	2	2
243	еще и	1	2
244	нового времени	1	2
245	что для	1	2
246	о чем	4	2
247	с помощью	1	2
248	с этим	1	2
249	ни от	2	2
