N	4gram	Vygotskiy__6	Psycholo
1	заключается в том что	5	4
2	то же самое в	1	3
3	в то время как	5	2
4	мы могли бы сказать	2	1
5	только в том что	1	1
6	в том что оно	3	1
7	то же самое относится	2	1
8	ничего нового по сравнению	1	1
9	в том смысле что	2	1
10	один и тот же	1	1
11	с этой точки зрения	1	1
12	одной и той же	3	1
13	состоит в том что	2	1
14	нового по сравнению с	2	1
15	в том что всякое	1	1
16	по сравнению с той	1	1
17	образом мы могли бы	1	1
18	в сущности говоря в	1	1
19	есть в сущности говоря	1	1
20	в одной и той	2	1
21	с точки зрения тех	1	1
