N	2gram	Propp_Russ_2	formyVre
1	и в	29	50
2	в этом	11	25
3	в нем	1	24
4	и его	1	16
5	в литературе	1	16
6	прежде всего	2	15
7	как мы	3	14
8	и не	1	14
9	в его	1	13
10	как раз	1	13
11	по существу	4	12
12	так и	1	12
13	человека и	1	11
14	то же	4	11
15	мы уже	1	11
16	таким образом	6	11
17	может быть	13	11
18	и как	2	10
19	но в	5	10
20	все эти	3	9
21	не только	10	9
22	в то	2	9
23	ничего не	1	9
24	в том	22	9
25	в конце	1	9
26	в других	15	9
27	в особенности	1	9
28	и др	1	9
29	и т	5	8
30	и на	6	8
31	в самом	1	8
32	жизни в	2	8
33	но и	8	8
34	как и	11	8
35	это время	2	7
36	так сказать	1	7
37	и во	1	7
38	не было	2	7
39	например в	1	6
40	во всех	3	6
41	как в	7	6
42	с этим	2	6
43	все же	2	6
44	не оставляет	1	6
45	это не	5	6
46	в их	2	6
47	так как	13	6
48	в ее	3	6
49	связи с	2	6
50	то что	5	6
51	не может	5	6
52	так же	4	6
53	и все	4	6
54	и до	1	5
55	время как	1	5
56	еще не	6	5
57	но не	5	5
58	отнюдь не	1	5
59	не в	4	5
60	всех этих	1	5
61	значение в	1	5
62	в основе	1	5
63	того чтобы	6	5
64	могут быть	2	5
65	но все	1	5
66	в пределах	1	5
67	в образе	2	5
68	если бы	1	5
69	в пространстве	1	5
70	для того	6	5
71	в основном	1	5
72	что в	22	5
73	и другие	14	5
74	и то	2	4
75	и это	1	4
76	мы и	1	4
77	в ней	1	4
78	в своем	1	4
79	то время	2	4
80	но на	1	4
81	чтобы они	2	4
82	и с	10	4
83	в них	4	4
84	том что	22	4
85	в котором	3	4
86	не имеет	3	4
87	потому что	5	4
88	к себе	1	4
89	здесь не	1	4
90	жизнь и	2	4
91	и следовательно	1	4
92	только в	1	4
93	влияние на	2	4
94	до конца	3	4
95	на этой	1	4
96	все это	10	4
97	между собой	2	4
98	кроме того	2	4
99	и для	2	4
100	а как	1	3
101	мы не	6	3
102	в виду	2	3
103	всем этим	1	3
104	значение и	1	3
105	хотя и	1	3
106	при этом	6	3
107	вообще не	1	3
108	его в	8	3
109	входит в	1	3
110	и других	3	3
111	с другими	3	3
112	и дает	1	3
113	в новое	1	3
114	здесь нет	1	3
115	для них	2	3
116	в этих	3	3
117	но эта	1	3
118	их в	4	3
119	но они	1	3
120	друг друга	3	3
121	этом отношении	1	3
122	нас в	1	3
123	что и	2	3
124	во всей	1	3
125	в форме	2	3
126	один из	2	3
127	и ее	2	3
128	с одной	2	3
129	в качестве	3	3
130	только на	1	3
131	здесь это	1	3
132	же в	6	3
133	был бы	1	3
134	одно из	2	3
135	в одном	1	3
136	связаны с	3	3
137	именно в	4	3
138	с тем	6	3
139	быть только	2	3
140	а не	4	3
141	в одно	1	3
142	вместе с	6	3
143	и потому	1	3
144	место для	1	3
145	или в	7	3
146	совершенно иной	1	3
147	а в	9	3
148	сказать что	1	3
149	имеет место	1	3
150	к этому	5	3
151	в таком	4	3
152	во всяком	1	3
153	обычно в	1	2
154	же как	4	2
155	здесь и	1	2
156	жизни по	1	2
157	вопрос о	4	2
158	но она	2	2
159	на себя	2	2
160	на них	4	2
161	в различных	1	2
162	существенного значения	1	2
163	только два	1	2
164	природы и	2	2
165	на другой	2	2
166	совсем не	2	2
167	не входит	1	2
168	нет и	1	2
169	же и	1	2
170	стороны и	1	2
171	не являются	1	2
172	мир и	1	2
173	от этого	1	2
174	в этот	10	2
175	тому же	1	2
176	выражение в	1	2
177	как бы	18	2
178	как он	1	2
179	как оно	2	2
180	вера в	1	2
181	и еще	2	2
182	по всем	3	2
183	характер в	2	2
184	уже не	4	2
185	и по	3	2
186	в человеческую	3	2
187	ее по	1	2
188	что все	1	2
189	об этом	2	2
190	было бы	3	2
191	из нее	2	2
192	нет в	1	2
193	рядом с	1	2
194	чем в	2	2
195	мир в	1	2
196	здесь все	1	2
197	для него	1	2
198	в своей	2	2
199	он должен	1	2
200	место в	1	2
201	не к	2	2
202	в отличие	3	2
203	в которых	4	2
204	но он	3	2
205	том же	4	2
206	тогда когда	4	2
207	дело в	1	2
208	никогда не	2	2
209	была сделана	1	2
210	к ней	2	2
211	в другую	1	2
212	и является	1	2
213	во всем	2	2
214	буквальном смысле	1	2
215	так называемый	1	2
216	все то	2	2
217	во все	1	2
218	оно не	1	2
219	здесь еще	1	2
220	и иные	1	2
221	можно только	1	2
222	ту же	1	2
223	и вообще	1	2
224	с ним	1	2
225	в глаза	2	2
226	а также	4	2
227	на основе	1	2
228	связь между	2	2
229	там где	2	2
230	того что	3	2
231	быть и	1	2
232	в стороне	2	2
233	иной характер	2	2
234	есть в	2	2
235	уже в	1	2
236	в данной	1	2
237	ни с	1	2
238	отношение к	1	2
239	к ним	1	2
240	отличие от	3	2
241	тем что	3	2
242	само собой	1	2
243	и даже	1	2
244	даже не	1	2
245	с другой	2	2
246	далеко не	4	2
247	в некоторых	9	2
248	одной стороны	2	2
249	в честь	3	2
250	другой день	2	2
251	в данном	6	2
252	к жизни	5	2
253	существу не	1	2
254	в течение	2	2
255	в это	1	2
256	здесь в	2	2
257	не является	1	2
258	одна из	11	2
259	для нас	6	2
260	у них	2	2
261	мы должны	1	2
262	ее в	8	2
263	или не	1	2
264	в дом	8	2
265	совершенно не	2	2
266	в свою	1	2
267	нет но	1	2
268	время не	1	2
269	в которой	2	2
270	и эта	1	2
271	с природой	1	1
272	женщины и	1	1
273	одним из	2	1
274	и через	3	1
275	и вызывает	1	1
276	он может	1	1
277	ответить что	1	1
278	и есть	1	1
279	в беседу	1	1
280	из самых	1	1
281	продолжает играть	1	1
282	объясняется и	1	1
283	и за	1	1
284	по его	1	1
285	или ее	3	1
286	мы имеем	6	1
287	и сущность	1	1
288	происходило в	1	1
289	из того	1	1
290	не совсем	2	1
291	в народных	1	1
292	в xix	3	1
293	он был	1	1
294	всю во	1	1
295	без которой	1	1
296	или до	1	1
297	их так	1	1
298	оно совершенно	1	1
299	данном случае	7	1
300	явлений и	1	1
301	дня в	1	1
302	большое значение	1	1
303	и поэтому	1	1
304	независимо от	1	1
305	народа в	1	1
306	что касается	1	1
307	перед нами	1	1
308	тех случаях	1	1
309	и наконец	1	1
310	по пути	1	1
311	в фольклоре	4	1
312	увидим что	1	1
313	сливается с	1	1
314	них о	1	1
315	животных и	1	1
316	та же	2	1
317	что это	3	1
318	себя к	1	1
319	или во	1	1
320	из этих	2	1
321	которые в	1	1
322	в этой	3	1
323	вообще момент	1	1
324	на то	1	1
325	не могла	1	1
326	к выводу	1	1
327	не следует	1	1
328	силу и	2	1
329	связанные с	2	1
330	о которой	1	1
331	различные формы	1	1
332	на третий	1	1
333	и свойства	1	1
334	домов и	1	1
335	но вместе	2	1
336	случай а	1	1
337	здесь мы	2	1
338	могла бы	1	1
339	указывали на	1	1
340	главным образом	3	1
341	есть одна	1	1
342	воскресения и	1	1
343	уже знаем	1	1
344	то увидим	1	1
345	по всему	1	1
346	литературе оно	1	1
347	должно быть	2	1
348	и тогда	1	1
349	в научной	1	1
350	в эту	3	1
351	во время	12	1
352	этом случае	6	1
353	и при	2	1
354	таким же	1	1
355	нас не	2	1
356	уже к	1	1
357	всяком случае	1	1
358	не столько	2	1
359	в первый	1	1
360	были известны	1	1
361	своего рода	1	1
362	на берег	2	1
363	должны были	2	1
364	как другие	1	1
365	и временем	1	1
366	же месте	1	1
367	и более	1	1
368	что этот	1	1
369	указывали что	1	1
370	возвращается к	1	1
371	и очень	1	1
372	из которых	2	1
373	эти дни	1	1
374	третий день	1	1
375	выходят из	1	1
376	этого же	1	1
377	в таких	3	1
378	она не	3	1
379	виду что	1	1
380	как о	1	1
381	дело не	2	1
382	связан и	1	1
383	как его	1	1
384	когда они	2	1
385	не вызывает	1	1
386	магический характер	1	1
387	из ряда	1	1
388	мужей и	1	1
389	находится в	1	1
390	следовательно и	1	1
391	до самой	1	1
392	на землю	3	1
393	и воскресения	2	1
394	того в	2	1
395	по своей	1	1
396	как таковых	1	1
397	на природу	2	1
398	и после	3	1
399	земле а	1	1
400	с которой	1	1
401	у нас	4	1
402	такие же	3	1
403	от их	1	1
404	форме это	1	1
405	в момент	2	1
406	одном ряду	1	1
407	и такие	1	1
408	как только	1	1
409	другом месте	1	1
410	для его	1	1
411	этот день	10	1
412	этом разнообразии	1	1
413	свою очередь	1	1
414	и сами	1	1
415	и этим	1	1
416	через три	1	1
417	так в	2	1
418	приводит к	1	1
419	и совершенно	1	1
420	в другом	1	1
421	с собой	1	1
422	не говорится	2	1
423	из всего	1	1
424	живет в	3	1
425	оно как	2	1
426	обрядов и	1	1
427	вокруг этого	2	1
428	этим в	1	1
429	они как	1	1
430	выводу что	1	1
431	образом в	2	1
432	и здесь	1	1
433	не был	2	1
434	в состав	2	1
435	то они	1	1
436	о том	9	1
437	или на	8	1
438	затем в	1	1
439	все в	2	1
440	из дому	1	1
441	различных и	1	1
442	места и	1	1
443	iii эта	1	1
444	от них	1	1
445	в ряд	2	1
446	живой человек	2	1
447	сюда же	2	1
448	по разным	1	1
449	также в	2	1
450	на всю	1	1
451	в ту	1	1
452	может иметь	1	1
453	в него	2	1
454	и мир	1	1
455	бросается в	2	1
456	которой и	1	1
457	год и	1	1
458	относятся и	1	1
459	и дело	2	1
460	тот же	1	1
461	на очень	1	1
462	что он	1	1
463	мы увидим	1	1
464	как нет	1	1
465	его жизнь	1	1
466	должен быть	2	1
467	очень много	1	1
468	их не	1	1
469	по этому	2	1
470	в эти	1	1
471	чаще всего	1	1
472	человека с	1	1
473	так что	4	1
474	с нею	1	1
475	в большинстве	1	1
476	случаях когда	1	1
477	вернуться к	1	1
478	за пределами	2	1
479	этот момент	1	1
480	время этого	1	1
481	от других	1	1
482	при первой	1	1
483	или даже	3	1
484	при помощи	1	1
485	из них	4	1
486	смерти и	2	1
487	но нет	1	1
488	и воскресение	1	1
489	могло бы	1	1
490	моментов в	2	1
491	или это	1	1
492	должны будем	1	1
493	на некоторые	1	1
494	ее на	2	1
495	которые как	1	1
496	и обратно	1	1
497	с другим	2	1
498	говорит о	2	1
499	месте и	1	1
500	притом не	1	1
501	то и	4	1
502	ей не	1	1
503	а на	9	1
504	а наоборот	3	1
505	не на	1	1
506	на весь	1	1
507	также с	1	1
508	о чем	4	1
509	этой игры	1	1
510	всякой связи	1	1
511	при начале	1	1
512	но есть	1	1
513	на которые	1	1
514	становится ясным	1	1
515	для этой	3	1
516	есть одно	1	1
517	ночь на	2	1
518	и вперед	1	1
519	здесь соответствует	1	1
