N	3gram	Vygotskiy__7	Otkroven
1	для того чтобы	18	3
2	и в этом	1	2
3	что у него	1	2
4	не может быть	4	2
5	не могут быть	1	2
6	но он еще	1	1
7	смысле этого слова	3	1
8	по сравнению с	7	1
9	потому что в	1	1
10	говорят о том	1	1
11	прежде всего в	2	1
12	том что в	2	1
13	друг к другу	1	1
14	самое главное и	1	1
15	того чтобы сделать	2	1
16	к ней не	1	1
17	в самом деле	4	1
18	человека не только	1	1
19	и не может	1	1
20	во всяком случае	1	1
21	сам по себе	1	1
22	потому что у	4	1
23	само по себе	1	1
24	после того как	1	1
25	о том что	4	1
26	в этом отношении	3	1
27	и там и	1	1
28	но и там	1	1
29	заключает в себе	1	1
30	в этот период	2	1
31	он еще не	1	1
32	в том что	13	1
33	на то что	4	1
34	и то что	3	1
35	друг с другом	2	1
36	в самом начале	3	1
37	вместо того чтобы	1	1
38	там и здесь	1	1
39	как и в	3	1
40	и вопрос о	1	1
