N	2gram	Potebnia_M_2	Hudozhes
1	том что	8	16
2	и в	24	14
3	так и	5	13
4	не только	15	12
5	при этом	13	12
6	о том	5	12
7	в том	18	12
8	а не	18	12
9	и т	6	11
10	в себе	10	11
11	в этом	8	11
12	прежде всего	7	11
13	для него	10	10
14	то же	12	9
15	как и	7	9
16	что он	4	9
17	у него	2	9
18	по отношению	2	8
19	как в	10	8
20	то что	20	8
21	т п	3	8
22	же время	2	8
23	ничего не	1	8
24	в его	2	8
25	между тем	6	8
26	в то	6	8
27	еще не	4	7
28	тогда как	10	7
29	это не	3	7
30	не в	13	7
31	к тому	1	7
32	быть может	7	7
33	уже не	4	7
34	именно в	1	7
35	не может	12	7
36	как бы	9	7
37	а в	8	7
38	в первой	1	6
39	человека в	3	6
40	в глазах	1	6
41	было бы	13	6
42	никогда не	4	6
43	что в	16	6
44	самом деле	2	5
45	с его	2	5
46	перед нами	1	5
47	но в	4	5
48	об этом	1	5
49	ни в	1	5
50	не менее	5	5
51	и его	2	5
52	потому что	49	5
53	к себе	1	5
54	во второй	1	5
55	только в	11	5
56	по мнению	1	5
57	друг друга	2	5
58	может быть	23	5
59	но и	9	5
60	в этих	3	5
61	жизни и	1	5
62	к другому	4	4
63	мы уже	1	4
64	и о	1	4
65	в ней	3	4
66	столь же	5	4
67	а только	8	4
68	в действительности	2	4
69	то в	1	4
70	в самом	4	4
71	на то	5	4
72	что она	3	4
73	он не	1	4
74	и с	1	4
75	тем не	6	4
76	тому что	2	4
77	с ним	5	4
78	по своей	1	4
79	связи с	6	4
80	и это	2	4
81	можно сказать	1	4
82	того что	7	4
83	т с	18	4
84	один из	2	4
85	и быть	1	4
86	из них	5	4
87	не было	6	4
88	и все	3	4
89	только что	3	4
90	и от	3	4
91	с точки	1	3
92	не имеют	2	3
93	видит в	1	3
94	и на	8	3
95	в ее	1	3
96	как к	1	3
97	все же	5	3
98	но он	2	3
99	в нем	9	3
100	т д	3	3
101	и по	2	3
102	на этом	2	3
103	лишь в	1	3
104	его в	3	3
105	с этим	7	3
106	в своих	1	3
107	ничем не	2	3
108	такой же	4	3
109	в ходе	1	3
110	все эти	2	3
111	тем что	7	3
112	что при	1	3
113	для себя	1	3
114	как мы	1	3
115	того чтобы	2	3
116	что у	2	3
117	том как	3	3
118	если бы	11	3
119	же в	5	3
120	но не	12	3
121	со стороны	3	3
122	превращается в	2	3
123	то и	9	3
124	в связи	2	3
125	и для	3	3
126	от него	4	3
127	или не	5	3
128	может и	1	3
129	в таком	4	3
130	я и	1	2
131	говоря о	3	2
132	например в	3	2
133	на самом	2	2
134	только потому	2	2
135	в их	1	2
136	той же	3	2
137	для своего	1	2
138	мы не	11	2
139	вопрос о	2	2
140	не была	1	2
141	к своему	1	2
142	но как	1	2
143	для других	1	2
144	если в	3	2
145	себе и	1	2
146	же мало	1	2
147	в одной	1	2
148	не согласиться	1	2
149	хотя и	3	2
150	в целом	3	2
151	так в	4	2
152	только на	1	2
153	как он	4	2
154	так сказать	4	2
155	не следует	1	2
156	по-видимому не	1	2
157	заключает в	4	2
158	значительной степени	1	2
159	же касается	1	2
160	в другом	2	2
161	приходит в	1	2
162	по себе	15	2
163	должно быть	2	2
164	в такой	1	2
165	наше внимание	1	2
166	состоит в	2	2
167	не столько	2	2
168	от себя	2	2
169	что я	1	2
170	сих пор	4	2
171	все это	2	2
172	для нее	2	2
173	они не	4	2
174	бы на	1	2
175	а а	2	2
176	и другое	4	2
177	не о	1	2
178	не имеет	6	2
179	одна из	4	2
180	на себе	1	2
181	слова как	1	2
182	глядя на	1	2
183	заметить что	6	2
184	на него	3	2
185	что на	3	2
186	представляется нам	5	2
187	про себя	1	2
188	не знаем	2	2
189	об одном	3	2
190	мысли о	4	2
191	здесь не	1	2
192	при котором	1	2
193	первой из	1	2
194	в себя	2	2
195	остановимся на	2	2
196	на вопрос	3	2
197	и поэтому	2	2
198	внимание на	2	2
199	никак не	1	2
200	и что	4	2
201	его жизни	1	2
202	до сих	4	2
203	деле в	1	2
204	как она	1	2
205	но с	1	2
206	с ними	3	2
207	и потому	2	2
208	с другим	1	2
209	и так	1	2
210	так что	10	2
211	характер ее	1	2
212	слова в	5	2
213	а и	5	2
214	мы знаем	2	2
215	а то	2	2
216	на том	1	2
217	на стороне	1	2
218	влияние на	4	2
219	а с	2	2
220	себя и	2	2
221	что не	5	2
222	за нею	1	2
223	эти слова	1	2
224	как кажется	4	2
225	в человеке	4	2
226	что же	1	2
227	о человеке	1	2
228	множественного числа	1	2
229	и не	19	2
230	с этой	1	2
231	только для	5	2
232	них это	1	2
233	о котором	2	2
234	легко заметить	1	2
235	это так	1	2
236	но еще	1	2
237	которая не	1	2
238	а между	4	1
239	ли мы	2	1
240	нас более	1	1
241	таком случае	2	1
242	человека и	3	1
243	и то	3	1
244	и др	1	1
245	тех же	1	1
246	словами и	1	1
247	к сказанному	1	1
248	нам кажется	4	1
249	и до	1	1
250	нем но	1	1
251	на две	2	1
252	представлял себе	1	1
253	видеть в	1	1
254	во-первых в	1	1
255	и за	1	1
256	его не	3	1
257	же следует	1	1
258	ли их	1	1
259	не во	2	1
260	подумать что	1	1
261	что уже	1	1
262	происходит это	1	1
263	есть нечто	3	1
264	но она	3	1
265	принадлежит к	1	1
266	хотя бы	2	1
267	лица множественного	1	1
268	не сразу	2	1
269	а теперь	1	1
270	же что	3	1
271	так а	1	1
272	на другом	2	1
273	а еще	1	1
274	на них	1	1
275	виде то	1	1
276	что его	3	1
277	в чем	7	1
278	без которого	1	1
279	совсем не	2	1
280	а тем	1	1
281	очевидно и	1	1
282	бы в	2	1
283	в сторону	1	1
284	сознания не	1	1
285	не все	2	1
286	ответ на	1	1
287	и чужой	1	1
288	в общем	2	1
289	душевных свойств	1	1
290	отношение к	1	1
291	иначе не	1	1
292	друг от	1	1
293	друга и	1	1
294	один и	1	1
295	следа и	1	1
296	относится к	3	1
297	его на	2	1
298	общего с	2	1
299	что именно	1	1
300	дает нам	1	1
301	стороны и	1	1
302	она как	1	1
303	что касается	1	1
304	однако не	1	1
305	еще больше	1	1
306	узнает что	1	1
307	и как	6	1
308	и какой	1	1
309	знаю что	1	1
310	не кажется	1	1
311	от этого	1	1
312	в этот	1	1
313	о самом	1	1
314	к чему	1	1
315	в которой	5	1
316	он в	1	1
317	бы не	5	1
318	из этих	4	1
319	вопрос что	1	1
320	мы привыкли	1	1
321	стороны то	1	1
322	и тот	2	1
323	только один	4	1
324	во многих	3	1
325	имеет для	3	1
326	но на	2	1
327	чувства а	3	1
328	например как	1	1
329	главным образом	4	1
330	сближения мы	1	1
331	последнее имеет	2	1
332	о которой	3	1
333	всех этих	2	1
334	он должен	1	1
335	же это	1	1
336	его самого	1	1
337	к одному	1	1
338	не как	3	1
339	почти то	1	1
340	с таким	3	1
341	том чтобы	1	1
342	наших глазах	1	1
343	на земле	1	1
344	чтобы в	1	1
345	его от	1	1
346	что ни	2	1
347	никому не	1	1
348	смысле как	2	1
349	что нельзя	1	1
350	в нее	4	1
351	всех или	1	1
352	например мы	2	1
353	какое оно	1	1
354	то ни	1	1
355	делать с	1	1
356	что все	2	1
357	тем в	1	1
358	том случае	1	1
359	а как	1	1
360	входит в	1	1
361	от понимания	2	1
362	может стать	2	1
363	этом смысле	2	1
364	хотя быть	1	1
365	и тем	3	1
366	этом мы	1	1
367	но мы	3	1
368	самые простые	1	1
369	далеко не	3	1
370	этого не	2	1
371	с тем	4	1
372	а за	1	1
373	в слове	13	1
374	и уже	5	1
375	до степени	1	1
376	между собою	7	1
377	в чистом	1	1
378	можно считать	1	1
379	любимого человека	1	1
380	и того	6	1
381	лучше всего	1	1
382	или менее	8	1
383	я этого	1	1
384	имеет ничего	1	1
385	другим и	3	1
386	здесь впервые	1	1
387	таким же	1	1
388	ли можно	1	1
389	и без	1	1
390	человеком и	1	1
391	исчезает из	1	1
392	место в	4	1
393	в отличие	1	1
394	в которых	1	1
395	мысли и	1	1
396	знаем что	1	1
397	не исчерпывается	1	1
398	сознаться что	1	1
399	в одном	6	1
400	не будем	1	1
401	в пространстве	2	1
402	друг другу	1	1
403	и более	1	1
404	их в	2	1
405	и наоборот	5	1
406	не должно	2	1
407	этом не	1	1
408	бы быть	3	1
409	во времени	2	1
410	вместе со	2	1
411	между прочим	4	1
412	сам он	1	1
413	всего его	1	1
414	например и	1	1
415	не сказали	2	1
416	раз и	1	1
417	вовсе не	9	1
418	между людьми	1	1
419	так как	10	1
420	человека есть	1	1
421	тем самым	4	1
422	природа не	1	1
423	извне и	1	1
424	самого начала	2	1
425	мысли в	3	1
426	дело в	1	1
427	а тогда	2	1
428	например что	2	1
429	не вызывает	1	1
430	и имеет	1	1
431	в самых	1	1
432	имеют не	1	1
433	само слово	1	1
434	появляется в	1	1
435	не могло	1	1
436	только не	1	1
437	каждый из	1	1
438	нельзя не	1	1
439	при отсутствии	1	1
440	и всегда	1	1
441	в самой	3	1
442	именно с	1	1
443	невозможно но	2	1
444	и весь	2	1
445	этих двух	1	1
446	определенности и	2	1
447	или как	1	1
448	всего на	1	1
449	в ком	1	1
450	наблюдения но	1	1
451	и чувства	2	1
452	о большем	2	1
453	правда мы	1	1
454	мы помним	1	1
455	положение при	1	1
456	ускользает из	1	1
457	не потому	1	1
458	только от	3	1
459	к отдельным	1	1
460	не могут	7	1
461	когда мы	2	1
462	могут быть	8	1
463	и вполне	1	1
464	становится возможным	1	1
465	что оно	4	1
466	как для	2	1
467	не противоречит	2	1
468	он видит	1	1
469	тот и	1	1
470	на это	1	1
471	ничего общего	1	1
472	из всего	1	1
473	не делает	1	1
474	это вполне	1	1
475	он вовсе	1	1
476	того времени	1	1
477	свою очередь	6	1
478	но при	1	1
479	же не	1	1
480	смысл но	1	1
481	с самого	2	1
482	простые и	1	1
483	различие между	1	1
484	так можно	1	1
485	можно заметить	3	1
486	на нее	1	1
487	и прочих	1	1
488	мог бы	3	1
489	во многом	1	1
490	с другою	1	1
491	вопрос этот	1	1
492	других и	1	1
493	легче чем	1	1
494	форма но	1	1
495	и внешней	1	1
496	находится в	3	1
497	другому в	1	1
498	или только	1	1
499	одного из	1	1
500	самому себе	1	1
501	требует для	1	1
502	все его	1	1
503	для нас	31	1
504	с другой	6	1
505	этим не	1	1
506	мы делаем	1	1
507	нас в	2	1
508	все в	1	1
509	во всех	7	1
510	и идти	1	1
511	соответствующий ему	1	1
512	переходит в	1	1
513	во втором	1	1
514	на одном	1	1
515	и только	6	1
516	в другой	1	1
517	с а	4	1
518	как вообще	2	1
519	но так	1	1
520	можно подумать	1	1
521	как например	3	1
522	тот же	5	1
523	состояние души	3	1
524	мы вместе	1	1
525	в какой	2	1
526	о другом	1	1
527	непосредственно из	1	1
528	в стороне	1	1
529	времени и	1	1
530	всяком случае	7	1
531	деле не	1	1
532	ему самому	1	1
533	между этими	1	1
534	их не	1	1
535	процессов в	1	1
536	с одной	4	1
537	именно на	1	1
538	человека с	1	1
539	есть своя	1	1
540	же и	1	1
541	есть в	2	1
542	более или	8	1
543	и у	3	1
544	уже в	5	1
545	и они	2	1
546	в жизни	2	1
547	отношений а	2	1
548	не дает	2	1
549	его и	1	1
550	но для	1	1
551	человека на	1	1
552	этот взгляд	2	1
553	ни с	2	1
554	одно из	3	1
555	характер но	1	1
556	представить себе	1	1
557	то следует	1	1
558	могло бы	1	1
559	и та	1	1
560	сами по	7	1
561	содержания а	1	1
562	в выборе	1	1
563	из нее	1	1
564	отличие от	1	1
565	есть именно	1	1
566	то а	1	1
567	следует признать	1	1
568	что они	5	1
569	рядом с	3	1
570	в особенности	1	1
571	мы ставим	1	1
572	какое в	1	1
573	не один	1	1
574	по своим	1	1
575	вслед за	3	1
576	человека а	1	1
577	всякого человека	1	1
578	начала есть	1	1
579	от основного	1	1
580	что для	3	1
581	можно назвать	2	1
582	к человеку	1	1
583	связано с	2	1
584	них и	1	1
585	одной стороны	3	1
586	не на	2	1
587	для человека	1	1
588	там где	4	1
589	что мы	11	1
590	с прежними	3	1
591	не видит	1	1
592	теперь он	1	1
593	не другое	2	1
594	как это	2	1
595	со словом	1	1
596	например когда	1	1
597	который видит	1	1
598	но все	2	1
599	теперь когда	1	1
600	в природе	5	1
601	своей души	1	1
602	если оно	1	1
603	следует помнить	2	1
604	он будет	1	1
605	мы считаем	1	1
606	она есть	2	1
607	когда же	1	1
608	быть только	2	1
609	слога на	1	1
610	в ряду	6	1
611	и другой	1	1
612	том смысле	4	1
613	быть не	3	1
614	внешнего мира	4	1
615	только о	1	1
616	было сказано	1	1
617	голоса и	1	1
618	но это	3	1
619	и слово	1	1
620	общие черты	2	1
621	от друга	1	1
622	известной степени	1	1
623	отношения между	2	1
624	при таком	1	1
625	формы и	1	1
626	имеют для	2	1
627	которого они	1	1
628	об этих	1	1
629	в данное	2	1
630	но когда	1	1
631	души в	2	1
632	не более	1	1
633	тем более	1	1
634	мы должны	2	1
635	всякий раз	1	1
636	слов и	1	1
637	как показывает	1	1
638	не я	1	1
639	изображает и	1	1
640	будто только	1	1
641	давно уже	1	1
642	к ее	1	1
643	нами не	2	1
644	и прямо	1	1
645	что была	1	1
646	был до	1	1
647	от своего	1	1
648	сказать что	2	1
649	на который	1	1
650	это на	1	1
651	в свою	6	1
652	него то	1	1
653	взгляда на	2	1
654	в последнем	1	1
655	время не	1	1
656	в трех	1	1
657	к другим	3	1
658	ни на	1	1
659	как слово	1	1
660	случае если	1	1
661	я могу	1	1
662	который не	1	1
663	во всяком	7	1
664	все что	3	1
665	этой точки	1	1
666	не имеющее	1	1
