N	2gram	Medvedev_S_1	Psycholo
1	то что	2	44
2	и в	3	33
3	в этом	5	28
4	и что	2	25
5	как бы	2	25
6	том что	2	22
7	может быть	2	22
8	что в	2	21
9	в том	5	21
10	о том	1	20
11	что он	1	20
12	и мы	2	15
13	что это	1	13
14	таким образом	2	13
15	и не	1	13
16	все это	7	13
17	было бы	2	12
18	все то	1	12
19	что все	1	11
20	что она	1	10
21	в его	3	10
22	не может	1	10
23	то же	2	9
24	в этой	1	9
25	по себе	1	9
26	в конце	2	8
27	как будто	2	8
28	для этого	1	8
29	не только	3	7
30	и только	3	7
31	для нас	3	7
32	в сущности	1	6
33	перед нами	1	6
34	все эти	1	6
35	тому что	1	6
36	когда мы	1	6
37	же самое	1	6
38	никак не	1	6
39	это не	1	6
40	у него	1	6
41	мы должны	1	6
42	это и	2	5
43	полагает что	1	5
44	мы не	1	5
45	в целом	1	5
46	все же	1	5
47	и как	1	5
48	как и	1	5
49	никогда не	1	5
50	и его	1	5
51	с ним	1	5
52	вовсе не	1	5
53	и есть	1	4
54	что автор	1	4
55	в своей	1	4
56	а в	1	4
57	и о	1	4
58	только в	2	4
59	в частности	2	4
60	но не	1	3
61	сама по	1	3
62	конце концов	2	3
63	его в	1	3
64	далеко не	2	3
65	в то	1	3
66	больше того	1	3
67	в мире	1	3
68	так и	1	3
69	том как	1	3
70	с одной	1	3
71	конечно не	1	3
72	в виде	1	3
73	всяком случае	1	3
74	тем что	1	3
75	но и	2	3
76	на этот	1	3
77	и затем	1	3
78	не было	1	3
79	одной стороны	1	3
80	он говорит	1	3
81	во всяком	1	3
82	что эти	1	2
83	литературы и	2	2
84	столь же	1	2
85	и наконец	1	2
86	не в	3	2
87	на все	1	2
88	в них	1	2
89	иначе говоря	1	2
90	в котором	1	2
91	место в	1	2
92	быть не	1	2
93	даже в	1	2
94	же время	1	2
95	как только	2	2
96	перейти к	1	2
97	ни одно	1	2
98	те же	1	2
99	ничего не	1	2
100	образом в	1	2
101	автор не	1	2
102	должно было	1	2
103	один из	1	2
104	связи с	1	2
105	даже не	1	2
106	с другой	1	2
107	именно в	1	2
108	а с	1	2
109	прежде всего	1	2
110	ни на	1	2
111	и потому	1	2
112	по существу	2	2
113	стоит только	1	2
114	в результате	2	2
115	хотя бы	1	2
116	мы переходим	1	2
117	и должны	1	1
118	тем же	1	1
119	написанную на	1	1
120	благодаря тому	1	1
121	еще не	2	1
122	но как	1	1
123	конечном счете	1	1
124	по отношению	2	1
125	очевидно что	2	1
126	и будет	1	1
127	за пределы	2	1
128	более чем	3	1
129	дает нам	1	1
130	вопросом о	1	1
131	но ведь	3	1
132	главным образом	2	1
133	новое и	1	1
134	на психологию	1	1
135	существу дела	1	1
136	правильно говорит	1	1
137	со своими	1	1
138	на первый	1	1
139	в этих	1	1
140	новеллы я	1	1
141	не от	1	1
142	и более	1	1
143	том и	1	1
144	и какие	1	1
145	мысли в	1	1
146	сущности есть	1	1
147	тогда и	1	1
148	но только	1	1
149	что на	1	1
150	вот в	1	1
151	конечно только	1	1
152	и заключается	2	1
153	бы он	1	1
154	мы думаем	1	1
155	они ни	1	1
156	только то	1	1
157	границы и	1	1
158	нужно было	2	1
159	даже больше	1	1
160	тех кто	1	1
161	может не	1	1
162	происходит не	1	1
163	в конечном	1	1
164	ровно ничего	1	1
165	истории литературы	10	1
166	между тем	1	1
167	именно на	1	1
168	не из	1	1
169	автор с	1	1
170	эти два	1	1
171	психологии и	1	1
172	не один	1	1
173	к которому	2	1
174	мы еще	1	1
175	и никак	1	1
176	переходим к	1	1
177	отношению к	2	1
178	это значит	1	1
179	только для	1	1
180	в чем	1	1
181	в смысле	2	1
182	это как	1	1
183	в связи	1	1
184	этого и	1	1
185	и самым	1	1
186	из себя	1	1
187	бы в	1	1
188	или не	1	1
189	из тех	1	1
190	все построение	1	1
191	в заключение	1	1
