1	и т п	6	11
2	с точки зрения	4	8
3	в связи с	3	7
4	для того чтобы	1	7
5	не только в	3	5
6	в то же	3	4
7	то же время	3	4
8	в том же	1	4
9	и т д	2	3
10	в том что	11	3
11	к вопросу о	1	3
12	но и в	2	3
13	и в этом	2	3
14	во всех этих	2	3
15	до сих пор	2	2
16	тем более что	2	2
17	то же самое	1	2
18	у него есть	2	2
19	мы имеем в	2	2
20	в этом отношении	4	2
21	прежде всего в	3	2
22	связи с этим	1	2
23	на протяжении всего	1	2
24	в данном отношении	1	1
25	форма в которой	1	1
26	тот или иной	1	1
27	то что в	1	1
28	том что он	1	1
29	в той или	1	1
30	там где они	1	1
31	все более и	2	1
32	даже там где	1	1
33	с самого начала	2	1
34	прежде всего необходимо	1	1
35	но в конце	1	1
36	в значительной мере	1	1
37	с одной стороны	2	1
38	во время чумы	2	1
39	на самом деле	1	1
40	самом деле может	1	1
41	в наибольшей степени	1	1
42	и в другом	1	1
43	все это было	1	1
44	в другом случае	1	1
45	в частности на	1	1
46	объясняется тем что	1	1
47	каждой из них	1	1
48	такие слова как	1	1
49	к тому что	2	1
50	в этом выражении	1	1
51	в одном из	1	1
52	и для самого	1	1
53	с этой точки	1	1
54	и так сказать	1	1
55	вместе с тем	1	1
56	то время как	4	1
57	не может не	1	1
58	но все же	2	1
59	о том что	4	1
60	не может быть	5	1
61	каждая из этих	1	1
62	и в результате	1	1
63	этой точки зрения	1	1
64	и у шекспира	1	1
65	прежде всего образ	1	1
66	свое место в	1	1
67	той или иной	1	1
68	можно сказать что	1	1
69	вовсе не является	1	1
70	в которой проявляется	1	1
71	в свою очередь	1	1
72	из этих форм	1	1
73	в то время	4	1
74	ни для кого	1	1
75	более и более	2	1
76	с тем что	3	1
77	с другой стороны	4	1
78	время чумы и	1	1
79	между тем как	2	1
80	в них как	1	1
81	в конце концов	3	1
82	важно подчеркнуть что	1	1
83	т п в	1	1
84	то есть с	1	1
85	как мы видели	1	1
