1	в то же время	5	9
2	но в то же	1	5
3	они уже не могут	1	2
4	начала и до конца	1	2
5	в целом ряде других	1	2
6	с начала и до	1	2
7	и в целом ряде	1	2
8	недопустимо сводить к нему	1	1
9	в большей или меньшей	2	1
10	в неразрывной связи с	1	1
11	заключается в том что	1	1
12	проявляется и в целом	1	1
13	у него в руках	1	1
14	большей или меньшей степени	2	1
15	в большинстве случаев в	1	1
16	и по отношению к	1	1
17	дело в том что	1	1
18	как мы уже говорили	3	1
19	него в руках и	1	1
20	можно прямо сказать что	2	1
