N	2gram	Bakhtin_Fr_3	Sotsiolo
1	все это	4	7
2	в том	8	5
3	в этом	15	5
4	метод в	1	4
5	и только	1	3
6	как же	1	3
7	не только	13	3
8	и в	40	3
9	но ведь	3	3
10	не в	1	3
11	в его	13	3
12	но и	11	2
13	было бы	4	2
14	в смысле	1	2
15	только в	3	2
16	дело не	3	2
17	далеко не	2	2
18	в результате	1	2
19	том что	4	2
20	в частности	3	2
21	как будто	1	2
22	то что	5	2
23	главным образом	1	2
24	и что	1	2
25	литературы и	1	2
26	еще не	3	2
27	ведь это	1	2
28	таким образом	10	2
29	это и	2	2
30	отношению к	2	2
31	в конце	3	2
32	что в	12	2
33	может быть	9	2
34	как бы	3	2
35	по отношению	3	2
36	то же	7	2
37	право на	1	1
38	вряд ли	1	1
39	наконец в	1	1
40	по себе	1	1
41	даже в	4	1
42	в мире	4	1
43	несколько упрощенно	1	1
44	в этой	3	1
45	тому что	1	1
46	отнюдь не	1	1
47	использовав для	1	1
48	на все	1	1
49	изучения и	1	1
50	от окружающих	1	1
51	с другой	2	1
52	его в	1	1
53	только для	3	1
54	с ним	1	1
55	это не	2	1
56	именно в	2	1
57	они ни	1	1
58	том именно	1	1
59	все же	2	1
60	один из	4	1
61	и есть	3	1
62	перед нами	1	1
63	в то	6	1
64	это наиболее	1	1
65	тем же	2	1
66	и наконец	3	1
67	еще и	2	1
68	только то	1	1
69	том как	1	1
70	тем что	3	1
71	и как	3	1
72	что он	2	1
73	прежде всего	16	1
74	бы он	1	1
75	произведение как	1	1
76	в них	9	1
77	так и	3	1
78	не было	5	1
79	те же	5	1
80	но только	1	1
81	и не	13	1
82	в любой	1	1
83	это вовсе	2	1
84	на тех	1	1
85	никогда не	1	1
86	мы не	2	1
87	это как	1	1
88	же время	6	1
89	ничего не	1	1
90	переходим к	1	1
91	мы еще	6	1
92	и о	4	1
93	связь между	3	1
94	все эти	8	1
95	целом все	1	1
96	как и	11	1
97	между собой	1	1
98	с помощью	2	1
99	для этого	3	1
100	в настоящее	1	1
101	этих вопросов	1	1
102	первый план	1	1
103	остается в	1	1
104	в таких	3	1
105	в сущности	9	1
106	пришлось бы	1	1
107	образом в	2	1
108	конечно не	2	1
109	в связи	5	1
110	на первый	1	1
111	и его	17	1
112	в этих	6	1
113	связи с	6	1
114	хотя бы	2	1
115	в целом	2	1
116	теперь он	2	1
117	не может	3	1
118	в своей	6	1
119	стиль в	1	1
120	а в	3	1
121	тех кто	1	1
122	должны служить	1	1
123	него и	2	1
124	реализма и	2	1
125	о том	4	1
126	входящие в	1	1
127	именно и	1	1
128	от догматизма	1	1
129	в области	4	1
130	и потому	4	1
131	настоящее время	1	1
132	в него	1	1
133	но именно	3	1
134	в котором	2	1
135	никак не	3	1
136	в строгом	1	1
137	между ними	3	1
138	и стиля	3	1
139	на что	1	1
140	представляется нам	2	1
141	все то	2	1
142	всяком случае	1	1
143	положительное и	1	1
144	не выходит	1	1
145	он говорит	6	1
146	что это	1	1
147	вовсе не	12	1
148	не исчерпываются	1	1
149	на отдельные	1	1
150	с одной	1	1
151	далеки от	2	1
152	в заключение	4	1
153	но не	2	1
154	у него	8	1
155	для изучения	1	1
156	правда он	1	1
157	в виде	1	1
158	очень далеки	2	1
159	в данном	4	1
160	между тем	3	1
161	но как	2	1
162	и по	1	1
163	что на	1	1
164	способен ни	1	1
165	и более	1	1
166	во всяком	1	1
167	они не	3	1
