N	3gram	Voloshinov_1	VrazhdaK
1	то же время	1	4
2	в то же	1	4
3	в русской литературе	1	3
4	с точки зрения	2	2
5	но в то	1	2
6	не может быть	7	2
7	в том что	4	2
8	а между тем	1	1
9	то что я	1	1
10	равно как и	1	1
11	в этом смысле	1	1
12	в том же	1	1
13	не было такой	1	1
14	до сих пор	3	1
15	и не может	3	1
16	в этом отношении	1	1
17	в литературе и	1	1
18	по крайней мере	1	1
19	может быть и	3	1
20	одно и то	2	1
21	так же как	1	1
22	к вопросу о	1	1
23	в высшей степени	1	1
24	и то же	2	1
25	и в этом	1	1
26	все же не	1	1
27	во всяком случае	1	1
28	с другой стороны	2	1
29	тем не менее	3	1
30	и уж конечно	1	1
31	в то время	1	1
32	в свою очередь	1	1
33	о том что	1	1
34	между тем это	1	1
35	они как бы	1	1
36	в каком направлении	1	1
