N	2gram	Medvedev_U_1	Istorich
1	и в	14	26
2	то что	7	16
3	не только	10	15
4	может быть	6	14
5	что в	1	14
6	же как	1	13
7	но и	4	12
8	так и	1	10
9	таким образом	2	10
10	что он	2	10
11	все же	3	9
12	что и	2	9
13	и не	8	9
14	то же	5	8
15	мы имеем	1	7
16	в этом	7	7
17	он не	1	7
18	об этом	1	7
19	как и	3	7
20	их в	1	7
21	в качестве	1	7
22	превращается в	2	7
23	и то	3	6
24	мы можем	1	6
25	могут быть	2	6
26	а не	10	6
27	не может	7	6
28	но не	2	5
29	но в	3	5
30	уже не	1	5
31	и только	5	5
32	и с	2	5
33	это не	3	5
34	не в	2	5
35	ничего не	2	5
36	и у	2	5
37	и что	1	5
38	в его	2	5
39	у него	1	5
40	тем что	2	5
41	до сих	2	5
42	и др	1	5
43	в некоторых	2	5
44	из которых	1	5
45	сих пор	2	5
46	к этому	1	5
47	в которых	1	4
48	его на	1	4
49	в этот	1	4
50	он в	1	4
51	но он	1	4
52	в своей	3	4
53	что этот	1	4
54	того как	1	4
55	о том	1	4
56	и даже	1	4
57	с другой	4	4
58	все что	1	4
59	другой стороны	3	4
60	и действительно	1	3
61	относится к	1	3
62	на то	1	3
63	на его	1	3
64	что она	2	3
65	связанные с	1	3
66	том что	2	3
67	она не	1	3
68	данном случае	1	3
69	это для	1	3
70	в том	2	3
71	только в	2	3
72	переходит в	1	3
73	о чем	2	3
74	что мы	2	3
75	в данном	1	3
76	по существу	2	3
77	этом случае	1	3
78	но это	2	3
79	же в	1	3
80	он может	1	2
81	должна быть	2	2
82	по его	1	2
83	а как	2	2
84	в этой	4	2
85	почему и	1	2
86	в своем	1	2
87	конечно не	4	2
88	еще один	1	2
89	в себе	2	2
90	имеем в	1	2
91	в нем	1	2
92	связанных с	1	2
93	или просто	1	2
94	хотя бы	5	2
95	было бы	3	2
96	этого не	1	2
97	с тем	1	2
98	все это	5	2
99	по себе	2	2
100	так много	1	2
101	в области	3	2
102	у нас	3	2
103	случайно и	1	2
104	не могут	2	2
105	не есть	2	2
106	формы и	2	2
107	никогда не	1	2
108	если бы	2	2
109	того что	1	2
110	это же	1	2
111	в виде	1	2
112	его и	2	2
113	вводится в	1	2
114	он становится	1	2
115	не случайно	2	2
116	даже и	2	2
117	в исторической	1	2
118	его как	1	2
119	в частности	3	2
120	он уже	1	2
121	смысле этого	2	2
122	в отдельности	1	2
123	же самое	2	2
124	но для	1	2
125	это уже	2	2
126	и все	1	2
127	сказать что	1	2
128	вряд ли	3	1
129	почти не	1	1
130	к созданию	1	1
131	той же	1	1
132	их и	2	1
133	мы не	2	1
134	содержания в	1	1
135	не вполне	1	1
136	но даже	2	1
137	затем он	1	1
138	в ней	1	1
139	меньшей степени	2	1
140	он был	1	1
141	что по	1	1
142	в широком	2	1
143	в различных	1	1
144	своей работе	1	1
145	к которой	1	1
146	не все	2	1
147	в наиболее	1	1
148	независимо от	1	1
149	достаточно ясно	1	1
150	чем к	1	1
151	на своем	1	1
152	есть ли	1	1
153	то и	1	1
154	ее как	1	1
155	не следует	3	1
156	всех этих	2	1
157	не как	3	1
158	широком смысле	1	1
159	почему она	1	1
160	а его	2	1
161	форму и	2	1
162	со своими	1	1
163	перестает быть	5	1
164	иначе говоря	1	1
165	как таковой	2	1
166	еще одно	1	1
167	или точнее	3	1
168	в котором	1	1
169	в чистое	1	1
170	встречается у	1	1
171	друг другу	1	1
172	что было	1	1
173	именно к	1	1
174	так он	1	1
175	в то	3	1
176	тогда когда	1	1
177	путь и	1	1
178	он пытается	1	1
179	находятся в	1	1
180	впрочем в	1	1
181	можно сказать	1	1
182	и является	2	1
183	наша задача	1	1
184	и делает	1	1
185	мы и	2	1
186	или иных	2	1
187	одним из	2	1
188	очень часто	1	1
189	если у	1	1
190	любопытно что	1	1
191	что при	1	1
192	правда не	1	1
193	и это	1	1
194	и служит	1	1
195	только при	1	1
196	идет не	1	1
197	в пределах	1	1
198	приводит к	1	1
199	является в	2	1
200	для этого	3	1
201	смысле и	1	1
202	все его	1	1
203	в виду	1	1
204	ясно он	1	1
205	слова а	1	1
206	о нем	1	1
207	вот почему	7	1
208	нас в	2	1
209	бы в	1	1
210	говорит он	1	1
211	тем более	1	1
212	оказывается чрезвычайно	1	1
213	что только	1	1
214	тот же	1	1
215	нам достаточно	1	1
216	и так	1	1
217	по мнению	1	1
218	только этот	1	1
219	более высокую	1	1
220	очевидно что	3	1
221	одно из	1	1
222	не для	1	1
223	как раз	2	1
224	не простой	1	1
225	или иначе	1	1
226	прежде всего	8	1
227	не было	1	1
228	у других	1	1
229	он и	1	1
230	не исключительно	1	1
231	этой же	1	1
232	или по	1	1
233	на эту	2	1
234	что же	1	1
235	и всей	1	1
236	образом на	1	1
237	случае он	1	1
238	много но	1	1
239	его еще	1	1
240	в большей	1	1
241	на одно	1	1
242	но если	1	1
243	гораздо больше	1	1
244	недаром и	1	1
245	это в	1	1
246	только как	1	1
247	самое что	1	1
248	часто встречается	1	1
249	как на	1	1
