N	2gram	Tiupa_Anal_1	Tvorches
1	и в	18	21
2	как бы	5	17
3	в то	9	15
4	то же	9	13
5	в его	13	13
6	времени в	1	13
7	же время	6	12
8	как и	13	12
9	то есть	11	12
10	что в	5	12
11	с его	3	11
12	том что	12	11
13	в романе	1	10
14	как в	1	8
15	он не	3	8
16	то что	6	8
17	при этом	12	7
18	тем самым	7	7
19	у него	1	7
20	и не	21	7
21	в том	27	7
22	что достоевский	1	7
23	и на	5	7
24	в году	1	7
25	но в	8	7
26	не только	15	7
27	в свою	1	7
28	по природе	3	6
29	о том	5	6
30	не менее	1	6
31	и все	3	6
32	а в	9	6
33	он сам	1	6
34	жизни в	1	6
35	для него	2	6
36	в этом	13	6
37	в котором	3	6
38	и его	5	6
39	что он	3	6
40	все же	4	5
41	таким образом	3	5
42	как будто	3	5
43	вовсе не	2	5
44	хотя бы	3	5
45	а не	17	5
46	потому что	2	5
47	отнюдь не	15	5
48	в этой	5	5
49	только в	6	5
50	в своих	1	5
51	может быть	29	5
52	но это	1	5
53	одним из	3	4
54	в целом	5	4
55	прежде всего	6	4
56	самим собой	2	4
57	та же	1	4
58	в своей	6	4
59	не имеют	1	4
60	это не	6	4
61	времени и	6	4
62	человека и	1	4
63	конечном счете	4	4
64	своего рода	3	4
65	и от	1	4
66	один из	2	4
67	в мире	8	4
68	и как	5	4
69	не случайно	3	4
70	в конечном	4	4
71	не может	22	4
72	в которой	2	3
73	на его	2	3
74	и с	2	3
75	во времени	4	3
76	место в	3	3
77	жизни и	1	3
78	говорит о	1	3
79	это как	2	3
80	просто не	1	3
81	в виде	1	3
82	я и	6	3
83	с ним	4	3
84	в нем	3	3
85	даже в	3	3
86	что все	1	3
87	не так	1	3
88	в их	5	3
89	утверждал что	1	3
90	но не	10	3
91	в рассказе	1	3
92	для человека	1	3
93	того что	4	3
94	и т	3	3
95	на самом	2	3
96	но и	17	3
97	и даже	1	3
98	хотя и	1	3
99	человека но	1	3
100	соответствии с	2	3
101	дело не	3	3
102	ее в	1	3
103	подхода к	3	3
104	представляет собой	16	3
105	первой части	1	3
106	той же	2	3
107	уже не	4	3
108	который в	2	3
109	в самом	6	3
110	воли и	1	3
111	далеко не	6	3
112	с другой	4	3
113	к человеку	1	3
114	никогда не	2	3
115	я не	1	3
116	и по	2	3
117	в ту	1	3
118	так как	2	3
119	в соответствии	1	3
120	ни на	1	3
121	не означает	1	2
122	может не	1	2
123	и отношений	1	2
124	в себе	11	2
125	как единый	1	2
126	в в	1	2
127	не знает	1	2
128	и того	5	2
129	и наконец	1	2
130	данном случае	2	2
131	в него	1	2
132	можно сказать	2	2
133	вместе с	4	2
134	его как	1	2
135	из себя	1	2
136	о котором	1	2
137	в литературе	4	2
138	в двух	2	2
139	вслед за	1	2
140	на том	1	2
141	жизни с	1	2
142	не будет	3	2
143	что как	3	2
144	т п	3	2
145	личности в	3	2
146	крайней мере	1	2
147	ведет к	3	2
148	самое время	2	2
149	себя но	1	2
150	где он	1	2
151	не в	14	2
152	личности и	1	2
153	других людей	2	2
154	так что	1	2
155	если в	3	2
156	тот же	1	2
157	то в	2	2
158	но он	1	2
159	влияние на	1	2
160	мы находим	1	2
161	говорит об	1	2
162	людей в	1	2
163	есть не	8	2
164	человека как	1	2
165	свидетельствует о	2	2
166	в себя	6	2
167	а затем	1	2
168	к тому	7	2
169	такой же	2	2
170	в этих	1	2
171	иными словами	1	2
172	в отличие	6	2
173	а как	2	2
174	между людьми	1	2
175	отличие от	6	2
176	в качестве	31	2
177	что не	3	2
178	или в	1	2
179	от людей	1	2
180	в чем	1	2
181	второй части	1	2
