N	2gram	Medvedev_U_1	Istorich
1	и в	14	22
2	мы имеем	1	19
3	в этом	7	17
4	что в	1	15
5	не только	10	14
6	но и	4	12
7	и не	8	12
8	может быть	6	11
9	но в	3	10
10	таким образом	2	10
11	в нем	1	9
12	что и	2	9
13	в том	2	9
14	что он	2	9
15	том что	2	8
16	но не	2	7
17	то что	7	7
18	уже не	1	7
19	с другой	4	7
20	другой стороны	3	7
21	к этому	1	7
22	то же	5	6
23	не вполне	1	6
24	не все	2	6
25	это не	3	6
26	ничего не	2	6
27	если бы	2	6
28	то и	1	6
29	мы можем	1	6
30	а не	10	6
31	в течение	1	6
32	все же	3	5
33	он не	1	5
34	что она	2	5
35	в этой	4	5
36	могут быть	2	5
37	того что	1	5
38	до сих	2	5
39	в некоторых	2	5
40	в частности	3	5
41	или по	1	5
42	этом случае	1	5
43	сих пор	2	5
44	одним из	2	4
45	не в	2	4
46	имеем в	1	4
47	и с	2	4
48	у нас	3	4
49	но он	1	4
50	тем что	2	4
51	она не	1	4
52	в пределах	1	4
53	только в	2	4
54	его и	2	4
55	в данном	1	4
56	не может	7	4
57	их и	2	3
58	имеет свою	1	3
59	на его	1	3
60	их в	1	3
61	было бы	3	3
62	далеко не	1	3
63	как и	3	3
64	никогда не	1	3
65	почему в	1	3
66	очень часто	1	3
67	он и	1	3
68	о том	1	3
69	но по	1	3
70	данном случае	1	3
71	в его	2	3
72	и у	2	3
73	прежде всего	8	3
74	у него	1	3
75	превращается в	2	3
76	но это	2	3
77	и все	1	3
78	сказать что	1	3
79	равно как	1	3
80	ее в	1	3
81	все что	1	3
82	и то	3	2
83	в котором	1	2
84	той же	1	2
85	часто бывает	1	2
86	же как	1	2
87	в ней	1	2
88	но конечно	2	2
89	в сторону	2	2
90	в качестве	1	2
91	независимо от	1	2
92	его на	1	2
93	в своем	1	2
94	что по	1	2
95	есть ли	1	2
96	в этот	1	2
97	они в	1	2
98	всех этих	2	2
99	в виде	1	2
100	что еще	1	2
101	так и	1	2
102	же не	2	2
103	с тем	1	2
104	со своими	1	2
105	и для	2	2
106	как таковой	2	2
107	в которых	1	2
108	несомненно что	1	2
109	друг другу	1	2
110	что было	1	2
111	в то	3	2
112	относится к	1	2
113	вот почему	7	2
114	и это	1	2
115	связанных с	1	2
116	и что	1	2
117	между тем	2	2
118	же в	1	2
119	и действительно	1	2
120	и так	1	2
121	с одной	1	2
122	и даже	1	2
123	даже не	1	2
124	сюда же	1	2
125	и др	1	2
126	не было	1	2
127	и возвращается	1	2
128	одной стороны	1	2
129	и потому	1	2
130	можно сказать	1	2
131	если не	2	2
132	героя не	1	2
133	часто встречается	1	2
134	и через	2	1
135	самом деле	2	1
136	целого но	1	1
137	мы не	2	1
138	человека и	1	1
139	один пример	1	1
140	быть в	1	1
141	в различных	1	1
142	где же	1	1
143	не то	1	1
144	к которой	1	1
145	в буквальном	2	1
146	нет и	1	1
147	к сожалению	3	1
148	отнюдь не	1	1
149	более чем	2	1
150	уже знакомый	1	1
151	изучение этого	1	1
152	он в	1	1
153	как основной	1	1
154	бы только	1	1
155	на то	1	1
156	этот процесс	1	1
157	но прежде	1	1
158	не следует	3	1
159	ли для	1	1
160	должна быть	2	1
161	перестает быть	5	1
162	в первую	1	1
163	весь и	1	1
164	не как	3	1
165	об этом	1	1
166	а как	2	1
167	входит в	1	1
168	и вне	1	1
169	знакомая нам	2	1
170	но если	1	1
171	в своей	3	1
172	что такое	4	1
173	художественного творчества	5	1
174	она в	1	1
175	не самый	1	1
176	что этот	1	1
177	по себе	2	1
178	знакомый нам	1	1
179	того как	1	1
180	у кого	1	1
181	было у	1	1
182	как труп	2	1
183	больше чем	1	1
184	это то	1	1
185	находятся в	1	1
186	впрочем в	1	1
187	не ставит	1	1
188	буквальном смысле	1	1
189	так то	1	1
190	мы и	2	1
191	всего что	1	1
192	не есть	2	1
193	что при	1	1
194	наталкиваемся на	1	1
195	нас до	1	1
196	происходит уже	1	1
197	столько же	1	1
198	отсюда и	1	1
199	была у	1	1
200	в исторической	1	1
201	является в	2	1
202	и всякого	1	1
203	для этого	3	1
204	смысле и	1	1
205	впрочем для	1	1
206	в порядке	1	1
207	с момента	1	1
208	толстой в	1	1
209	материал не	2	1
210	и только	5	1
211	но тут	1	1
212	которой и	1	1
213	которых она	1	1
214	тот же	1	1
215	хотя бы	5	1
216	так всегда	1	1
217	неудивительно что	2	1
218	имеются не	1	1
219	материал как	2	1
220	конечно не	4	1
221	не входит	1	1
222	или даже	1	1
223	или просто	1	1
224	обычно просто	1	1
225	одно из	1	1
226	бы это	1	1
227	или иначе	1	1
228	нас в	2	1
229	и прежде	1	1
230	и быть	1	1
231	с другом	1	1
232	только к	3	1
233	о чем	2	1
234	на эту	2	1
235	что мы	2	1
236	но такое	1	1
237	так или	1	1
238	смысле этого	2	1
239	дело конечно	2	1
240	и всей	1	1
241	в отдельности	1	1
242	образом на	1	1
243	друг с	1	1
244	форма в	1	1
245	это значит	1	1
246	что же	1	1
247	только для	1	1
248	все это	5	1
249	но для	1	1
250	она должна	1	1
251	это уже	2	1
252	так он	1	1
253	при таком	2	1
254	не существует	1	1
255	на большую	1	1
256	все они	2	1
257	они находятся	1	1
258	состоит из	1	1
259	материалов и	1	1
260	на своем	1	1
261	и эта	1	1
262	это в	1	1
263	как на	1	1
264	в таком	1	1
