N	4gram	Vygotskiy__5	Stilisti
1	одно и то же	1	4
2	мы имели в виду	1	2
3	одни и те же	1	2
4	не что иное как	1	2
5	то же самое время	1	2
6	одной и той же	1	2
7	в тех случаях когда	1	2
8	есть не что иное	1	2
9	в то же самое	1	2
10	одного и того же	3	1
11	в собственном смысле слова	1	1
12	одному и тому же	2	1
13	это происходит потому что	1	1
14	не может быть понято	1	1
15	и является одной из	1	1
16	но при этом она	1	1
17	но вместе с тем	1	1
18	которой не может быть	1	1
19	к одному и тому	2	1
20	того что оно является	1	1
21	в той же мере	1	1
