N	3gram	Berdyaev_O_1	Analitik
1	в том что	1	7
2	так и не	1	5
3	о том что	1	5
4	как и в	1	4
5	в этом отношении	1	3
6	во всяком случае	1	2
7	и прежде всего	1	2
8	в этом мире	2	1
9	хотя и не	1	1
10	а в его	1	1
11	одно из самых	1	1
12	в самом деле	1	1
13	может быть осуществлено	1	1
14	ни у кого	2	1
15	сказать что они	2	1
16	сам по себе	1	1
17	в самом начале	1	1
18	нигде и никогда	1	1
19	не могут быть	2	1
20	по природе своей	1	1
21	не в том	1	1
22	как бы в	1	1
23	для того чтобы	3	1
24	и все же	1	1
25	не может быть	2	1
26	и вот о	1	1
27	само по себе	1	1
28	тем что у	1	1
29	отличается в этом	1	1
30	в каждом из	1	1
31	все это было	1	1
32	как бы и	1	1
