N	2gram	Bakhtin_fo_1	RusskieA
1	и в	50	29
2	том что	4	22
3	в том	9	22
4	что в	5	22
5	как бы	2	18
6	в других	9	15
7	и другие	5	14
8	так как	6	13
9	может быть	11	13
10	во время	1	12
11	в этом	25	11
12	как и	8	11
13	одна из	2	11
14	в этот	2	10
15	не только	9	10
16	и с	4	10
17	все это	4	10
18	этот день	1	10
19	а на	1	9
20	о том	1	9
21	в некоторых	2	9
22	а в	3	9
23	его в	3	8
24	или на	1	8
25	но и	8	8
26	в дом	2	8
27	ее в	2	8
28	как в	6	7
29	данном случае	1	7
30	или в	3	7
31	мы имеем	1	6
32	мы не	3	6
33	еще не	5	6
34	и на	8	6
35	при этом	3	6
36	таким образом	11	6
37	того чтобы	5	6
38	для нас	2	6
39	для того	5	6
40	с тем	3	6
41	вместе с	3	6
42	в данном	2	6
43	этом случае	1	6
44	же в	3	6
45	и т	8	5
46	но не	5	5
47	но в	10	5
48	это не	6	5
49	не может	6	5
50	потому что	4	5
51	к жизни	2	5
52	то что	6	5
53	с ней	1	5
54	к этому	3	5
55	же как	2	4
56	то же	11	4
57	вопрос о	2	4
58	на них	2	4
59	в фольклоре	1	4
60	уже не	2	4
61	их в	3	4
62	том же	2	4
63	в них	4	4
64	далеко не	2	4
65	в которых	2	4
66	не в	5	4
67	тогда когда	2	4
68	у нас	1	4
69	а также	2	4
70	так что	1	4
71	то и	1	4
72	из них	1	4
73	именно в	3	4
74	а не	3	4
75	о чем	1	4
76	так же	6	4
77	по существу	12	4
78	и все	6	4
79	в таком	3	4
80	и через	1	3
81	или ее	1	3
82	в xix	1	3
83	в ее	6	3
84	что это	1	3
85	все эти	9	3
86	в этой	1	3
87	главным образом	1	3
88	по всем	2	3
89	и по	2	3
90	в человеческую	2	3
91	и других	3	3
92	с другими	3	3
93	живет в	1	3
94	на первый	1	3
95	в эту	1	3
96	в этих	3	3
97	в котором	4	3
98	в отличие	2	3
99	но он	2	3
100	она не	1	3
101	в таких	1	3
102	не имеет	4	3
103	на землю	1	3
104	и после	1	3
105	такие же	1	3
106	как мы	14	3
107	во всех	6	3
108	того что	2	3
109	в качестве	3	3
110	или даже	1	3
111	друг друга	3	3
112	отличие от	2	3
113	связаны с	3	3
114	тем что	2	3
115	а наоборот	1	3
116	до конца	4	3
117	для этой	1	3
118	в честь	2	3
119	и от	1	3
120	было бы	2	3
121	одним из	1	2
122	и то	4	2
123	тем и	1	2
124	в стороне	2	2
125	но она	2	2
126	на себя	2	2
127	не совсем	1	2
128	это время	7	2
129	между собой	4	2
130	не говорится	1	2
131	не был	1	2
132	природы и	2	2
133	с одной	3	2
134	ночь на	1	2
135	другой день	2	2
136	с этим	6	2
137	все же	6	2
138	и как	10	2
139	не было	7	2
140	та же	1	2
141	в которой	2	2
142	из этих	1	2
143	как оно	2	2
144	чтобы они	4	2
145	не к	2	2
146	характер в	2	2
147	но вместе	1	2
148	в образе	5	2
149	здесь мы	1	2
150	связанные с	1	2
151	об этом	2	2
152	для них	3	2
153	из нее	2	2
154	должно быть	1	2
155	и еще	2	2
156	так в	1	2
157	в своей	2	2
158	нас не	1	2
159	в их	6	2
160	не столько	1	2
161	на берег	1	2
162	должны были	1	2
163	силу и	1	2
164	в то	9	2
165	дело не	1	2
166	когда они	1	2
167	никогда не	2	2
168	и воскресения	1	2
169	того в	1	2
170	к ней	2	2
171	на природу	1	2
172	во всем	2	2
173	связи с	6	2
174	кроме того	4	2
175	в момент	1	2
176	все то	2	2
177	начиная с	1	2
178	когда мы	1	2
179	в состав	1	2
180	говорит о	1	2
181	должен быть	1	2
182	в виду	3	2
183	на другой	2	2
184	за пределами	1	2
185	то время	4	2
186	оно как	1	2
187	вокруг этого	1	2
188	жизнь и	4	2
189	образом в	1	2
190	с другим	1	2
191	в глаза	2	2
192	влияние на	4	2
193	с другой	2	2
194	все в	1	2
195	связь между	2	2
196	у них	2	2
197	в ряд	1	2
198	живой человек	1	2
199	что и	3	2
200	в форме	3	2
201	также в	1	2
202	в него	1	2
203	бросается в	1	2
204	один из	3	2
205	совсем не	2	2
206	и дело	1	2
207	этот вопрос	1	2
208	и ее	3	2
209	по этому	1	2
210	иной характер	2	2
211	есть в	2	2
212	одно из	3	2
213	моментов в	1	2
214	ее на	1	2
215	смерти и	1	2
216	чем в	2	2
217	сюда же	1	2
218	здесь в	2	2
219	прежде всего	15	2
220	одной стороны	2	2
221	там где	2	2
222	совершенно не	2	2
223	и начинают	1	2
224	из которых	1	2
225	в течение	2	2
226	могут быть	5	2
227	быть только	3	2
228	этом и	1	2
229	и для	4	2
230	жизни в	8	2
231	и при	1	2
232	в своих	1	2
233	с природой	1	1
234	ту же	2	1
235	отношение к	2	1
236	человека и	11	1
237	ответить что	1	1
238	к этой	1	1
239	и есть	1	1
