N	2gram	Tiupa_Narr_1	Istorich
1	в сказке	1	47
2	и в	19	26
3	так же	2	18
4	то что	11	16
5	не только	32	15
6	что в	3	14
7	может быть	25	14
8	же как	3	13
9	связь с	1	12
10	но и	23	12
11	между двумя	5	12
12	и пр	1	11
13	так и	9	10
14	таким образом	1	10
15	и его	5	10
16	что он	6	10
17	и не	20	9
18	все же	7	9
19	его в	2	9
20	что и	1	9
21	а в	11	8
22	то же	4	8
23	как и	7	7
24	в качестве	21	7
25	об этом	1	7
26	в этом	17	7
27	мы имеем	2	7
28	героя в	8	7
29	он не	3	7
30	их в	1	7
31	как в	7	7
32	еще не	7	6
33	не всегда	2	6
34	что они	3	6
35	не может	10	6
36	в иной	2	6
37	потому что	1	6
38	мы видели	1	6
39	и то	1	6
40	могут быть	3	6
41	когда он	3	6
42	мы можем	1	6
43	к нему	5	6
44	а не	12	6
45	таким же	1	6
46	и здесь	1	5
47	и с	4	5
48	в другом	1	5
49	сих пор	1	5
50	не в	14	5
51	до сих	1	5
52	ничего не	2	5
53	но все	4	5
54	но не	5	5
55	и только	2	5
56	это не	2	5
57	но в	6	5
58	это и	3	5
59	в силу	4	5
60	тем что	3	5
61	с ними	1	5
62	и др	2	5
63	мы уже	1	5
64	в его	9	5
65	у него	4	5
66	уже не	5	5
67	и у	1	5
68	точно так	2	5
69	из которых	4	5
70	и как	5	5
71	и по	1	5
72	как мы	3	5
73	вовсе не	1	4
74	тогда как	12	4
75	о том	6	4
76	но он	1	4
77	другой стороны	4	4
78	а по	2	4
79	здесь не	4	4
80	с появлением	1	4
81	даже в	2	4
82	в тех	1	4
83	дает нам	1	4
84	а на	1	4
85	и даже	3	4
86	что этот	1	4
87	в античности	1	4
88	с другой	8	4
89	представляют собой	2	4
90	в которых	1	4
91	на себя	3	4
92	все эти	2	3
93	на его	1	3
94	для нас	1	3
95	данном случае	4	3
96	из этих	3	3
97	же в	4	3
98	связи с	4	3
99	случаях когда	1	3
100	что у	2	3
101	на земле	1	3
102	иное как	2	3
103	как это	6	3
104	человека с	1	3
105	не сразу	1	3
106	наряду с	2	3
107	или же	1	3
108	те же	4	3
109	не мог	4	3
110	а именно	3	3
