N	2gram	Vinokur_Ku_1	VerxiiNi
1	и в	24	26
2	таким образом	12	22
3	с тем	5	18
4	в этом	14	15
5	русской культуры	1	15
6	вместе с	7	15
7	точки зрения	14	13
8	как бы	7	12
9	в том	30	11
10	из этих	4	10
11	не только	10	10
12	и с	5	10
13	может быть	13	10
14	после смерти	1	10
15	связи с	7	9
16	в области	7	9
17	так как	9	9
18	но и	6	9
19	что в	17	9
20	но не	5	8
21	в общем	3	8
22	главным образом	1	8
23	в индии	1	8
24	и у	1	8
25	с другой	7	8
26	и не	12	8
27	как на	3	8
28	но в	2	7
29	связанные с	1	7
30	но все	2	7
31	из них	4	7
32	том что	21	7
33	потому что	23	7
34	с одной	1	7
35	то что	9	7
36	а с	3	7
37	одной стороны	1	7
38	того же	4	6
39	представление о	3	6
40	все же	12	6
41	все эти	6	6
42	в себе	3	6
43	всяком случае	5	6
44	с точки	9	6
45	к тому	5	6
46	так и	7	6
47	о том	9	6
48	в конце	1	6
49	что и	4	6
50	несмотря на	3	6
51	и потому	4	6
52	все это	6	6
53	во всяком	5	6
54	отношение к	1	5
55	сих пор	4	5
56	тем чтобы	1	5
57	тому же	1	5
58	в силу	10	5
59	лишь в	2	5
60	или менее	3	5
61	по крайней	5	5
62	не имеет	2	5
63	того чтобы	17	5
64	никогда не	2	5
65	для того	16	5
66	образом в	1	5
67	в его	12	5
68	крайней мере	5	5
69	до сих	4	5
70	а не	8	5
71	к жизни	2	5
72	и для	2	5
73	так же	4	5
74	более или	3	5
75	в котором	3	4
76	то же	8	4
77	целый ряд	5	4
78	в самом	10	4
79	учение о	4	4
80	в этой	3	4
81	и по	1	4
82	что все	2	4
83	он не	2	4
84	далеко не	1	4
85	и тогда	4	4
86	в которых	6	4
87	в то	2	4
88	в нем	4	4
89	а в	5	4
90	что оно	3	4
91	и что	5	4
92	и только	1	4
93	только в	11	4
94	и вместе	1	4
95	на этот	2	4
96	ничем не	1	4
97	не может	7	4
98	в смысле	2	4
99	и от	1	4
100	в этих	4	4
101	что он	6	4
102	же как	1	3
103	так называемые	3	3
104	если в	2	3
105	к сожалению	1	3
106	в своем	3	3
107	когда он	3	3
108	и как	2	3
109	в которой	6	3
110	что это	5	3
111	так или	2	3
112	и те	1	3
113	духовной культуры	2	3
114	и если	3	3
115	при этом	6	3
116	подойти к	2	3
117	и при	2	3
118	оказывается что	1	3
119	тем не	4	3
120	если бы	9	3
121	не менее	7	3
122	как о	2	3
123	течением времени	1	3
124	в других	1	3
125	с течением	1	3
126	ясно что	3	3
127	можно сказать	3	3
128	того что	9	3
129	но с	2	3
130	хотя бы	10	3
131	в качестве	7	3
132	так что	4	3
133	уже не	8	3
134	что эти	4	3
135	связывается с	1	3
136	для него	1	3
137	в одном	3	3
138	к ним	1	3
139	и даже	3	3
140	или иначе	2	3
141	в связи	3	3
142	в рамках	4	3
143	с этой	2	3
144	и таким	1	3
145	в результате	5	3
146	отношению к	9	3
147	к этому	1	3
148	в таком	3	3
149	точно так	1	3
150	одним из	2	2
151	связана с	1	2
152	и больше	1	2
153	всегда на	1	2
154	его не	1	2
155	мы имеем	6	2
156	жизни по	1	2
157	так чтобы	1	2
158	еще не	5	2
159	и на	4	2
160	с его	4	2
161	во всех	1	2
162	в новом	1	2
163	отличаются от	1	2
164	относится к	2	2
165	общего с	1	2
166	что именно	1	2
167	ни один	1	2
168	на то	4	2
169	из этой	1	2
170	из него	1	2
171	состоит в	3	2
172	связан с	1	2
173	то ни	1	2
174	них не	1	2
175	на все	1	2
176	образом если	2	2
177	в них	7	2
178	к которым	1	2
179	не всегда	2	2
180	мы видели	1	2
181	нужно чтобы	1	2
182	но если	2	2
183	и сейчас	1	2
184	взгляд на	1	2
185	которые в	1	2
186	не в	11	2
187	в россии	1	2
188	иной раз	2	2
189	тогда когда	6	2
190	не могло	1	2
191	только не	1	2
192	в разных	2	2
193	в самой	4	2
194	же время	2	2
195	с одним	1	2
196	в русском	4	2
197	и является	4	2
198	и после	1	2
199	так например	2	2
200	этом отношении	5	2
201	ли это	2	2
202	не потому	5	2
203	и здесь	3	2
204	не могут	2	2
205	выход из	1	2
206	той или	1	2
207	ничего общего	1	2
208	всегда останется	1	2
209	и сами	2	2
210	не с	3	2
211	так называемую	1	2
212	связанных с	1	2
213	можно только	1	2
214	по сравнению	1	2
215	для этого	3	2
216	в виду	5	2
217	а также	1	2
218	должно было	1	2
219	между тем	5	2
220	у всех	1	2
221	один из	4	2
222	тот же	2	2
223	положение в	1	2
224	очень много	2	2
225	этот факт	1	2
226	конечно не	2	2
227	уже в	3	2
228	в начале	1	2
229	свидетельствует о	2	2
230	одно из	2	2
231	мы можем	1	2
232	из своих	1	2
233	или иной	3	2
234	именно в	6	2
235	по своим	2	2
236	к которому	3	2
237	прежде всего	9	2
238	связано с	3	2
239	превращается в	2	2
240	не было	3	2
241	перед которой	1	2
242	и все	2	2
243	так называемой	2	2
244	в одно	1	2
245	если не	3	2
246	и иной	1	2
247	по своему	1	2
248	духовного развития	1	2
249	по существу	4	2
250	что мы	1	2
251	только для	1	2
252	поэтому что	2	2
253	том виде	1	2
254	о котором	2	2
255	только что	1	2
256	в свою	3	2
257	в процессе	1	2
258	сказать что	1	2
259	к его	1	2
260	на юге	1	2
261	жизни и	1	2
262	все что	1	2
263	этой точки	2	2
264	вряд ли	1	1
265	можно говорить	2	1
266	речь идет	2	1
267	в сфере	1	1
268	языка с	1	1
269	к их	1	1
270	самом этом	1	1
271	языку и	1	1
272	смысле слова	1	1
273	самом деле	9	1
274	или к	1	1
275	это и	4	1
276	но тем	1	1
277	мере в	6	1
278	в среду	1	1
279	и есть	2	1
280	что когда	1	1
281	в первом	3	1
282	явления и	1	1
283	имена с	1	1
284	все те	2	1
285	и развитие	1	1
286	и этот	1	1
287	понимается в	1	1
288	той же	3	1
289	для достижения	1	1
290	повседневной жизни	1	1
291	было известно	2	1
292	именно к	1	1
293	бы и	2	1
294	учению о	1	1
295	в сущности	3	1
296	это всегда	1	1
297	представлением о	1	1
298	его о	1	1
299	к началу	1	1
300	мы и	1	1
301	является исключительно	1	1
302	в ней	6	1
303	быть в	2	1
304	что его	2	1
305	в чем	1	1
306	события в	1	1
307	к нам	1	1
308	историческая миссия	1	1
309	в сторону	2	1
