N	3gram	Losev_Prob_4	Mirosoze
1	вместе с тем	3	5
2	о великом инквизиторе	1	4
3	у достоевского нет	1	4
4	и вместе с	1	4
5	это и есть	1	4
6	добра и зла	1	4
7	это значит что	7	3
8	в братьях карамазовых	1	3
9	прежде всего в	1	2
10	к учению о	1	2
11	по своему значению	1	2
12	до сих пор	1	2
13	и не может	1	2
14	хотя бы и	2	2
15	достоевский прежде всего	1	2
16	что он не	1	2
17	в том смысле	2	2
18	то время как	2	2
19	не только в	4	2
20	в конце концов	1	2
21	как будто бы	2	2
22	и зла и	1	2
23	это не значит	1	2
24	в то время	2	2
25	для того чтобы	2	2
26	чтобы все эти	1	1
27	бросается в глаза	1	1
28	на том что	1	1
29	что иное как	2	1
30	потому что он	2	1
31	xix века не	1	1
32	имеем в виду	3	1
33	и не было	2	1
34	исторического процесса в	1	1
35	в зависимости от	3	1
36	и когда мы	1	1
37	в романах достоевского	1	1
38	своему значению и	1	1
39	сохранить за собой	1	1
40	и т п	1	1
41	униженных и оскорбленных	1	1
42	и кажется что	1	1
43	вовсе не так	1	1
44	и потому в	1	1
45	в самом темном	1	1
46	есть то что	1	1
47	жизни и в	2	1
48	в ней точно	1	1
49	вообще не существует	1	1
50	не в той	3	1
51	ни к какому	1	1
52	не хотел видеть	1	1
53	по сравнению с	1	1
54	не только для	2	1
55	смысле что он	1	1
56	не в том	1	1
57	в самой жизни	1	1
58	друг к другу	1	1
59	во всяком случае	4	1
60	лучше сказать с	1	1
61	или лучше сказать	1	1
62	хотя бы даже	2	1
63	мира сего в	1	1
64	в себе и	2	1
65	том смысле что	1	1
66	человеческого сознания и	1	1
67	порождает из себя	1	1
68	мы имеем в	1	1
69	о том что	3	1
70	не значит что	1	1
71	не что иное	2	1
72	можно было бы	4	1
73	в том что	8	1
74	выходит за пределы	1	1
