N	4gram	Bakhtin_Pr_2	Formalny
1	в то же время	3	7
2	и не может быть	1	3
3	так и со стороны	1	2
4	нет и не может	1	2
5	в одной плоскости с	3	1
6	мы можем сказать что	2	1
7	которые сами по себе	1	1
8	о котором мы говорили	1	1
9	в том числе и	2	1
10	как со стороны его	1	1
11	имеем в виду прежде	1	1
12	иначе и быть не	1	1
13	одной и той же	1	1
14	это не значит конечно	1	1
15	возможно лишь там где	1	1
16	той мере в какой	1	1
17	с точки зрения своей	1	1
18	не значит конечно что	1	1
19	что в данном случае	1	1
20	как это происходит в	1	1
21	мы еще вернемся в	1	1
22	мы имеем в виду	2	1
23	с начала и до	2	1
24	начала и до конца	2	1
25	одного и того же	1	1
26	в той мере в	1	1
27	котором мы говорили в	1	1
28	с другой стороны и	1	1
29	дело в том что	1	1
30	но в таком случае	1	1
31	в виду прежде всего	1	1
32	с точки зрения ее	1	1
33	как бы ни были	1	1
34	то же время не	1	1
35	да иначе и быть	1	1
