N	3gram	Bakhtin_Pr_1	UchenyiS
1	не может быть	3	4
2	по нашему мнению	3	3
3	с другой стороны	2	3
4	то же время	7	3
5	бы то ни	3	3
6	в то же	7	3
7	то ни было	2	3
8	не могут быть	1	2
9	в самом деле	2	2
10	в этом смысле	9	2
11	то же самое	1	2
12	до сих пор	2	2
13	хотя бы и	2	2
14	в этом отношении	5	2
15	в художественном произведении	1	2
16	в том что	7	2
17	в противном случае	1	2
18	по крайней мере	2	2
19	и то что	1	2
20	и в частности	1	2
21	тех или иных	1	2
22	в конце концов	4	2
23	для него не	1	1
24	заключенных в нем	1	1
25	конце концов не	1	1
26	в своей работе	1	1
27	не в том	1	1
28	по себе еще	2	1
29	все же не	1	1
30	не только к	1	1
31	равно как и	1	1
32	он может быть	2	1
33	оно перестает быть	1	1
34	уже не как	1	1
35	и не только	1	1
36	у него уже	1	1
37	приходится признать что	1	1
38	и в то	3	1
39	в той же	3	1
40	не входит в	1	1
41	бы это было	1	1
42	является одним из	1	1
43	само по себе	2	1
44	же время не	2	1
45	в своей совокупности	1	1
46	но это не	3	1
47	можно сказать что	2	1
48	то что было	3	1
49	конечно не в	1	1
50	все это в	1	1
51	это не только	1	1
52	в художественном отношении	1	1
53	которые могли бы	1	1
54	друг с другом	3	1
55	и является одним	1	1
56	не все в	1	1
57	если бы это	1	1
58	в данном случае	2	1
59	но именно этот	1	1
60	но в то	2	1
61	не только в	1	1
62	тем что он	1	1
63	на первый взгляд	1	1
