N	3gram	Bakhtin_sl_1	Tvorches
1	в то же	12	13
2	то же время	12	12
3	в том что	1	6
4	о том что	1	5
5	но в то	4	4
6	с самого начала	1	3
7	дело в том	1	3
8	на протяжении всего	1	2
9	и в то	5	2
10	можно сказать что	1	2
11	в его романах	1	2
12	же время он	1	2
13	то есть не	1	2
14	не только в	2	2
15	в данном случае	3	2
16	и т п	23	2
17	тем не менее	1	2
18	по крайней мере	1	2
19	и даже как	1	1
20	настоящим и прошлым	1	1
21	с одной стороны	4	1
22	в в виноградов	1	1
23	бы то ни	1	1
24	в основе этой	1	1
25	да и в	1	1
26	как и в	1	1
27	имеем в виду	1	1
28	здесь лишь на	1	1
29	равно как и	1	1
30	с другой стороны	4	1
31	но это не	1	1
32	до сих пор	2	1
33	то ни было	1	1
34	в отличие от	1	1
35	мы все время	1	1
36	еще далеко не	1	1
37	к тому что	2	1
38	в своей книге	1	1
39	еще более резко	1	1
40	и т д	5	1
41	собой в его	1	1
42	между настоящим и	1	1
43	хотя бы и	3	1
44	человек может не	1	1
45	о нем и	2	1
46	мы имеем в	1	1
47	не могут быть	2	1
48	на самом же	1	1
49	самом же деле	1	1
50	из них он	1	1
51	в известном смысле	2	1
52	по преимуществу в	1	1
53	в один ряд	1	1
54	а как бы	1	1
55	все же и	1	1
56	между прочим в	1	1
57	у него есть	1	1
58	с установкой на	1	1
59	со всеми его	1	1
60	не может не	5	1
61	это не значит	1	1
62	в отношении к	6	1
63	не был бы	1	1
64	в свою очередь	2	1
65	отношение автора к	1	1
66	и вследствие этого	1	1
