N	3gram	Bakhtin_Fr_3	Freidism
1	с точки зрения	1	11
2	по отношению к	2	8
3	во всяком случае	1	7
4	не может быть	2	7
5	и прежде всего	3	5
6	мы знаем что	1	4
7	то же время	6	4
8	в то же	6	4
9	в данном случае	2	4
10	на самом деле	3	4
11	можно сказать что	2	4
12	как мы уже	5	4
13	в последнем счете	1	4
14	как мы видели	2	4
15	для того чтобы	3	3
16	бы то ни	1	3
17	в собственном смысле	1	3
18	узком смысле слова	1	3
19	и той же	2	3
20	в свою очередь	1	3
21	с самого начала	1	3
22	не найдем в	1	3
23	одной и той	2	3
24	до сих пор	4	2
25	и не может	1	2
26	его отношение к	2	2
27	в таких случаях	1	2
28	в отличие от	3	2
29	это вовсе не	2	2
30	может быть и	1	2
31	но в то	4	2
32	может быть отнесено	1	2
33	с помощью которого	1	2
34	в его целом	1	2
35	все то что	2	2
36	в этом отношении	2	2
37	это и есть	1	2
38	в ее целом	1	2
39	то ни было	1	2
40	в узком смысле	1	2
41	мы уже указывали	1	2
42	в высшей степени	1	2
43	в своей основе	1	2
44	мы видели что	1	2
45	том что в	1	1
46	большую роль в	1	1
47	но как раз	1	1
48	нет и не	1	1
49	только в пределах	1	1
50	говорит об этом	2	1
51	раз и не	1	1
52	так как в	1	1
53	но даже и	1	1
54	непосредственно связано с	1	1
55	те же самые	1	1
56	в этом случае	1	1
57	в нем и	1	1
58	и в данном	1	1
59	как раз и	1	1
60	вполне понятно что	1	1
61	они не могут	1	1
62	лежит на границе	1	1
63	как и все	3	1
64	в эту эпоху	1	1
65	хотя бы и	1	1
66	во всех отношениях	1	1
67	отражает в себе	1	1
68	только то что	1	1
69	во всех этих	1	1
70	смысле слова мы	1	1
71	в основе своей	1	1
72	и до конца	5	1
73	однако и здесь	1	1
74	таким образом и	1	1
75	а также и	3	1
76	между ними уже	1	1
77	как будто бы	1	1
78	по сравнению с	2	1
79	и потому не	1	1
80	там же где	1	1
81	то что он	1	1
82	миром где все	1	1
83	и тело и	1	1
84	мы все время	1	1
85	какое же значение	1	1
86	и культурной жизни	2	1
87	сих пор не	1	1
88	имеем в виду	1	1
89	каждого из этих	1	1
90	мы уже сказали	1	1
91	же время это	1	1
92	имея в виду	1	1
93	очень далеки от	2	1
94	о том что	2	1
95	что между ними	1	1
96	к нему и	1	1
97	и его школы	1	1
98	той или иной	2	1
99	но все же	1	1
100	но и не	1	1
101	или во всяком	1	1
102	мы имеем в	1	1
103	как мы видим	1	1
104	смысле этого слова	1	1
105	помощью которого они	1	1
106	еще не исчерпывается	1	1
107	к смерти и	1	1
108	в направлении к	1	1
109	это как бы	1	1
110	и следовательно в	1	1
111	в том что	1	1
112	что и в	1	1
113	не нуждается в	1	1
