N	2gram	Tiupa_Hudo_2	VLabPisa
1	в этом	13	26
2	и в	28	25
3	и т	4	24
4	не только	11	22
5	во сне	3	21
6	может быть	8	21
7	хотя бы	2	20
8	и не	18	19
9	не может	4	17
10	т е	2	17
11	т д	2	15
12	в его	11	15
13	прежде всего	3	13
14	в том	15	13
15	этом отношении	1	13
16	все это	3	12
17	как это	7	12
18	в частности	7	12
19	в силу	1	11
20	из них	2	11
21	с другой	3	11
22	в качестве	4	10
23	в художественном	4	10
24	о том	12	10
25	т п	2	9
26	как видим	2	9
27	об этом	7	9
28	что в	5	9
29	для него	5	9
30	но и	9	9
31	то же	6	9
32	к этому	1	9
33	все эти	1	8
34	по словам	1	8
35	ни один	1	8
36	другой стороны	1	8
37	не следует	1	8
38	в своем	5	8
39	из этих	2	7
40	как и	11	7
41	говорит о	4	7
42	же в	1	7
43	отношению к	7	7
44	не было	6	7
45	произведения и	1	7
46	во всех	1	7
47	вместе с	2	7
48	по отношению	7	7
49	в конечном	4	7
50	а не	14	7
51	было бы	3	7
52	том что	19	7
53	в себе	9	6
54	и его	5	6
55	так и	8	6
56	в нем	3	6
57	у него	5	6
58	бы и	4	6
59	между тем	8	6
60	это не	6	6
61	то что	6	6
62	это и	1	6
63	в то	6	6
64	том же	1	6
65	их в	1	6
66	одним из	1	5
67	приводит к	2	5
68	все же	2	5
69	же время	4	5
70	действующих лиц	1	5
71	не в	13	5
72	в искусстве	1	5
73	конечном счете	3	5
74	сказать что	2	5
75	один из	2	5
76	тому что	4	5
77	только в	4	5
78	не является	2	5
79	в пределах	1	5
80	как бы	5	5
81	и при	1	5
82	можно сказать	6	4
83	как раз	4	4
84	даже в	1	4
85	в своей	6	4
86	в одном	3	4
87	чем же	1	4
88	художественное произведение	1	4
89	в ее	18	4
90	в нашей	1	4
91	это только	1	4
92	никогда не	5	4
93	перед нами	11	4
94	всего произведения	1	4
95	что все	3	4
96	с ними	3	4
97	в них	3	4
98	одна из	2	4
99	в этой	5	4
100	когда он	1	4
101	в самом	5	4
102	к тому	7	4
103	с его	5	4
104	приведенных выше	1	4
105	что он	8	4
106	всего лишь	3	3
107	со своим	3	3
108	а вот	2	3
109	в значительной	1	3
110	или в	3	3
111	жизни и	6	3
112	что они	4	3
113	так же	3	3
114	как на	2	3
115	в котором	6	3
116	и ее	3	3
117	точки зрения	2	3
118	вслед за	4	3
119	что без	1	3
120	в конце	1	3
121	например в	1	3
122	и он	3	3
123	что говорит	2	3
124	его в	2	3
125	сводится к	6	3
126	того что	1	3
127	нет и	1	3
128	но как	1	3
129	и к	2	3
130	а всего	2	3
131	образе и	1	3
132	человека и	3	3
133	что не	2	3
134	и от	2	3
135	следующим образом	3	3
136	том как	2	3
137	в слове	1	3
138	говорит в	2	3
139	бы в	1	3
140	мыслительного процесса	1	3
141	него в	1	3
142	образом в	1	3
143	во время	1	3
144	именно в	2	3
145	никак не	1	3
146	что и	4	3
147	в творчестве	1	3
148	она не	5	3
149	этих и	1	3
150	одном из	1	3
151	не столь	1	3
152	по существу	1	3
153	никитин и	1	3
154	по поводу	3	3
155	как о	3	3
156	мы знаем	2	3
157	бы не	3	2
158	произведения не	2	2
159	в которой	1	2
160	ни одного	2	2
161	им как	1	2
162	но с	1	2
163	стороны в	1	2
164	а о	2	2
165	еще не	3	2
166	же как	2	2
167	в другом	2	2
168	достоевского и	1	2
169	говорить о	2	2
170	с нею	3	2
171	из себя	1	2
172	что нет	1	2
173	одной из	3	2
174	как например	1	2
175	отличается от	1	2
176	на это	1	2
177	и для	2	2
178	еще и	2	2
179	в жизни	8	2
180	именно этого	1	2
181	не менее	5	2
182	и просто	2	2
183	вовсе не	2	2
184	образом не	1	2
185	числе и	1	2
186	не по	2	2
187	только о	1	2
188	сих пор	2	2
189	при всей	1	2
190	который по	1	2
191	он в	1	2
192	конечном итоге	1	2
193	до сих	2	2
194	которая не	1	2
195	с другими	3	2
196	если в	2	2
197	того чтобы	4	2
198	по себе	1	2
199	можно было	3	2
200	например не	1	2
201	на язык	1	2
202	ли не	1	2
203	того или	2	2
204	а в	6	2
205	слова не	1	2
206	по его	3	2
207	между ними	2	2
208	он сам	2	2
209	ее как	1	2
210	как он	3	2
211	но не	4	2
212	остановимся на	1	2
213	знаем что	1	2
214	роль в	2	2
215	а для	2	2
216	а затем	1	2
217	что даже	2	2
218	ни одна	1	2
219	и даже	1	2
220	хотя и	1	2
221	этом и	3	2
222	для того	4	2
223	а как	2	2
224	но в	2	2
225	они и	2	2
226	начнем с	2	2
227	и через	1	2
228	о своем	4	2
229	отнюдь не	2	2
230	пародия на	4	2
231	лишь в	2	2
232	пока еще	3	2
233	в течение	1	2
234	мира и	1	2
235	наблюдения и	1	2
236	тургенева и	1	2
237	и потому	1	2
238	лица и	1	2
239	не столько	2	2
240	о чем	8	2
241	не о	1	2
242	мы имеем	1	2
243	в каждом	1	2
244	тому как	4	2
245	если бы	6	2
246	не всегда	1	2
247	только не	2	2
248	одной стороны	3	2
249	будто бы	3	2
250	от того	1	2
251	с одной	3	2
252	чтобы не	3	2
253	ни с	2	2
254	целого ряда	1	2
255	он не	4	2
256	как у	2	2
257	в различных	1	2
258	в своих	1	2
259	том числе	1	2
260	и памяти	1	2
261	также и	1	2
262	в общем	1	2
263	но то	1	2
264	подобно тому	4	2
265	все они	3	2
266	о его	2	2
267	в области	1	2
268	из рассказа	1	2
269	в ней	3	2
270	что она	7	2
271	для многих	1	2
272	от его	1	2
273	заключается в	1	2
274	или иной	2	2
275	и заключается	1	2
276	человека в	4	2
277	но для	1	2
278	могло бы	1	2
