N	2gram	Bakhtin_Pr_1	VrazhdaK
1	в году	1	18
2	у тургенева	1	11
3	не только	13	9
4	и достоевского	1	9
5	достоевского с	7	9
6	в этом	25	8
7	и в	23	8
8	достоевский в	7	8
9	и что	1	8
10	достоевский и	2	8
11	достоевского в	19	7
12	достоевского и	12	7
13	но и	11	7
14	и все	3	7
15	то что	18	7
16	что в	8	7
17	все же	5	6
18	но в	4	6
19	в нем	20	6
20	как и	8	6
21	в котором	2	6
22	и с	4	6
23	о нем	11	6
24	в начале	1	6
25	и даже	3	6
26	в романе	11	6
27	то же	10	5
28	об этом	1	5
29	в то	10	5
30	же время	7	5
31	между тем	5	5
32	в письме	1	5
33	у него	6	5
34	не было	3	5
35	в россии	1	5
36	и не	34	5
37	в ней	1	4
38	что он	10	4
39	в истории	2	4
40	что достоевский	3	4
41	при этом	3	4
42	это не	10	4
43	несмотря на	6	4
44	все это	7	4
45	письме к	1	4
46	во многом	1	4
47	с ним	6	4
48	о том	2	4
49	для нас	3	4
50	у достоевского	24	4
51	уже в	5	4
52	может быть	21	4
53	достоевского не	11	4
54	подпольного человека	1	4
55	он считал	1	4
56	как бы	28	4
57	в своих	2	4
58	так же	6	4
59	одним из	8	3
60	из подполья	11	3
61	который был	1	3
62	я не	3	3
63	в чем	1	3
64	с его	6	3
65	к творчеству	1	3
66	в своем	8	3
67	и как	8	3
68	в этот	2	3
69	его в	4	3
70	он не	4	3
71	далеко не	1	3
72	и уже	3	3
73	том что	9	3
74	в черновиках	1	3
75	но он	2	3
76	сам достоевский	2	3
77	в русской	1	3
78	достоевский не	5	3
79	и его	13	3
80	по нашему	5	3
81	человека в	5	3
82	и о	3	3
83	достоевского к	5	3
84	что у	1	3
85	и во	2	3
86	в его	24	3
87	в том	11	3
88	и у	4	3
89	в конце	5	3
90	тем что	3	3
91	о себе	9	3
92	эти слова	1	3
93	наряду с	1	3
94	ставрогина и	1	3
95	к этому	2	3
96	отношения к	2	2
97	же как	1	2
98	и то	1	2
99	и он	1	2
100	он сам	3	2
101	роман достоевского	11	2
102	но как	3	2
103	ответ на	1	2
104	тогда как	1	2
105	и достоевский	3	2
106	к автору	1	2
107	в известном	1	2
108	в той	6	2
109	его на	2	2
110	с князем	1	2
111	в этой	4	2
112	в себе	5	2
113	время и	1	2
114	их в	2	2
115	таким образом	11	2
116	в мире	7	2
117	нашему убеждению	2	2
118	достоевского он	2	2
119	в них	3	2
120	рядом с	13	2
121	а с	1	2
122	меня но	1	2
123	на первый	1	2
124	в эту	1	2
125	точки зрения	21	2
126	в своей	11	2
127	с точки	15	2
128	место в	1	2
129	письмо к	1	2
130	не менее	1	2
131	одна из	2	2
132	никогда не	5	2
133	в роман	1	2
134	и далее	1	2
135	в момент	1	2
136	к себе	2	2
137	его с	1	2
138	на это	1	2
139	и это	5	2
140	же не	1	2
141	этот роман	1	2
142	еще не	5	2
143	он писал	3	2
144	тем более	1	2
145	пришел к	1	2
146	и наказания	1	2
147	уже не	8	2
148	при помощи	1	2
149	из них	2	2
150	его и	1	2
151	для него	15	2
152	отношение к	1	2
153	как раз	4	2
154	и т.п	3	2
155	как же	3	2
156	не может	11	2
157	вместе с	2	2
158	достоевский был	4	2
159	но это	5	2
160	что я	1	2
161	о достоевском	12	2
162	же в	2	2
163	а в	7	2
164	это в	2	2
165	себя как	5	1
166	от этой	1	1
167	можно говорить	2	1
168	этого в	1	1
169	жестокий талант	1	1
170	е годы	2	1
171	это и	9	1
172	идет о	3	1
173	и есть	5	1
174	ему не	2	1
175	по преимуществу	3	1
176	своей эпохи	1	1
177	человека достоевский	2	1
178	едва ли	1	1
179	романе не	1	1
180	уже по	1	1
181	в их	3	1
182	из всех	1	1
183	той же	6	1
184	биографии в	1	1
185	говорит достоевский	1	1
186	то достоевский	1	1
187	преступления и	1	1
188	достоевский стремится	1	1
189	которой достоевский	1	1
190	именно к	1	1
191	он как	1	1
192	равно как	1	1
193	совпадает с	2	1
194	говорить о	2	1
195	роман в	2	1
196	чтобы объективно	1	1
197	в полной	1	1
198	всего романа	1	1
199	разобраться в	2	1
