N	2gram	Medvedev_B_1	Otkroven
1	и в	1	19
2	и не	2	13
3	не только	1	11
4	а не	1	11
5	вопрос о	1	10
6	прежде всего	1	9
7	не было	1	9
8	до конца	1	7
9	все это	2	6
10	что в	1	4
11	еще не	1	3
12	было бы	1	3
13	и ее	1	3
14	чем на	1	3
15	так и	1	2
16	его не	1	2
17	и о	1	2
18	и на	1	2
19	не все	1	2
20	и нет	1	2
21	все же	1	2
22	и потому	1	2
23	к ней	1	2
24	в своей	1	2
25	что все	1	2
26	всего в	1	2
27	на самом	1	1
28	что опять-таки	1	1
29	должна быть	1	1
30	видеть в	2	1
31	можно было	2	1
32	в эпоху	1	1
33	не вполне	1	1
34	в ней	2	1
35	же не	1	1
36	было и	1	1
37	всяком случае	1	1
38	и более	1	1
39	полно не	1	1
40	как будто	1	1
41	у нас	3	1
42	совершенно не	1	1
43	будто бы	1	1
44	во всяком	1	1
