N	2gram	Berdyaev_V_1	VerxiiNi
1	и в	16	26
2	с тем	2	18
3	в этом	4	15
4	вместе с	1	15
5	как бы	5	12
6	в том	3	11
7	не только	2	10
8	и с	1	10
9	может быть	1	10
10	так как	9	9
11	но и	5	9
12	что в	3	9
13	но не	2	8
14	с другой	1	8
15	и не	20	8
16	но в	3	7
17	но все	1	7
18	том что	2	7
19	потому что	4	7
20	к нему	1	7
21	в религиозном	1	7
22	то что	9	7
23	а с	2	7
24	все же	1	6
25	все эти	3	6
26	религиозного сознания	5	6
27	к тому	3	6
28	так и	4	6
29	в конце	3	6
30	что и	3	6
31	и потому	7	6
32	все это	5	6
33	во всяком	2	6
34	отношение к	1	5
35	тем чтобы	1	5
36	в мире	5	5
37	лишь в	3	5
38	по крайней	1	5
39	не имеет	3	5
40	того чтобы	2	5
41	никогда не	3	5
42	для того	1	5
43	в его	4	5
44	крайней мере	1	5
45	а не	7	5
46	к жизни	1	5
47	и для	3	5
48	так же	1	5
49	в котором	4	4
50	то же	1	4
51	в самом	1	4
52	в этой	1	4
53	и по	1	4
54	что все	4	4
55	то есть	1	4
56	бога и	5	4
57	и тогда	2	4
58	богами и	1	4
59	в которых	1	4
60	в нем	4	4
61	а в	2	4
62	что оно	1	4
63	и что	3	4
64	только в	2	4
65	и вместе	1	4
66	ничем не	1	4
67	и от	1	4
68	в этих	3	4
69	что он	4	4
70	в виде	1	4
71	к богу	8	3
72	если в	1	3
73	в своем	1	3
74	и нет	1	3
75	в которой	1	3
76	что это	1	3
77	и если	1	3
78	без бога	2	3
79	на нее	1	3
80	религиозной жизни	1	3
81	того что	5	3
82	но с	1	3
83	хотя бы	3	3
84	уже не	2	3
85	для него	2	3
86	в одном	1	3
87	к ним	1	3
88	с этой	1	3
89	в результате	1	3
90	у них	1	3
91	конце концов	1	3
92	и другие	1	3
93	к этому	1	3
94	и это	2	2
95	имя его	1	2
96	его не	2	2
97	еще не	8	2
98	и на	1	2
99	бы то	1	2
100	с его	3	2
101	во всех	3	2
102	в новом	1	2
103	религиозное сознание	2	2
104	перестает быть	1	2
105	они в	3	2
106	с именем	1	2
107	не к	2	2
108	от людей	1	2
109	людей и	2	2
110	то ни	1	2
111	в глазах	1	2
112	в них	3	2
113	не всегда	1	2
114	богу и	2	2
115	не в	3	2
116	в разных	1	2
117	в русском	1	2
118	под разными	2	2
119	не могут	2	2
120	в образе	4	2
121	не с	2	2
122	по сравнению	1	2
123	в виду	1	2
124	добра и	4	2
125	между тем	2	2
126	вслед за	2	2
127	один из	2	2
128	тот же	3	2
129	от них	1	2
130	богом и	1	2
131	конечно не	2	2
132	уже в	1	2
133	от бога	8	2
134	и люди	2	2
135	прежде всего	2	2
136	превращается в	3	2
137	не было	3	2
138	может ли	1	2
139	и все	4	2
140	в одно	1	2
141	если не	3	2
142	связь с	1	2
143	и мир	1	2
144	сравнению с	1	2
145	на пути	1	2
146	что мы	4	2
147	сознании и	1	2
148	в процессе	1	2
149	ли они	1	2
150	жизни и	3	2
151	все что	4	2
152	эта новая	1	1
153	от этой	1	1
154	к людям	6	1
155	речь идет	1	1
156	и спасения	1	1
157	а между	2	1
158	еще тогда	1	1
159	которых этот	1	1
160	и есть	4	1
161	этого мира	3	1
162	и до	1	1
163	и могут	1	1
164	и злым	1	1
165	их и	1	1
166	превратились в	2	1
167	мы не	2	1
168	что уже	1	1
169	бы и	3	1
170	любовью к	1	1
171	как бог	1	1
172	мы и	2	1
173	в будущем	1	1
174	же что	1	1
175	кто же	1	1
176	в ней	4	1
177	целого сонма	1	1
178	в чем	3	1
179	природы и	1	1
180	так для	2	1
181	к нам	2	1
182	что они	7	1
183	и свободное	1	1
184	материалом для	2	1
185	которыми можно	1	1
186	как в	1	1
187	могли бы	1	1
188	его к	2	1
189	в источник	1	1
190	отверг и	2	1
191	от этого	3	1
192	к чему	3	1
193	не был	1	1
194	бога в	1	1
195	тоже не	1	1
196	наказание за	1	1
197	от природы	1	1
198	вера в	2	1
199	есть один	1	1
200	получается в	1	1
201	существует и	1	1
202	на земле	7	1
203	на этом	1	1
204	а остальные	2	1
205	человека в	1	1
206	же пути	1	1
207	себя не	1	1
208	человека когда	1	1
209	есть не	1	1
210	это не	2	1
211	лишь на	1	1
212	мира с	1	1
213	весь мир	1	1
214	в жизни	3	1
215	и смерти	1	1
216	с богом	4	1
217	ни в	3	1
218	есть соединение	1	1
219	она и	1	1
220	как и	4	1
221	должно быть	3	1
222	в своей	3	1
223	таким же	1	1
224	еще недостаточно	1	1
225	есть обман	2	1
226	в их	1	1
227	жизни с	1	1
228	личность хотя	1	1
229	их в	3	1
230	не могли	2	1
231	этот мир	1	1
232	этих трех	3	1
233	из нас	1	1
234	в познании	1	1
235	того как	1	1
236	не по	1	1
237	как религия	1	1
238	ничего не	1	1
239	под этим	2	1
240	пути и	1	1
241	видим что	1	1
242	и остается	1	1
243	другой стороны	1	1
244	и любовь	1	1
245	это слово	1	1
246	мире и	1	1
247	в сознании	1	1
248	от неба	1	1
249	у нас	1	1
250	быть религией	1	1
251	и дал	1	1
252	могут быть	2	1
253	метафизического зла	1	1
254	всего что	1	1
255	не есть	6	1
256	слова с	1	1
257	всегда в	1	1
258	и своих	1	1
259	прибавить к	1	1
260	конкретные формы	1	1
261	для себя	1	1
262	значения и	2	1
263	имя этого	1	1
264	как не	3	1
265	людей в	3	1
266	в ее	1	1
267	в себя	2	1
268	во главе	2	1
269	роль в	1	1
270	если они	1	1
271	на путь	1	1
272	живет в	1	1
273	бытие не	1	1
274	найти в	1	1
275	чем у	1	1
276	это мы	2	1
277	что от	2	1
278	превратившись в	1	1
279	остается не	1	1
280	с ним	2	1
281	всех существ	4	1
282	любви ко	1	1
283	после того	1	1
284	любви к	1	1
285	и во	2	1
286	все в	1	1
287	в которую	1	1
288	он отверг	1	1
289	идет к	1	1
290	а потому	1	1
291	что человек	1	1
292	них ничего	1	1
293	не надо	1	1
294	от этих	2	1
295	происхождение и	1	1
296	как она	1	1
297	людей а	1	1
298	сделать это	1	1
299	мы видим	1	1
300	с ними	1	1
301	еще и	1	1
302	в разные	1	1
303	и так	1	1
304	опять выступает	1	1
305	и ее	1	1
306	их не	1	1
307	на этих	2	1
308	не так	2	1
309	многим из	1	1
310	и этими	1	1
311	не для	1	1
312	бытия и	1	1
313	у него	1	1
314	и никогда	2	1
315	тем что	2	1
316	тогда как	1	1
317	так легко	1	1
318	не были	1	1
319	ней и	1	1
320	тот который	1	1
321	что тот	1	1
322	для людей	2	1
323	бытия в	1	1
324	на людей	1	1
325	души и	1	1
326	и своего	1	1
327	человеческой жизни	1	1
328	жизнь в	1	1
329	о чем	1	1
330	выше всех	1	1
331	это бытие	1	1
332	с абсолютным	2	1
333	нет ничего	3	1
334	него в	1	1
335	свое особое	1	1
336	исторического христианства	1	1
337	богов а	1	1
338	и за	2	1
339	призыва к	1	1
340	да и	2	1
341	думать о	1	1
342	человека и	6	1
343	и менее	1	1
344	этого слова	1	1
345	основана на	1	1
346	но это	3	1
347	ничего кроме	1	1
348	о мире	1	1
349	мира в	2	1
350	в пустоту	1	1
351	не существует	1	1
352	его с	1	1
353	мира и	1	1
354	это как	1	1
355	никакого бытия	1	1
356	бы в	1	1
357	идти по	1	1
358	есть продукт	1	1
359	давно уже	2	1
360	к ее	1	1
361	может и	1	1
362	и зла	2	1
363	людей но	1	1
364	есть то	1	1
365	от слова	1	1
366	вся история	1	1
367	о превращении	1	1
368	в своих	1	1
369	значение в	1	1
370	и вновь	1	1
371	они не	1	1
