N	2gram	Berdyaev_O_1	Istorich
1	и в	19	25
2	что он	3	22
3	может быть	11	17
4	т е	4	16
5	не только	11	13
6	но и	13	13
7	в его	7	12
8	так как	2	11
9	уже не	1	11
10	и не	13	11
11	в этом	12	10
12	тем что	2	10
13	все же	2	10
14	и его	4	9
15	его в	2	9
16	еще не	3	8
17	и на	2	8
18	все эти	4	8
19	что в	4	8
20	и что	1	8
21	с тем	2	8
22	связь с	1	8
23	том что	2	8
24	представляет собой	1	7
25	в нем	10	7
26	как и	6	7
27	потому что	9	7
28	о том	3	7
29	и здесь	1	7
30	то что	5	7
31	но это	1	7
32	в частности	1	7
33	как в	1	6
34	это не	3	6
35	не может	4	6
36	в этих	3	6
37	не в	11	6
38	и он	8	6
39	что и	2	6
40	прежде всего	9	6
41	могут быть	3	6
42	в том	5	6
43	например в	1	5
44	и действительно	1	5
45	мы не	1	5
46	в ней	1	5
47	но не	1	5
48	что это	1	5
49	него и	4	5
50	и это	1	4
51	в ее	2	4
52	от этого	1	4
53	в истории	2	4
54	он видит	1	4
55	в которой	2	4
56	он не	7	4
57	что все	2	4
58	того как	1	4
59	все еще	2	4
60	что у	2	4
61	с ним	3	4
62	а именно	1	4
63	же можно	2	4
64	все это	6	4
65	его не	2	3
66	и как	1	3
67	этот случай	1	3
68	в этой	5	3
69	только один	1	3
70	человека в	11	3
71	в русской	3	3
72	для того	3	3
73	того чтобы	4	3
74	говорится что	1	3
75	никогда не	9	3
76	и с	2	3
77	после того	1	3
78	о нем	1	3
79	к нему	3	3
80	в форме	1	3
81	никто не	3	3
82	и из	2	3
83	но оно	1	3
84	и пр	1	3
85	и все	10	3
86	ее и	1	3
87	а в	5	3
88	состоит из	1	3
89	ту же	1	2
90	самом деле	1	2
91	когда человек	1	2
92	вопрос о	10	2
93	человека и	10	2
94	очень ясно	1	2
95	когда он	3	2
96	уже в	2	2
97	на то	1	2
98	после этого	1	2
99	друг с	1	2
100	из него	1	2
101	о чем	1	2
102	это было	3	2
103	и других	1	2
104	в это	1	2
105	попадает в	1	2
106	изнутри а	1	2
107	в своей	2	2
108	ее в	2	2
109	оказывается что	1	2
110	но он	7	2
111	по себе	2	2
112	она не	1	2
113	одна из	1	2
114	не потому	1	2
115	с другом	1	2
116	и сам	1	2
117	особенно в	1	2
118	если бы	1	2
119	ничего не	2	2
120	находится в	1	2
121	все его	1	2
122	в которую	1	2
123	того что	3	2
124	бросается в	1	2
125	том как	1	2
126	ли он	1	2
127	во всем	1	2
128	то в	1	2
129	так что	2	2
130	из них	1	2
131	его и	1	2
132	вовсе не	1	2
133	у него	22	2
134	в других	2	2
135	связан с	1	2
136	со стороны	1	2
137	попал в	1	2
138	как у	1	2
139	его изнутри	1	2
140	но есть	1	2
141	говорит о	1	2
142	а не	11	2
143	один из	1	2
144	под влиянием	1	2
145	бог в	1	2
146	в одно	1	2
147	что во	1	2
148	и потому	2	2
149	потому ли	1	2
150	есть на	1	2
151	как бы	3	2
152	понял что	1	2
153	и этим	2	2
154	и для	2	2
