N	3gram	Vygotskiy__6	TeoriaLi
1	по отношению к	10	8
2	в отличие от	1	7
3	в том что	19	6
4	в данном случае	1	5
5	состоит в том	2	4
6	в этом смысле	2	3
7	можно сказать что	6	3
8	с другой стороны	2	3
9	той или иной	1	3
10	тем не менее	1	3
11	в свою очередь	1	3
12	с одной стороны	1	2
13	и тем самым	5	2
14	в самом начале	4	2
15	как и в	1	2
16	не только не	2	2
17	тех или иных	1	2
18	и того же	4	2
19	но он не	1	2
20	одного и того	4	2
21	не может быть	2	2
22	мы имеем дело	2	2
23	что в основе	1	2
24	с точки зрения	10	2
25	подобно тому как	1	1
26	таким образом что	1	1
27	этом смысле можно	1	1
28	в том числе	1	1
29	точно так же	1	1
30	может и должен	1	1
31	в одном случае	1	1
32	в связи с	2	1
33	что представляет собой	1	1
34	но не с	1	1
35	из того что	3	1
36	именно потому что	2	1
37	в первую очередь	3	1
38	до известной степени	2	1
39	он мог бы	2	1
40	не содержит в	1	1
41	для того чтобы	8	1
42	не совпадает с	1	1
43	не принадлежит к	1	1
44	имеем дело с	1	1
45	что он должен	1	1
46	так же точно	3	1
47	принципиальное различие между	1	1
48	его мысли более	1	1
49	что он не	1	1
50	же по своей	1	1
51	в настоящее время	1	1
52	и как бы	1	1
53	этой точки зрения	1	1
54	как бы в	1	1
55	в то время	6	1
56	является как бы	2	1
57	начинается с осознания	1	1
58	в нашем примере	2	1
59	в том и	1	1
60	том что в	1	1
61	в этом случае	2	1
62	включает в себя	1	1
63	никак не может	1	1
64	иного рода и	1	1
65	едва ли не	1	1
66	только то что	2	1
67	не могут быть	2	1
68	при этом отношение	1	1
69	мы видим в	2	1
70	содержит в себе	1	1
71	именно в этом	2	1
72	и по отношению	1	1
73	он состоит в	1	1
74	по своей структуре	1	1
75	отношение к объекту	2	1
76	другом но не	1	1
77	случае мы имеем	1	1
78	так же как	6	1
79	исходит из того	1	1
80	в первом случае	3	1
81	том числе и	1	1
82	полностью совпадает с	1	1
83	с этой точки	1	1
84	как раз в	2	1
