N	2gram	Berdyaev_M_2	Analitik
1	в этом	20	18
2	не только	18	16
3	и в	46	16
4	так и	4	15
5	как и	13	14
6	своего рода	1	12
7	но и	15	12
8	и не	18	12
9	том что	4	12
10	в том	3	12
11	а не	13	10
12	как бы	8	10
13	в этой	7	9
14	лишь в	2	9
15	ничего не	2	9
16	в пределах	1	9
17	всего лишь	1	8
18	в целом	1	8
19	не случайно	2	8
20	к тому	5	7
21	а также	1	7
22	о том	3	7
23	в себе	10	7
24	то что	5	7
25	в самом	5	6
26	и на	3	6
27	но в	10	6
28	в мире	7	6
29	говорить о	1	6
30	может быть	21	6
31	с другой	1	6
32	на себя	1	5
33	и к	7	5
34	того же	1	4
35	между двумя	1	4
36	по преимуществу	5	4
37	в сущности	2	4
38	по отношению	2	4
39	за пределы	1	4
40	как в	7	4
41	в своем	8	4
42	хотя и	2	4
43	он в	3	4
44	на этом	2	4
45	то же	5	4
46	не с	1	4
47	и тем	1	4
48	для него	18	4
49	точки зрения	2	4
50	не в	9	4
51	в конце	5	4
52	же его	1	4
53	него на	1	4
54	во второй	1	4
55	во всех	2	4
56	только в	3	4
57	и его	5	4
58	уже не	4	4
59	в сознании	1	4
60	не так	3	4
61	у него	22	4
62	не может	15	4
63	все это	1	4
64	отношению к	2	4
65	я и	2	3
66	и то	1	3
67	не был	2	3
68	в центре	2	3
69	в нашем	7	3
70	на его	2	3
71	и если	2	3
72	и сам	1	3
73	подобно тому	2	3
74	удивительно что	1	3
75	не мог	3	3
76	место в	2	3
77	как о	1	3
78	никогда не	18	3
79	со своим	2	3
80	тем что	3	3
81	как будто	2	3
82	этом отношении	1	3
83	что на	1	3
84	той или	1	3
85	приводит к	1	3
86	можно было	2	3
87	если бы	3	3
88	в словах	1	3
89	что и	4	3
90	и все	5	3
91	так что	2	3
92	есть в	3	3
93	или иной	2	3
94	было бы	1	3
95	и за	2	3
96	тому как	2	3
97	этого слова	1	3
98	бы в	2	3
99	прежде всего	12	3
100	а в	2	3
101	на смену	3	3
102	не знает	9	3
103	в действительности	2	3
104	по поводу	1	3
