N	2gram	Tiupa_Anal_1	UchenyiS
1	и в	18	14
2	а не	17	10
3	не только	15	10
4	прежде всего	6	8
5	и не	21	8
6	не может	22	7
7	в этом	13	7
8	то что	6	7
9	эстетического объекта	11	6
10	может быть	29	6
11	в искусстве	2	6
12	то же	9	5
13	и только	1	5
14	художественное произведение	5	5
15	в художественном	3	5
16	хотя бы	3	5
17	художественного творчества	2	5
18	с другой	4	4
19	но и	17	4
20	в их	5	4
21	в конечном	4	4
22	конечном счете	4	4
23	в этой	5	4
24	то ни	3	3
25	и то	2	3
26	это не	6	3
27	было бы	2	3
28	как и	13	3
29	для этого	2	3
30	в частности	19	3
31	в своей	6	3
32	и т.д	1	3
33	бы то	3	3
34	произведения искусства	3	3
35	в то	9	3
36	все же	4	3
37	но в	8	3
38	истории литературы	4	3
39	не следует	4	3
40	же время	6	3
41	в области	4	3
42	другой стороны	2	3
43	для него	2	3
44	не как	1	3
45	ни было	4	3
46	не о	2	3
47	что все	1	2
48	крайней мере	1	2
49	же не	1	2
50	одним из	3	2
51	и с	2	2
52	художественного произведения	5	2
53	художественном произведении	1	2
54	а его	1	2
55	материала и	1	2
56	до сих	1	2
57	а как	2	2
58	самом деле	2	2
59	в итоге	1	2
60	противном случае	1	2
61	должна быть	1	2
62	превращается в	1	2
63	мы не	1	2
64	не приходится	1	2
65	о чем	1	2
66	является в	1	2
67	если бы	3	2
68	что мы	3	2
69	ничего не	1	2
70	не столько	2	2
71	если не	1	2
72	том что	12	2
73	на первый	1	2
74	сводится к	5	2
75	мы и	1	2
76	меньшей степени	1	2
77	литературы и	1	2
78	говоря иначе	1	2
79	на каждом	2	2
80	в широком	4	2
81	нам представляется	1	2
82	художественном творчестве	1	2
83	с его	3	2
84	но не	10	2
85	в сторону	1	2
86	в противовес	2	2
87	не все	2	2
88	в его	13	2
89	по крайней	1	2
90	что и	3	2
91	по себе	4	2
92	более чем	4	2
93	сих пор	1	2
94	но это	1	2
95	этом смысле	1	2
96	в противном	1	2
97	могли бы	2	2
98	в том	27	2
99	тех или	2	2
100	и для	1	2
101	что он	3	2
102	теоретической поэтики	1	2
103	в себе	11	2
104	искусства как	1	2
105	при таком	1	2
106	в самом	6	2
107	между тем	5	2
108	только в	6	2
109	не в	14	2
110	для всех	1	2
111	и является	2	2
112	вопроса о	3	2
113	все они	1	2
114	не есть	8	2
115	этом отношении	2	2
116	или иных	2	2
117	фактов и	1	2
118	его и	2	2
119	всех этих	1	2
120	представляется нам	1	2
121	не могут	3	2
122	могут быть	4	2
123	смысле этого	1	2
124	а о	1	2
125	же самое	2	2
126	не случайно	3	2
127	как раз	1	2
128	таким образом	3	2
129	для себя	2	1
130	понимая под	1	1
131	тем в	1	1
132	в последние	1	1
133	литературы а	1	1
134	искусство и	1	1
135	но по	1	1
136	человека и	1	1
137	даже не	1	1
138	то есть	11	1
139	в виду	1	1
140	сам по	1	1
141	говорить не	1	1
142	и служит	1	1
143	входит в	1	1
144	л толстого	1	1
145	данном случае	2	1
146	или иначе	1	1
147	искусства в	4	1
148	с самим	1	1
149	или меньшей	4	1
150	от смысла	1	1
151	и быть	1	1
152	для научного	2	1
153	было и	1	1
154	в произведении	5	1
155	в пределах	2	1
156	или по	1	1
157	и др	1	1
158	еще одно	1	1
159	из первых	1	1
160	сам автор	1	1
161	к которой	1	1
162	и исторически	1	1
163	что для	1	1
164	никогда не	2	1
165	литературного произведения	41	1
166	но прежде	1	1
167	художественное творчество	2	1
168	произведение как	1	1
169	так и	4	1
170	по его	1	1
171	одной стороны	3	1
172	той же	2	1
173	целого но	1	1
174	бы послужить	1	1
175	присущи и	1	1
176	исторической поэтики	2	1
177	с тем	1	1
178	мы имеем	6	1
179	и всякого	1	1
180	об искусстве	2	1
181	и даже	1	1
182	должно быть	2	1
183	иначе говоря	9	1
184	остается в	1	1
185	можно сказать	2	1
186	не вполне	1	1
187	или менее	1	1
188	о нем	3	1
189	произведения как	7	1
190	словесного искусства	1	1
191	о том	5	1
192	в ней	1	1
193	и потому	2	1
194	же художественное	1	1
195	в котором	3	1
196	эстетической реальности	3	1
197	только для	2	1
198	научного анализа	2	1
199	и что	1	1
200	она в	1	1
201	заключенных в	1	1
202	он был	1	1
203	его работы	1	1
204	в различных	1	1
205	быть в	1	1
206	из которых	4	1
207	литературные произведения	1	1
