N	2gram	Vinokur_Ku_1	VLabPisa
1	таким образом	12	27
2	в этом	14	26
3	и в	24	25
4	и т	33	24
5	не только	10	22
6	может быть	13	21
7	хотя бы	10	20
8	и не	12	19
9	не может	7	17
10	т е	38	17
11	т д	14	15
12	в его	12	15
13	в процессе	1	14
14	в письме	1	14
15	этом отношении	5	13
16	в том	30	13
17	прежде всего	9	13
18	в частности	4	12
19	как это	3	12
20	все это	6	12
21	в силу	10	11
22	вот что	1	11
23	с другой	7	11
24	из них	4	11
25	в качестве	7	10
26	не могут	2	10
27	о том	9	10
28	письме к	1	10
29	то же	8	9
30	что в	17	9
31	об этом	1	9
32	для него	1	9
33	т п	18	9
34	но и	6	9
35	к этому	1	9
36	в своем	3	8
37	ни один	1	8
38	все эти	6	8
39	по словам	1	8
40	не следует	1	8
41	другой стороны	6	8
42	могут быть	1	8
43	говорит и	1	8
44	в году	1	7
45	во всех	1	7
46	по отношению	8	7
47	из этих	4	7
48	вот например	1	7
49	было бы	15	7
50	как и	2	7
51	том что	21	7
52	в конечном	1	7
53	говорит о	1	7
54	не было	3	7
55	а не	8	7
56	вместе с	7	7
57	же в	4	7
58	отношению к	9	7
59	это и	4	6
60	в зависимости	5	6
61	более или	3	6
62	в себе	3	6
63	в нем	4	6
64	главным образом	1	6
65	это не	7	6
66	или менее	3	6
67	том же	2	6
68	и его	5	6
69	в то	2	6
70	так и	7	6
71	между тем	5	6
72	бы и	2	6
73	в основном	1	6
74	то что	9	6
75	одним из	2	5
76	и есть	2	5
77	действительности и	1	5
78	в их	3	5
79	зависимости от	6	5
80	очевидно что	3	5
81	как говорит	1	5
82	все же	12	5
83	в пределах	4	5
84	и при	2	5
85	не в	11	5
86	тому что	3	5
87	же время	2	5
88	связи с	7	5
89	на основе	1	5
90	один из	4	5
91	он говорит	1	5
92	как бы	7	5
93	не является	2	5
94	в результате	5	5
95	сказать что	1	5
96	только в	11	5
97	в искусстве	1	5
98	с его	4	4
99	в этой	3	4
100	перед нами	1	4
101	когда он	3	4
102	в самом	10	4
103	в целом	4	4
104	что все	2	4
105	них не	1	4
106	в них	7	4
107	даже в	3	4
108	одна из	1	4
109	никогда не	2	4
110	к тому	5	4
111	должен быть	4	4
112	в ее	1	4
113	это только	3	4
114	можно сказать	3	4
115	с ними	4	4
116	что он	6	4
117	в нашей	1	4
118	в одном	3	4
119	как раз	8	4
120	в связи	3	4
121	в своей	2	4
122	например в	5	3
123	пушкин в	1	3
124	в котором	3	3
125	из его	1	3
126	всего лишь	1	3
127	его не	1	3
128	в основных	1	3
129	и он	3	3
130	в которых	6	3
131	но как	1	3
132	силу этого	1	3
133	а всего	1	3
134	что они	4	3
135	с этим	4	3
136	и как	2	3
137	следующим образом	1	3
138	всех этих	1	3
139	и по	1	3
140	его в	1	3
141	далеко не	1	3
142	что не	5	3
143	с тем	5	3
144	в слове	2	3
145	мы видели	1	3
146	точки зрения	14	3
147	в дневнике	1	3
148	а вот	1	3
149	как о	2	3
150	например что	1	3
151	сводится к	3	3
152	не столь	1	3
153	у нас	10	3
154	том как	3	3
155	образом в	1	3
156	в виду	5	3
157	никак не	2	3
158	утверждает что	1	3
159	что и	4	3
160	того что	9	3
161	этот вопрос	1	3
162	является не	1	3
163	и их	1	3
164	моментов в	1	3
165	даже и	3	3
166	момент в	1	3
167	в конце	1	3
168	именно в	6	3
169	так же	4	3
170	по существу	4	3
171	что рассказывает	1	3
172	при всем	1	3
173	и от	1	3
174	или в	2	3
175	бы в	7	3
176	только что	1	3
177	жизни и	1	3
178	как на	3	3
179	ее в	2	3
180	смысле слова	1	2
181	ту же	1	2
182	также что	1	2
183	также и	2	2
184	связана с	1	2
185	и этот	1	2
186	мы имеем	6	2
187	же как	1	2
188	с более	1	2
189	в которой	6	2
190	из своих	1	2
191	говорить о	1	2
192	но даже	1	2
193	то это	3	2
194	так называемые	3	2
195	в ней	6	2
196	еще не	5	2
197	что его	2	2
198	в различных	1	2
199	в чем	1	2
200	чуть ли	2	2
201	бы не	1	2
202	но не	5	2
203	если в	2	2
204	в общем	3	2
205	относится к	2	2
206	отнюдь не	1	2
207	что нет	1	2
208	хотя и	3	2
209	но в	2	2
210	не приходится	1	2
211	как он	1	2
212	что она	3	2
213	он не	2	2
214	том чтобы	8	2
215	так например	2	2
216	в каждом	2	2
217	заключается в	2	2
218	льва толстого	2	2
219	в жизни	1	2
220	который по	1	2
221	только о	1	2
222	как об	2	2
223	необходимость в	1	2
224	не всегда	2	2
225	между собою	2	2
226	и для	2	2
227	что такое	6	2
228	всяком случае	5	2
229	самый факт	1	2
230	не столько	2	2
231	которые в	1	2
232	по крайней	5	2
233	если бы	9	2
234	что например	1	2
235	по себе	2	2
236	это особенно	1	2
237	можно ли	2	2
238	не менее	7	2
239	тогда когда	6	2
240	в науке	4	2
241	пока еще	1	2
242	того чтобы	17	2
243	только не	1	2
244	на язык	4	2
245	свидетельствуют о	2	2
246	в сознании	1	2
247	ничто иное	1	2
248	в области	7	2
249	ли это	2	2
250	от того	1	2
251	ли не	3	2
252	должны быть	2	2
253	что оно	3	2
254	они и	1	2
255	в самых	1	2
256	для того	16	2
257	основываясь на	1	2
258	труда и	2	2
259	только то	1	2
260	и может	3	2
261	роль в	4	2
262	мы наблюдаем	2	2
263	если они	1	2
264	и даже	3	2
265	во всяком	5	2
266	лишь в	2	2
267	крайней мере	5	2
268	но с	2	2
269	о его	1	2
270	что даже	1	2
271	с одной	1	2
272	ознакомиться с	2	2
273	целого ряда	1	2
274	могло бы	1	2
275	вовсе не	10	2
276	к ним	1	2
277	образом не	1	2
278	в особенности	3	2
279	одной стороны	1	2
280	или иной	3	2
281	даже не	1	2
282	до сих	4	2
283	еще и	5	2
284	показывает что	1	2
285	что для	1	2
