N	2gram	Propp_Isto_6	Myshleni
1	точки зрения	1	26
2	таким образом	12	26
3	в том	12	24
4	и в	26	23
5	том что	10	21
6	в целом	1	20
7	в этом	12	17
8	того чтобы	1	17
9	то что	6	17
10	не только	10	16
11	так же	2	16
12	говорит он	2	15
13	того что	2	15
14	для того	1	15
15	как и	5	14
16	может быть	11	14
17	но и	9	14
18	в его	5	14
19	что в	12	14
20	не может	6	12
21	представляет собой	2	11
22	сказать что	3	11
23	как бы	4	11
24	с другой	10	10
25	прежде всего	4	10
26	и с	6	9
27	между тем	1	9
28	в качестве	3	9
29	одной стороны	7	9
30	другой стороны	8	9
31	вместе с	8	9
32	и не	10	9
33	не является	1	9
34	то же	5	8
35	нас к	5	8
36	в основе	1	8
37	и на	12	8
38	с одной	7	8
39	мы не	6	7
40	вопрос о	3	7
41	по отношению	2	7
42	как уже	1	7
43	в этой	2	7
44	в другом	1	7
45	с тем	4	7
46	в то	5	7
47	и ее	3	7
48	так как	18	7
49	что он	9	7
50	отношению к	2	7
51	же как	3	6
52	все это	1	6
53	независимо от	3	6
54	с этим	2	6
55	в себе	3	6
56	в силу	1	6
57	и тем	4	6
58	с этой	2	6
59	функции и	1	6
60	и его	7	6
61	другом месте	1	6
62	о том	7	6
63	все время	2	6
64	только в	5	6
65	между этими	1	6
66	мы можем	7	6
67	тем что	5	6
68	от того	3	6
69	именно в	1	6
70	потому что	13	6
71	бы в	1	5
72	перед нами	2	5
73	и как	2	5
74	но в	7	5
75	то время	3	5
76	на то	2	5
77	он не	2	5
78	и более	1	5
79	а затем	1	5
80	если бы	3	5
81	тем самым	2	5
82	для этого	1	5
83	тому что	1	5
84	по своей	1	5
85	как мы	4	5
86	связан с	6	5
87	и что	5	5
88	можно сказать	2	5
89	так и	5	5
90	что мы	2	5
91	тем более	1	5
92	мы должны	2	5
93	из этого	3	5
94	в своих	3	5
95	в котором	1	4
96	которую мы	1	4
97	время как	3	4
98	с его	4	4
99	но не	2	4
100	положение о	1	4
101	как в	6	4
102	целый ряд	2	4
103	и к	1	4
104	все эти	8	4
105	к единству	1	4
106	к выводу	1	4
107	что она	3	4
108	при этом	3	4
109	их в	3	4
110	что все	1	4
111	было бы	2	4
112	ни в	2	4
113	в своей	3	4
114	не столько	1	4
115	не в	3	4
116	и функции	1	4
117	но вместе	1	4
118	о природе	1	4
119	с другом	1	4
120	к тому	2	4
121	должен быть	1	4
122	приводит к	1	4
123	по мере	1	4
124	выводу что	1	4
125	в свете	1	4
126	мы видим	5	4
127	только что	2	4
128	в одном	3	4
129	ее на	2	4
130	до сих	4	4
131	а с	2	4
132	одну из	4	4
133	по существу	1	4
134	друг с	1	4
135	этого слова	1	4
136	сих пор	4	4
137	в свою	1	4
138	к этому	3	4
139	как на	3	4
140	отношения к	1	3
141	и то	3	3
142	приходит к	3	3
143	из которых	3	3
144	что они	2	3
145	которые не	1	3
146	нашего сознания	1	3
147	в одной	2	3
148	что именно	1	3
149	в своем	2	3
150	все же	8	3
151	что это	2	3
152	он в	1	3
153	из этих	4	3
154	учение о	1	3
155	как он	6	3
156	и если	1	3
157	в первую	1	3
158	его не	2	3
159	на все	1	3
160	показывает что	3	3
161	мы хотели	1	3
162	такой же	3	3
163	мысль и	1	3
164	в которых	2	3
165	должны были	2	3
166	образом и	2	3
167	на эти	2	3
168	она не	3	3
169	не могло	2	3
170	ничего не	2	3
171	в области	1	3
172	детей в	1	3
173	могут быть	3	3
174	что оно	4	3
175	и это	8	3
176	не могу	1	3
177	можно было	2	3
178	об этом	1	3
179	одного из	1	3
180	этих двух	1	3
181	показывают что	5	3
182	этот вопрос	1	3
183	которое мы	1	3
184	уже в	1	3
185	то и	2	3
186	и других	3	3
187	всяком случае	2	3
188	мы находим	2	3
189	вовсе не	2	3
190	на этот	1	3
191	во всех	1	3
192	превращается в	7	3
193	а не	2	3
194	смысле этого	1	3
195	и от	3	3
196	хотели бы	1	3
197	во всяком	2	3
198	речь идет	1	2
199	связана с	3	2
200	он показывает	1	2
201	тех же	1	2
202	идет о	1	2
203	между двумя	1	2
204	и до	2	2
205	почти всегда	3	2
206	что эти	2	2
207	в зависимости	1	2
208	есть не	1	2
209	что между	4	2
210	что если	1	2
211	бы что	1	2
212	ступени развития	1	2
213	он как	1	2
214	оно есть	1	2
215	зависимости от	2	2
216	первый план	2	2
217	что его	1	2
218	в ее	1	2
219	только тогда	1	2
220	как говорит	1	2
221	что как	1	2
222	тех случаях	3	2
223	хотя и	1	2
224	когда он	3	2
225	и наконец	3	2
226	чем к	1	2
227	в противоположность	1	2
228	от этого	3	2
229	за собой	5	2
230	и те	2	2
231	главным образом	3	2
232	все другие	1	2
233	ключ к	1	2
234	и вот	3	2
235	ребенка а	1	2
236	на этом	1	2
237	одно и	1	2
238	но все	2	2
