N	3gram	Nazirov_Tv_2	Narrotol
1	в том что	2	8
2	не сводится к	1	6
3	по отношению к	3	5
4	в отличие от	2	5
5	о том что	2	4
6	к тому же	1	4
7	в соответствии с	4	3
8	но при этом	1	3
9	в известном смысле	1	3
10	той или иной	1	3
11	того или иного	1	3
12	то же время	7	3
13	в конечном счете	1	3
14	в то же	7	3
15	особое место в	1	2
16	хотя и не	1	2
17	мы узнаем что	1	2
18	и т п	2	2
19	и не может	2	2
20	точно так же	1	2
21	так же как	2	2
22	не зависит от	1	2
23	к ней в	1	2
24	важно не только	1	2
25	не может быть	3	2
26	как уже говорилось	1	2
27	на то чтобы	1	2
28	с матерью и	1	1
29	в чем не	1	1
30	в которой он	1	1
31	в чем же	1	1
32	можно читать как	1	1
33	у нее была	1	1
34	относится и к	1	1
35	в самом деле	2	1
36	в частности в	1	1
37	в таком случае	2	1
38	и в то	2	1
39	прежде всего его	1	1
40	в случае с	1	1
41	можно было бы	1	1
42	а с другой	1	1
43	на этот вопрос	2	1
44	до сих пор	3	1
45	это прежде всего	2	1
46	на жизнь его	1	1
47	и особенно в	1	1
48	его жизненной позиции	1	1
49	у чехова это	1	1
50	в связи с	1	1
51	и что в	1	1
52	во всяком случае	2	1
53	ответ на этот	1	1
54	тем что они	1	1
55	он не имел	1	1
56	что у него	1	1
57	его участие в	1	1
58	может быть истолкована	1	1
59	в развитии сюжета	1	1
60	отнюдь не означает	1	1
61	едва ли не	2	1
62	ни в чем	1	1
63	не означает что	1	1
64	в то время	1	1
65	так и в	2	1
66	на него с	1	1
67	не столько к	1	1
68	к которым приводит	1	1
69	по сути дела	3	1
70	в том смысле	1	1
71	в конце жизни	1	1
72	на другой день	1	1
73	что никогда не	1	1
74	и в другом	1	1
