N	3gram	Berdyaev_V_1	Myshleni
1	в том что	2	11
2	в известном смысле	1	7
3	по сравнению с	1	5
4	вместо того чтобы	2	3
5	том что он	2	2
6	то и другое	1	2
7	вместе с тем	1	2
8	так как она	1	2
9	что в известном	1	2
10	с другой стороны	1	2
11	но все же	1	2
12	мы видим что	1	2
13	видим что все	1	1
14	в нем но	1	1
15	и что в	1	1
16	того что он	1	1
17	потому что оно	1	1
18	не могут быть	1	1
19	так и в	1	1
20	и во всяком	1	1
21	что он был	1	1
22	тем что они	1	1
23	и вместе с	1	1
24	и никогда не	1	1
25	в вопросе о	2	1
26	к тому что	3	1
27	в духе его	1	1
