N	2gram	Medvedev_V_1	Mirosoze
1	и в	2	28
2	в этом	1	20
3	потому что	1	16
4	и не	1	11
5	в самом	1	11
6	и его	1	9
7	в конце	2	7
8	в том	2	6
9	только в	1	6
10	все это	1	6
11	в их	1	4
12	в которых	1	4
13	для них	1	3
14	хотя бы	1	3
15	не хотел	1	3
16	так как	1	3
17	том что	2	3
18	конце концов	2	2
19	к чему	1	2
20	ведь это	1	2
21	к этому	1	2
22	в значительной	1	1
23	не одно	1	1
24	так в	1	1
25	и только	1	1
26	все то	1	1
27	более чем	1	1
28	значительной степени	1	1
29	все время	1	1
30	на одном	1	1
31	связанным с	1	1
32	да и	1	1
33	самом деле	1	1
34	под влиянием	1	1
35	от многих	1	1
36	по своим	1	1
37	я не	1	1
38	и почти	1	1
39	ни к	1	1
40	в частности	1	1
41	тем более	1	1
42	то чего	1	1
43	бы уже	1	1
44	и то	1	1
45	и заключается	1	1
46	но это	1	1
