N	3gram	Berdyaev_M_1	Komedia
1	в том что	1	5
2	вместе с тем	5	4
3	о том что	1	4
4	для того чтобы	2	4
5	по отношению к	2	3
6	в то время	2	3
7	до сих пор	2	2
8	в отличие от	1	2
9	то время как	2	2
10	в нем не	2	2
11	во всяком случае	1	2
12	и т п	1	2
13	можно было бы	1	2
14	что и в	1	2
15	потому что в	3	1
16	той целью чтобы	1	1
17	в самом деле	1	1
18	с той целью	1	1
19	так и не	1	1
20	в динамике в	2	1
21	свои силы в	1	1
22	том случае если	1	1
23	огромный шаг вперед	1	1
24	но и в	4	1
25	и та же	1	1
26	в наше время	1	1
27	к человеку не	1	1
28	ни у кого	1	1
29	в том случае	1	1
30	и его судьба	1	1
31	что он был	1	1
32	в этих словах	1	1
33	утра до вечера	1	1
34	ответ на это	1	1
35	как будто бы	2	1
36	по сравнению с	1	1
37	если в основе	1	1
38	вместе с человеком	1	1
39	мы не знали	1	1
40	одна и та	1	1
41	и в том	1	1
42	не может быть	17	1
43	никто не может	1	1
44	не было бы	5	1
45	что он не	2	1
46	в начале xx	1	1
47	на протяжении всего	1	1
48	и в самом	3	1
49	не только в	2	1
50	но не менее	1	1
51	только в начале	1	1
52	с утра до	1	1
