N	3gram	Bakhtin_KF_1	slovoVRo
1	не может быть	11	15
2	в значительной степени	1	6
3	той или иной	2	5
4	в большинстве случаев	1	5
5	по отношению к	22	4
6	в зависимости от	1	4
7	то же время	2	4
8	в то же	2	4
9	в том что	2	4
10	с точки зрения	9	3
11	в нем в	1	3
12	но в то	1	3
13	в чем не	4	2
14	но прежде всего	1	2
15	в свою очередь	1	2
16	хотя бы и	1	2
17	может быть и	1	2
18	включает в себя	2	2
19	никогда не может	1	2
20	во всяком случае	1	2
21	единый и единственный	3	2
22	ни в чем	4	2
23	для того чтобы	1	2
24	во всех его	1	2
25	в этом его	2	1
26	даже там где	1	1
27	и может быть	2	1
28	а следовательно и	1	1
29	не менее в	1	1
30	до конца в	1	1
31	с человеком как	1	1
32	именно там где	1	1
33	и не в	1	1
34	мы говорим о	1	1
35	время от времени	1	1
36	это было показано	1	1
37	хотя бы только	1	1
38	в нем для	1	1
39	в средние века	1	1
40	уже не в	1	1
41	людей и их	1	1
42	то прежде всего	1	1
43	по самому своему	1	1
44	не может не	1	1
45	рядом с собой	1	1
46	но все это	1	1
47	как это было	1	1
48	и в то	1	1
49	и ни в	2	1
50	лишь при условии	1	1
51	между тем как	3	1
52	себе а именно	1	1
53	на то что	1	1
54	самого по себе	1	1
55	в лучшем случае	1	1
56	она может быть	1	1
57	со всех сторон	1	1
58	может быть только	7	1
59	по себе а	1	1
60	свой смысл и	1	1
61	конечно не в	1	1
62	для него самого	1	1
63	в себя момент	1	1
64	жизни в его	1	1
65	как к таковому	1	1
66	отношении к нему	1	1
67	с ним и	1	1
68	бы и не	2	1
69	но может быть	1	1
70	это не значит	1	1
71	не для того	1	1
72	лежащий в основе	1	1
73	действительность при этом	1	1
74	ибо все это	1	1
75	а не в	2	1
76	тем или иным	1	1
77	он живет и	1	1
78	тем не менее	2	1
79	того или иного	3	1
80	во всех этих	2	1
81	в нем его	1	1
82	мы не можем	1	1
83	это и не	1	1
84	до конца и	1	1
85	связанная с ним	1	1
86	и иных разновидностей	1	1
87	единого и единственного	9	1
88	но в этом	1	1
89	его целом с	1	1
90	в другом случае	1	1
91	уже не только	1	1
92	в его целом	10	1
93	во всем его	2	1
94	всех этих случаях	1	1
95	всего этого не	1	1
96	чем не укорененное	1	1
97	влечет за собой	1	1
