N	3gram	Bakhtin_fo_1	Analitik
1	в том что	2	7
2	по отношению к	3	7
3	о том что	1	5
4	в свою очередь	1	4
5	как и в	2	4
6	и того же	5	3
7	до известной степени	1	3
8	в данном случае	1	3
9	то же время	9	3
10	той или иной	2	3
11	в то же	6	3
12	одного и того	5	3
13	к тому же	2	3
14	в этом отношении	3	3
15	дело в том	2	2
16	так и его	1	2
17	с точки зрения	2	2
18	в отличие от	2	2
19	в значительной степени	1	2
20	с одной стороны	2	2
21	сама по себе	1	2
22	во всяком случае	1	2
23	в этом ряду	1	2
24	и прежде всего	2	2
25	к тому времени	1	1
26	и в сущности	2	1
27	по своей природе	1	1
28	и может быть	1	1
29	раз в том	1	1
30	в этом мире	2	1
31	в той или	1	1
32	к себе самому	4	1
33	прежде всего они	1	1
34	то есть не	2	1
35	есть одна из	1	1
36	единство и целостность	1	1
37	как раз не	1	1
38	в частности с	1	1
39	в самом деле	1	1
40	и в особенности	2	1
41	жанров в частности	1	1
42	в этом случае	1	1
43	как если бы	2	1
44	до сих пор	3	1
45	романа хотя и	1	1
46	в зависимости от	1	1
47	свой жизненный путь	1	1
48	с самим собою	3	1
49	мы понимаем как	1	1
50	со всех сторон	1	1
51	сказать что жанр	1	1
52	как раз в	4	1
53	в самом начале	1	1
54	к ним не	1	1
55	не только в	2	1
56	в один ряд	1	1
57	тот факт что	1	1
58	так и в	1	1
59	героев и их	1	1
60	не могут быть	1	1
61	и как бы	1	1
62	по природе своей	2	1
63	отличие от всех	1	1
64	в связи с	5	1
65	не для того	2	1
66	для того чтобы	5	1
67	под углом зрения	2	1
68	в тех случаях	1	1
69	и все же	1	1
70	не может быть	3	1
71	внешних и внутренних	1	1
72	и т.п в	1	1
73	то что не	1	1
74	то есть в	1	1
75	человека с самим	1	1
76	в себя и	1	1
77	самим собою в	1	1
78	и вступает в	1	1
79	автора и читателей	1	1
80	тех случаях когда	1	1
81	но дело в	1	1
82	в особенности же	1	1
83	оставляем в стороне	1	1
84	человека и его	7	1
85	здесь как и	1	1
86	в себе не	1	1
87	здесь не только	1	1
