N	2gram	Savitsky_E_1	Hudozhes
1	том что	6	16
2	и в	37	14
3	так и	10	13
4	не только	18	12
5	при этом	1	12
6	о том	3	12
7	в том	11	12
8	а не	2	12
9	и т	1	11
10	в себе	9	11
11	в этом	12	11
12	прежде всего	9	11
13	в своей	8	10
14	для него	1	10
15	то же	15	9
16	как и	7	9
17	в качестве	14	9
18	по отношению	1	8
19	в этой	2	8
20	как в	3	8
21	то что	6	8
22	же время	14	8
23	в его	2	8
24	между тем	8	8
25	в то	16	8
26	тогда как	1	7
27	не в	5	7
28	казалось бы	1	7
29	к тому	8	7
30	быть может	1	7
31	уже не	1	7
32	именно в	4	7
33	не может	9	7
34	как бы	6	7
35	а в	2	7
36	было бы	8	6
37	никогда не	3	6
38	жизни в	3	6
39	что в	21	6
40	с его	1	5
41	но в	14	5
42	об этом	1	5
43	точки зрения	23	5
44	не менее	1	5
45	и его	1	5
46	потому что	3	5
47	можно было	3	5
48	во второй	3	5
49	только в	9	5
50	может быть	6	5
51	но и	14	5
52	в частности	5	5
53	к жизни	1	5
54	в аспекте	1	5
55	в этих	2	5
56	жизни и	2	5
57	и о	1	4
58	в ней	4	4
59	столь же	5	4
60	в центре	1	4
61	в своем	14	4
62	и к	3	4
63	то в	4	4
64	в самом	4	4
65	всего лишь	3	4
66	та же	1	4
67	на то	6	4
68	он не	2	4
69	и с	2	4
70	несмотря на	4	4
71	тому что	1	4
72	с ним	1	4
73	она не	2	4
74	по своей	2	4
75	связи с	1	4
76	как будто	2	4
77	и это	1	4
78	можно сказать	4	4
79	того что	7	4
80	один из	1	4
81	из них	3	4
82	не было	1	4
83	и все	2	4
84	человеческой жизни	1	4
85	бытия и	1	4
86	т е	9	4
87	и от	3	4
88	речь идет	1	3
89	по преимуществу	2	3
90	с точки	17	3
91	на тех	1	3
92	говорить о	1	3
93	в мире	2	3
94	и на	6	3
95	в ее	8	3
96	отнюдь не	9	3
97	идет о	3	3
98	человеческого бытия	1	3
99	все же	1	3
100	в нем	1	3
101	т д	1	3
102	и по	5	3
103	на этом	1	3
104	лишь в	1	3
105	с этим	2	3
106	даже в	4	3
107	в своих	2	3
108	такой же	2	3
109	она в	3	3
110	возвращается к	1	3
111	все эти	1	3
112	та или	1	3
113	или иная	1	3
114	тем что	3	3
115	этом отношении	3	3
116	что при	1	3
117	для себя	1	3
118	как мы	5	3
119	того чтобы	6	3
120	в пределах	25	3
121	и когда	1	3
122	еще в	1	3
123	если бы	2	3
124	а также	7	3
125	это в	1	3
126	же в	2	3
127	но не	5	3
128	как его	1	3
129	и даже	6	3
130	со стороны	5	3
131	то и	1	3
132	в связи	1	3
133	по своему	7	3
134	и для	3	3
135	в таком	3	3
136	к этой	1	3
137	например в	1	2
138	же как	5	2
139	отметим что	1	2
140	в их	11	2
141	той же	1	2
142	мы не	4	2
143	вопрос о	4	2
144	вместо того	1	2
145	не нужно	2	2
146	которых может	1	2
147	но как	2	2
148	если в	2	2
149	же мало	2	2
150	в одной	1	2
151	в рамках	1	2
152	как нам	5	2
153	хотя и	2	2
154	или иную	3	2
155	жизнью и	1	2
156	на его	1	2
157	заключает в	3	2
158	с такими	1	2
159	значительной степени	1	2
160	то чтобы	1	2
161	же касается	1	2
162	того или	4	2
163	по себе	4	2
164	одной из	5	2
165	должно быть	1	2
166	иначе говоря	2	2
167	в такой	1	2
168	наше внимание	2	2
169	состоит в	1	2
170	если можно	1	2
171	не представляется	1	2
172	от себя	1	2
173	степи и	1	2
174	для нее	1	2
175	бы на	1	2
176	и другое	1	2
177	не о	1	2
178	не имеет	4	2
179	одна из	1	2
180	на себе	1	2
181	с и	10	2
182	для всего	1	2
183	заметить что	2	2
184	тех кто	1	2
185	со своим	1	2
186	что на	2	2
187	по нашему	3	2
188	все еще	1	2
189	с ее	1	2
190	на основе	2	2
191	как по	1	2
192	на вопрос	1	2
193	и поэтому	2	2
194	внимание на	1	2
195	и что	2	2
196	его жизни	1	2
197	в значительной	2	2
198	второй половине	2	2
199	но с	2	2
200	с ними	1	2
201	и потому	5	2
202	мыслей о	1	2
203	в начале	1	2
204	участие в	2	2
205	ту или	3	2
206	мы знаем	1	2
207	влияние на	2	2
208	или иначе	1	2
209	с той	1	2
210	что не	1	2
211	в данной	3	2
212	также в	2	2
213	не означает	2	2
214	ближе к	1	2
215	как кажется	1	2
216	что же	2	2
217	и не	14	2
218	с этой	6	2
219	каждого из	1	2
220	нет ничего	1	2
221	перед собой	1	2
222	в результате	3	2
223	о котором	1	2
224	всего мира	1	2
225	или иного	4	2
226	это так	3	2
227	но еще	2	2
228	как известно	1	1
229	в сфере	3	1
230	связана с	1	1
231	и то	2	1
232	тех же	1	1
233	многих отношениях	1	1
