N	2gram	Nazirov_Tr_1	Problema
1	и не	7	28
2	то есть	3	27
3	не только	8	24
4	только в	1	23
5	в виде	2	22
6	и в	18	20
7	в том	2	20
8	ни в	2	17
9	не просто	2	16
10	все эти	3	16
11	то что	4	15
12	потому что	2	15
13	но и	4	14
14	перед нами	2	13
15	не в	2	13
16	в себе	4	12
17	том что	4	12
18	не есть	1	12
19	по себе	1	11
20	прежде всего	4	11
21	как будто	3	11
22	отнюдь не	3	10
23	тем не	1	10
24	и его	6	10
25	не менее	1	10
26	так и	5	10
27	не является	1	10
28	в этом	9	9
29	может быть	7	9
30	и даже	4	9
31	все это	4	9
32	но в	6	8
33	содержит в	1	8
34	таким образом	1	8
35	что он	6	8
36	в той	1	8
37	в результате	1	8
38	и все	4	8
39	во всяком	1	8
40	то же	5	7
41	в ней	1	7
42	еще не	4	7
43	и с	7	7
44	это не	5	7
45	хотя бы	1	7
46	есть в	1	7
47	именно в	1	7
48	а не	1	7
49	и потому	1	7
50	сам по	1	6
51	при этом	3	6
52	об этом	4	6
53	как и	5	6
54	в данном	2	6
55	но если	1	6
56	в виду	1	6
57	а также	1	6
58	так что	2	6
59	но это	4	6
60	и от	1	6
61	для нас	1	6
62	в таком	2	6
63	но не	1	5
64	как в	3	5
65	и если	1	5
66	в нем	4	5
67	в них	1	5
68	и о	1	5
69	в ее	2	5
70	данном случае	2	5
71	о том	2	5
72	уже не	2	5
73	то и	2	5
74	не может	5	5
75	вместе с	1	5
76	так же	4	5
77	и т	1	4
78	это и	1	4
79	и есть	1	4
80	и наконец	1	4
81	уже в	3	4
82	в этой	4	4
83	что она	2	4
84	с тем	2	4
85	несмотря на	5	4
86	в своей	1	4
87	всяком случае	1	4
88	в одном	2	4
89	тем самым	3	4
90	не имеет	2	4
91	только не	1	4
92	в самой	1	4
93	указывает на	1	4
94	и образ	1	4
95	можно было	1	4
96	жизнь и	3	4
97	с ним	3	4
98	во всех	1	4
99	и ее	2	4
100	что не	1	4
101	как бы	7	4
102	у достоевского	5	4
103	в то	5	4
104	самом деле	1	3
105	и на	7	3
106	он был	2	3
107	но как	1	3
108	тут же	2	3
109	чем же	1	3
110	в истории	1	3
111	в своем	3	3
112	бы и	2	3
113	вообще не	1	3
114	но все	2	3
115	в другом	1	3
116	как это	3	3
117	в эпилоге	1	3
118	связи с	1	3
119	вплоть до	1	3
120	в области	1	3
121	к тому	2	3
122	образы и	1	3
123	как мы	1	3
124	с собой	1	3
125	все в	1	3
126	к нему	3	3
127	в его	3	3
128	что и	2	3
129	то для	1	3
130	даже если	2	3
131	а это	1	3
132	только к	2	3
133	здесь мы	1	3
134	не так	2	3
135	для него	3	3
136	тем что	2	3
137	не было	1	3
138	в связи	1	3
139	о себе	1	3
140	для искусства	2	3
141	в условиях	1	3
142	это уже	2	3
143	и как	3	3
144	совершенно не	1	3
145	что в	4	3
146	точно так	2	3
147	для ее	1	2
148	чтобы не	1	2
149	и то	2	2
150	в которой	1	2
151	не вполне	1	2
152	ему в	1	2
153	и он	3	2
154	нет в	2	2
155	между собой	1	2
156	столь же	2	2
157	в чем	1	2
158	в петербурге	1	2
159	за пределы	1	2
160	всю эту	1	2
161	что именно	1	2
162	все же	5	2
163	говорит что	2	2
164	то в	1	2
165	со своей	1	2
166	что это	5	2
167	только один	1	2
168	если он	1	2
169	что без	1	2
170	он не	2	2
171	перестает быть	1	2
172	не к	1	2
173	с ее	3	2
174	на земле	1	2
175	на все	1	2
176	его в	2	2
177	смотреть на	1	2
178	этом мы	1	2
179	этого не	1	2
180	в котором	1	2
181	самого этого	1	2
182	но эта	2	2
183	не понимает	1	2
184	не могли	1	2
185	но они	2	2
186	в обоих	1	2
187	друг друга	2	2
188	нельзя ли	1	2
189	но только	1	2
190	того чтобы	1	2
191	он с	1	2
192	на путях	1	2
193	и по	1	2
194	и притом	1	2
195	к ней	1	2
196	во всем	1	2
197	и это	2	2
198	на нечто	1	2
199	и совершенно	1	2
200	и что	4	2
201	не раз	1	2
202	это было	1	2
203	с его	2	2
204	уже чисто	1	2
205	теперь уже	1	2
206	в литературе	1	2
207	с ними	1	2
208	дело с	1	2
209	эти образы	1	2
210	только на	1	2
211	свидетельствует о	1	2
212	заключается в	1	2
213	никто не	3	2
214	в конце	3	2
215	в самом	2	2
216	как же	2	2
217	в настоящей	1	2
218	виде и	1	2
219	говорит о	2	2
220	все время	1	2
221	причем достоевский	1	2
222	в это	2	2
223	xix века	1	2
224	в романах	1	2
225	искусством для	1	2
226	из себя	1	2
227	только что	1	2
228	жизни в	1	2
229	в частности	2	2
230	но этот	1	2
231	и жизнь	1	2
232	только он	1	1
233	к людям	3	1
234	скажет что	1	1
235	также что	1	1
236	но особенно	2	1
237	не думает	1	1
238	одним из	1	1
239	с жизнью	1	1
240	человека и	1	1
241	чего же	1	1
242	силы и	1	1
243	ивана карамазова	2	1
244	понятие в	1	1
245	достоевского в	3	1
246	смысл этого	1	1
247	и до	2	1
248	он всегда	4	1
249	что эти	2	1
250	таком виде	1	1
251	в году	9	1
252	такой час	1	1
253	собой как	1	1
254	вопрос о	2	1
255	на себя	1	1
256	самой своей	1	1
257	переплетается с	1	1
258	на них	1	1
259	не был	2	1
260	рода символическим	1	1
261	в быту	1	1
262	значение и	1	1
263	должны были	1	1
264	отношение к	2	1
265	без цели	1	1
266	он злобно	1	1
267	от злости	1	1
268	тебе и	1	1
269	сознательно и	1	1
270	что князь	2	1
271	не любят	1	1
272	действовал на	1	1
273	романах достоевского	2	1
274	это был	2	1
275	достоевского не	1	1
276	далеко уходит	1	1
277	напомним что	1	1
278	имеет в	2	1
279	образа петра	1	1
280	них он	1	1
281	и хотя	1	1
282	в целом	4	1
283	он в	1	1
284	бы не	1	1
285	это тот	1	1
286	говорит не	1	1
287	этого образа	1	1
288	как он	1	1
289	в братьях	1	1
290	за дело	1	1
291	что петр	1	1
292	этом свидетельствует	1	1
293	по какому	1	1
294	берется в	1	1
295	и еще	1	1
296	не значит	1	1
297	что тут	1	1
298	это происходит	1	1
299	во французской	1	1
300	от нее	1	1
301	презрение к	4	1
302	не скажет	1	1
303	ли образ	1	1
304	он словно	1	1
305	потому как	1	1
306	и лучше	2	1
307	мира сего	1	1
